train/learning_rate,time/episodes,time/total_timesteps,train/n_updates,train/critic_loss,rollout/ep_len_mean,time/fps,time/time_elapsed,rollout/ep_rew_mean,train/actor_loss
0.001,280,56000,55899,0.23069393634796143,200.0,52,1075,-148.28453997,1.9444026947021484
0.001,284,56800,56699,0.8667402267456055,200.0,52,1091,-146.6910791,1.7129809856414795
0.001,288,57600,57499,0.6840245723724365,200.0,51,1107,-143.10076286,6.011020660400391
0.001,292,58400,58299,0.4171793460845947,200.0,51,1124,-140.81825720999998,4.148193359375
0.001,296,59200,59099,0.17733503878116608,200.0,51,1140,-137.32650188,5.928050994873047
0.001,300,60000,59899,0.28414106369018555,200.0,51,1157,-144.82413891,4.923169136047363
0.001,304,60800,60699,0.469632625579834,200.0,51,1174,-146.24814659999998,8.640313148498535
0.001,308,61600,61499,0.4707392454147339,200.0,51,1191,-145.00270718,11.881747245788574
0.001,312,62400,62299,0.8769850134849548,200.0,51,1209,-145.36557413,9.674495697021484
0.001,316,63200,63099,0.4108286499977112,200.0,51,1226,-143.16809902,6.731746673583984
0.001,320,64000,63899,0.6233639121055603,200.0,51,1244,-144.39909225,13.137822151184082
0.001,324,64800,64699,0.33160313963890076,200.0,51,1262,-143.11647894,6.656363487243652
0.001,328,65600,65499,0.26181504130363464,200.0,51,1280,-144.5207245,14.076717376708984
0.001,332,66400,66299,0.30614957213401794,200.0,51,1299,-142.52130775,10.072708129882812
0.001,336,67200,67099,0.31565651297569275,200.0,50,1318,-142.42642889,11.686538696289062
0.001,340,68000,67899,1.7102372646331787,200.0,50,1337,-137.54149822,6.167159557342529
0.001,344,68800,68699,0.29876604676246643,200.0,50,1357,-138.60894622,6.626327991485596
0.001,348,69600,69499,2.2545204162597656,200.0,50,1377,-139.64046061999997,11.783172607421875
0.001,352,70400,70299,0.927518367767334,200.0,50,1397,-135.80736466999997,9.193443298339844
0.001,356,71200,71099,0.5504817962646484,200.0,50,1417,-137.60029343,9.031288146972656
0.001,360,72000,71899,0.2681960463523865,200.0,50,1437,-133.87815873,8.880533218383789
0.001,364,72800,72699,0.8990427851676941,200.0,49,1458,-132.34042894,7.138837814331055
0.001,368,73600,73499,0.20500919222831726,200.0,49,1479,-133.64953772,10.61931324005127
0.001,372,74400,74299,0.19288326799869537,200.0,49,1499,-131.00963641,6.397507667541504
0.001,376,75200,75099,0.7546812891960144,200.0,49,1520,-129.46764604999998,12.744756698608398
0.001,380,76000,75899,0.11952009797096252,200.0,49,1542,-127.11904238999999,4.344052314758301
0.001,384,76800,76699,0.14516539871692657,200.0,49,1563,-128.37493368000003,6.786474704742432
0.001,388,77600,77499,0.9502599239349365,200.0,48,1585,-134.22339897999998,7.583610534667969
0.001,392,78400,78299,0.33770376443862915,200.0,48,1606,-135.32709594,11.4013032913208
0.001,396,79200,79099,0.16608597338199615,200.0,48,1628,-138.70775751,5.672104835510254
0.001,400,80000,79899,0.339041531085968,200.0,48,1650,-134.91308301,7.499701976776123
0.001,404,80800,80699,3.972867012023926,200.0,48,1672,-135.72498093000002,10.586996078491211
0.001,408,81600,81499,0.94170081615448,200.0,48,1694,-134.42975392,8.081232070922852
0.001,412,82400,82299,0.3921998143196106,200.0,48,1716,-132.85851788,12.223923683166504
0.001,416,83200,83099,0.20570474863052368,200.0,47,1738,-134.87305514000002,8.690688133239746
0.001,420,84000,83899,0.13786490261554718,200.0,47,1760,-136.94909581,5.1026082038879395
0.001,424,84800,84699,0.17818883061408997,200.0,47,1782,-136.82557449,5.031929016113281
0.001,428,85600,85499,0.3861224055290222,200.0,47,1804,-135.40825722000002,8.271377563476562
0.001,432,86400,86299,0.18967825174331665,200.0,47,1829,-138.01722801000003,9.265959739685059
0.001,436,87200,87099,0.20949167013168335,200.0,47,1851,-138.03572504,5.83900785446167
0.001,440,88000,87899,0.2539820373058319,200.0,46,1874,-140.94175783999998,9.454044342041016
0.001,444,88800,88699,0.41405701637268066,200.0,46,1896,-135.03286264,4.578298568725586
0.001,448,89600,89499,0.8323640823364258,200.0,46,1918,-135.97677582,9.641337394714355
0.001,452,90400,90299,0.3144243359565735,200.0,46,1940,-136.13955266000002,12.776261329650879
0.001,456,91200,91099,0.9207043051719666,200.0,46,1962,-135.47715426000002,3.437429189682007
0.001,460,92000,91899,0.3474361300468445,200.0,46,1985,-134.37784782,5.686058521270752
0.001,464,92800,92699,0.5566104650497437,200.0,46,2007,-136.19966964000002,10.323127746582031
0.001,468,93600,93499,0.3618716895580292,200.0,46,2029,-133.90449139999998,8.121606826782227
0.001,472,94400,94299,0.300234317779541,200.0,46,2052,-136.24373289999997,9.955957412719727
0.001,476,95200,95099,0.6042159199714661,200.0,45,2074,-138.50874373,4.806894302368164
0.001,480,96000,95899,0.314647912979126,200.0,45,2096,-139.70656925999998,6.813616752624512
0.001,484,96800,96699,0.2510545253753662,200.0,45,2119,-140.62948097999998,6.885221004486084
0.001,488,97600,97499,0.5120106339454651,200.0,45,2141,-140.64438282999998,9.187738418579102
0.001,492,98400,98299,0.18008798360824585,200.0,45,2163,-141.75345141,7.067137718200684
0.001,496,99200,99099,0.47155144810676575,200.0,45,2186,-142.95337508,5.6496100425720215
0.001,500,100000,99899,0.5557312965393066,200.0,45,2208,-142.8473793,13.810904502868652
0.001,504,100800,100699,0.34758394956588745,200.0,45,2231,-140.49855867,8.11312198638916
0.001,508,101600,101499,0.24213355779647827,200.0,45,2253,-139.46886085000003,7.873600006103516
0.001,512,102400,102299,0.21815261244773865,200.0,44,2275,-140.40169149,9.436882972717285
0.001,516,103200,103099,0.21419861912727356,200.0,44,2298,-141.53183921,10.291261672973633
0.001,520,104000,103899,0.6477651000022888,200.0,44,2320,-138.17404811999998,6.086733341217041
0.001,524,104800,104699,0.5763419270515442,200.0,44,2343,-139.49431326,9.893227577209473
0.001,528,105600,105499,0.3586571514606476,200.0,44,2365,-139.40313888999998,10.43033504486084
0.001,532,106400,106299,0.15672415494918823,200.0,44,2388,-135.41091343,11.085758209228516
0.001,536,107200,107099,0.4222504496574402,200.0,44,2410,-137.24916080999998,10.335494995117188
0.001,540,108000,107899,0.26785704493522644,200.0,44,2433,-137.78354964,9.481602668762207
0.001,544,108800,108699,0.2954363226890564,200.0,44,2456,-143.46077621,10.378751754760742
0.001,548,109600,109499,0.5404775142669678,200.0,44,2478,-143.69082845,6.611108779907227
0.001,552,110400,110299,0.1976863145828247,200.0,44,2501,-144.94377521,10.838258743286133
0.001,556,111200,111099,0.2931022047996521,200.0,44,2523,-143.52991615000002,9.86074447631836
0.001,560,112000,111899,0.3949239253997803,200.0,43,2546,-144.60638557000001,6.414572715759277
0.001,564,112800,112699,0.14895552396774292,200.0,43,2569,-144.15742335000002,8.540717124938965
0.001,568,113600,113499,0.29406192898750305,200.0,43,2592,-146.39469761,11.699825286865234
0.001,572,114400,114299,0.048814017325639725,200.0,43,2615,-144.73065308000002,6.166413307189941
0.001,576,115200,115099,0.43284788727760315,200.0,43,2638,-144.79817291,7.617020130157471
0.001,580,116000,115899,0.977318525314331,200.0,43,2660,-144.59893888,10.66038990020752
0.001,584,116800,116699,0.1497889757156372,200.0,43,2683,-142.47766154,11.869719505310059
0.001,588,117600,117499,0.44306454062461853,200.0,43,2706,-137.83827732,5.405717849731445
