time/fps,train/n_updates,time/time_elapsed,time/episodes,rollout/ep_rew_mean,train/actor_loss,rollout/ep_len_mean,train/critic_loss,time/total_timesteps,train/learning_rate
61,699,12,4,-1419.6008995,26.18737030029297,200.0,0.025934845209121704,800,0.001
56,1499,28,8,-1438.4976998749999,51.06571960449219,200.0,0.07111971080303192,1600,0.001
55,2299,43,12,-1293.4595885833332,70.64655303955078,200.0,0.07858321815729141,2400,0.001
54,3099,58,16,-1012.5403838125001,67.1437759399414,200.0,0.09288056194782257,3200,0.001
54,3899,74,20,-842.38629585,67.25379180908203,200.0,0.21021577715873718,4000,0.001
53,4699,89,24,-784.071501625,59.287899017333984,200.0,0.643391489982605,4800,0.001
53,5499,104,28,-705.4097043571428,60.589046478271484,200.0,1.0308513641357422,5600,0.001
53,6299,119,32,-632.73731740625,57.6158447265625,200.0,1.6996228694915771,6400,0.001
53,7099,134,36,-572.5790892222223,57.421180725097656,200.0,0.7631193399429321,7200,0.001
53,7899,150,40,-536.645606275,45.671024322509766,200.0,0.8837546706199646,8000,0.001
53,8699,165,44,-496.47948547727265,45.70893096923828,200.0,1.3272124528884888,8800,0.001
52,9499,181,48,-465.2917574166666,36.55305480957031,200.0,0.8437764644622803,9600,0.001
52,10299,196,52,-438.6394828653845,38.90739822387695,200.0,2.024151086807251,10400,0.001
52,11099,212,56,-416.05952937499995,23.004898071289062,200.0,0.6588205695152283,11200,0.001
52,11899,227,60,-404.59819238333336,35.61151123046875,200.0,0.8229689598083496,12000,0.001
52,12699,243,64,-388.621387,34.7763671875,200.0,0.796183705329895,12800,0.001
52,13499,258,68,-374.91960757352945,30.958568572998047,200.0,0.7995589971542358,13600,0.001
52,14299,273,72,-365.7015103888889,29.277240753173828,200.0,0.923571765422821,14400,0.001
52,15099,289,76,-351.28820663157893,18.087888717651367,200.0,0.8866958022117615,15200,0.001
52,15899,304,80,-341.2850719,25.883541107177734,200.0,0.5469279289245605,16000,0.001
52,16699,320,84,-332.20950907142856,18.17154884338379,200.0,0.6862611770629883,16800,0.001
52,17499,335,88,-321.1796057727273,20.080856323242188,200.0,0.791293740272522,17600,0.001
52,18299,350,92,-309.9773906739131,18.679241180419922,200.0,0.40723955631256104,18400,0.001
52,19099,366,96,-303.4129343854167,16.27857780456543,200.0,0.41807129979133606,19200,0.001
52,19899,381,100,-294.81196028,14.541291236877441,200.0,0.4293314516544342,20000,0.001
52,20699,397,104,-244.19010921000006,8.29362964630127,200.0,0.41968029737472534,20800,0.001
52,21499,412,108,-194.00558297,13.466144561767578,200.0,0.6758781671524048,21600,0.001
52,22299,427,112,-158.85579998,16.81105613708496,200.0,0.8413182497024536,22400,0.001
52,23099,443,116,-158.23455096,14.750039100646973,200.0,2.1610093116760254,23200,0.001
52,23899,458,120,-159.97170430000003,12.71161937713623,200.0,0.7632997035980225,24000,0.001
52,24699,474,124,-149.10334489000002,12.76672077178955,200.0,0.4244394898414612,24800,0.001
52,25499,489,128,-146.03919573000002,7.044253826141357,200.0,0.31097373366355896,25600,0.001
52,26299,505,132,-143.90346749,5.46137809753418,200.0,0.23541054129600525,26400,0.001
52,27099,522,136,-144.24402845,9.269708633422852,200.0,0.4341144859790802,27200,0.001
51,27899,539,140,-141.85849190999997,4.743265151977539,200.0,0.35646364092826843,28000,0.001
51,28699,555,144,-144.3417963,6.5619916915893555,200.0,0.8442085981369019,28800,0.001
51,29499,570,148,-143.40937818,7.449518203735352,200.0,0.2668760418891907,29600,0.001
51,30299,586,152,-146.59961708999998,6.678093910217285,200.0,0.6369051337242126,30400,0.001
51,31099,601,156,-146.80800461,3.5621438026428223,200.0,0.2298247069120407,31200,0.001
51,31899,616,160,-147.13568664000002,1.974623680114746,200.0,0.2309405505657196,32000,0.001
51,32699,631,164,-145.06248728999998,3.9988386631011963,200.0,0.3670845627784729,32800,0.001
51,33499,647,168,-146.23105061,9.867779731750488,200.0,0.722058892250061,33600,0.001
51,34299,662,172,-141.64870941,2.7229959964752197,200.0,0.5062584280967712,34400,0.001
51,35099,678,176,-144.7599285,3.3339357376098633,200.0,0.8830023407936096,35200,0.001
51,35899,693,180,-144.87821219,6.4209136962890625,200.0,0.16703544557094574,36000,0.001
51,36699,708,184,-145.01315195,3.336561441421509,200.0,0.4335291087627411,36800,0.001
51,37499,724,188,-147.54857685000002,8.681402206420898,200.0,0.5529269576072693,37600,0.001
51,38299,739,192,-149.88828989,3.4994025230407715,200.0,0.35184159874916077,38400,0.001
51,39099,755,196,-149.76470836000001,9.22739028930664,200.0,0.31070390343666077,39200,0.001
51,39899,771,200,-152.50697816999997,5.354475498199463,200.0,0.5299740433692932,40000,0.001
51,40699,786,204,-152.37478227000003,6.137211799621582,200.0,0.20810605585575104,40800,0.001
51,41499,802,208,-151.43861341,8.012428283691406,200.0,0.230785071849823,41600,0.001
51,42299,818,212,-151.09752516999998,2.747727394104004,200.0,0.35418474674224854,42400,0.001
51,43099,834,216,-150.85919515,8.730642318725586,200.0,0.38513636589050293,43200,0.001
51,43899,849,220,-147.36868323000002,7.232602119445801,200.0,0.43512386083602905,44000,0.001
51,44699,865,224,-144.50967236999998,8.610299110412598,200.0,0.6329421401023865,44800,0.001
51,45499,881,228,-144.11315813,10.344120025634766,200.0,0.5874481201171875,45600,0.001
51,46299,897,232,-146.30060448,6.576950550079346,200.0,0.8585390448570251,46400,0.001
51,47099,913,236,-146.3950566,8.661446571350098,200.0,0.4690510630607605,47200,0.001
51,47899,929,240,-145.67504337,6.3554534912109375,200.0,0.1766921877861023,48000,0.001
51,48699,945,244,-145.91435422000004,6.5592780113220215,200.0,0.35981935262680054,48800,0.001
51,49499,962,248,-147.22928314,2.203049659729004,200.0,0.5442008376121521,49600,0.001
51,50299,978,252,-145.45729864,7.578118324279785,200.0,0.8455410003662109,50400,0.001
51,51099,994,256,-146.46447622,6.815708637237549,200.0,0.4473493993282318,51200,0.001
51,51899,1010,260,-142.41363611,5.7660231590271,200.0,0.40665581822395325,52000,0.001
51,52699,1026,264,-147.09204704,4.935245990753174,200.0,0.7043668031692505,52800,0.001
51,53499,1043,268,-144.78471374000003,9.688545227050781,200.0,0.2898022532463074,53600,0.001
51,54299,1059,272,-146.24253196,4.562422752380371,200.0,0.5182844996452332,54400,0.001
51,55099,1076,276,-144.69017959,4.168263912200928,200.0,0.17636477947235107,55200,0.001
51,55899,1092,280,-145.92821788,8.527313232421875,200.0,0.4534308910369873,56000,0.001
51,56699,1109,284,-146.48679526000004,4.21776008605957,200.0,1.107585072517395,56800,0.001
51,57499,1128,288,-147.57436070999998,2.5409910678863525,200.0,0.4357602894306183,57600,0.001
50,58299,1145,292,-146.5748073,5.799587249755859,200.0,0.7495183944702148,58400,0.001
50,59099,1165,296,-147.90298958000002,-0.6426027417182922,200.0,0.45243173837661743,59200,0.001
50,59899,1183,300,-149.18963862,8.081168174743652,200.0,0.40022873878479004,60000,0.001
50,60699,1200,304,-150.63529879,-0.8956775069236755,200.0,0.46030375361442566,60800,0.001
50,61499,1217,308,-149.44293179000002,2.260284185409546,200.0,0.09223556518554688,61600,0.001
50,62299,1235,312,-149.4547385,3.987478017807007,200.0,0.9415268301963806,62400,0.001
50,63099,1253,316,-149.56954097999997,2.1306357383728027,200.0,0.34418654441833496,63200,0.001
50,63899,1272,320,-152.70770016,5.243028163909912,200.0,0.5989807844161987,64000,0.001
50,64699,1291,324,-151.52500153000003,1.6607252359390259,200.0,0.31467121839523315,64800,0.001
50,65499,1310,328,-150.48619641,1.8483703136444092,200.0,0.6296933889389038,65600,0.001
49,66299,1329,332,-152.63750012,3.133817195892334,200.0,1.0220389366149902,66400,0.001
49,67099,1349,336,-150.92339663,-2.48972749710083,200.0,0.7522608041763306,67200,0.001
49,67899,1370,340,-150.3123231,3.1996235847473145,200.0,0.5708824396133423,68000,0.001
49,68699,1392,344,-149.76421182,7.937547206878662,200.0,0.6031970977783203,68800,0.001
49,69499,1413,348,-150.59331905,-1.042678713798523,200.0,0.35627543926239014,69600,0.001
49,70299,1434,352,-151.57592626,6.071396350860596,200.0,0.27852919697761536,70400,0.001
48,71099,1455,356,-150.34834845,1.852186918258667,200.0,0.9553524255752563,71200,0.001
48,71899,1477,360,-149.01070661,7.470505237579346,200.0,0.23282183706760406,72000,0.001
48,72699,1499,364,-145.24359481999997,-1.1819636821746826,200.0,0.3827018141746521,72800,0.001
48,73499,1521,368,-146.02953906000002,3.561363697052002,200.0,0.42579948902130127,73600,0.001
48,74299,1543,372,-143.39318912000002,2.247561454772949,200.0,0.3888433873653412,74400,0.001
48,75099,1565,376,-145.62014177999998,6.850707054138184,200.0,0.40600305795669556,75200,0.001
47,75899,1588,380,-142.23350795000002,9.892471313476562,200.0,0.2680242955684662,76000,0.001
47,76699,1610,384,-142.80326928,9.913444519042969,200.0,0.21148142218589783,76800,0.001
47,77499,1633,388,-142.86125436999998,2.7910032272338867,200.0,0.12374092638492584,77600,0.001
47,78299,1655,392,-144.85873567,8.901202201843262,200.0,0.6172700524330139,78400,0.001
47,79099,1678,396,-143.46623501,4.268892765045166,200.0,0.2807398736476898,79200,0.001
47,79899,1701,400,-140.7827214,7.965076446533203,200.0,0.4419378638267517,80000,0.001
46,80699,1724,404,-135.89561619000003,10.015960693359375,200.0,0.6415085792541504,80800,0.001
46,81499,1747,408,-137.25548573000003,9.310559272766113,200.0,0.3179084360599518,81600,0.001
46,82299,1770,412,-137.73593826,7.260221004486084,200.0,0.394354909658432,82400,0.001
46,83099,1793,416,-137.66497912,7.853160381317139,200.0,0.8573905229568481,83200,0.001
46,83899,1816,420,-133.50921888000002,5.664920806884766,200.0,0.3310181200504303,84000,0.001
46,84699,1839,424,-138.29163238,7.606590270996094,200.0,0.43722906708717346,84800,0.001
45,85499,1862,428,-138.45189850999998,6.144537448883057,200.0,0.1293668895959854,85600,0.001
45,86299,1886,432,-137.28419008,10.295936584472656,200.0,0.43488070368766785,86400,0.001
45,87099,1909,436,-140.05800377,6.804014205932617,200.0,0.2425999790430069,87200,0.001
45,87899,1932,440,-137.83706940000002,4.801738739013672,200.0,0.24233749508857727,88000,0.001
45,88699,1958,444,-139.08263415,6.934054374694824,200.0,1.0118885040283203,88800,0.001
45,89499,1981,448,-137.63678908000003,10.422877311706543,200.0,0.1932336986064911,89600,0.001
