time/fps,train/n_updates,time/time_elapsed,time/episodes,rollout/ep_rew_mean,train/actor_loss,rollout/ep_len_mean,train/critic_loss,time/total_timesteps,train/learning_rate
61,699,13,4,-1597.6516615,30.450664520263672,200.0,0.01037898100912571,800,0.001
56,1499,28,8,-1527.28225075,56.22426223754883,200.0,0.024135379120707512,1600,0.001
54,2299,43,12,-1468.4058758333333,80.10032653808594,200.0,0.048710908740758896,2400,0.001
53,3099,59,16,-1383.0367518125,97.80524444580078,200.0,0.23233655095100403,3200,0.001
53,3899,74,20,-1274.07260905,109.86477661132812,200.0,0.40970614552497864,4000,0.001
53,4699,90,24,-1271.825534875,117.09024047851562,200.0,1.144906759262085,4800,0.001
52,5499,105,28,-1201.6761236785715,117.52758026123047,200.0,1.320204496383667,5600,0.001
52,6299,121,32,-1113.6055331875,124.09521484375,200.0,0.8315539360046387,6400,0.001
52,7099,136,36,-1024.6983531666667,129.6649169921875,200.0,0.9396567940711975,7200,0.001
52,7899,152,40,-938.83009995,120.91670227050781,200.0,1.2520735263824463,8000,0.001
52,8699,167,44,-864.8216076590908,116.94554138183594,200.0,1.263045310974121,8800,0.001
52,9499,183,48,-807.5186185833333,110.84410858154297,200.0,1.5988267660140991,9600,0.001
52,10299,198,52,-754.8793989230768,118.71963500976562,200.0,1.4652948379516602,10400,0.001
52,11099,214,56,-711.5375262142855,103.14981079101562,200.0,1.7364144325256348,11200,0.001
52,11899,229,60,-674.5086441999998,91.48734283447266,200.0,1.528891682624817,12000,0.001
52,12699,245,64,-638.007074015625,92.35224151611328,200.0,1.2539080381393433,12800,0.001
52,13499,261,68,-611.0591633088234,77.2010269165039,200.0,2.0449059009552,13600,0.001
52,14299,276,72,-587.3818637361112,76.7655258178711,200.0,2.0266799926757812,14400,0.001
51,15099,292,76,-566.3011217368421,64.23990631103516,200.0,2.2494373321533203,15200,0.001
51,15899,308,80,-545.6644619625,67.92982482910156,200.0,1.7104737758636475,16000,0.001
51,16699,323,84,-525.3066680000001,62.513790130615234,200.0,1.8479098081588745,16800,0.001
51,17499,339,88,-511.07045715909095,58.52145767211914,200.0,2.1051621437072754,17600,0.001
51,18299,355,92,-495.44705891304346,45.20370864868164,200.0,1.943725824356079,18400,0.001
51,19099,370,96,-478.59016668749996,51.03140640258789,200.0,2.431220769882202,19200,0.001
51,19899,386,100,-467.76584592,44.96074676513672,200.0,1.4069373607635498,20000,0.001
51,20699,401,104,-413.60341155000003,31.72657585144043,200.0,0.9833453297615051,20800,0.001
51,21499,417,108,-361.26150473,32.62446212768555,200.0,2.200054168701172,21600,0.001
51,22299,433,112,-312.2346575899999,34.75139236450195,200.0,1.6197980642318726,22400,0.001
51,23099,448,116,-275.57850272,40.42226028442383,200.0,1.4624115228652954,23200,0.001
51,23899,464,120,-248.13671350000004,34.26652145385742,200.0,2.1138134002685547,24000,0.001
51,24699,480,124,-202.62646372999998,25.858932495117188,200.0,2.4668750762939453,24800,0.001
51,25499,496,128,-175.16037205000003,27.94445037841797,200.0,2.0117454528808594,25600,0.001
51,26299,511,132,-161.51183131,28.544677734375,200.0,2.5218732357025146,26400,0.001
51,27099,530,136,-158.23709272,28.1551513671875,200.0,1.1769099235534668,27200,0.001
51,27899,547,140,-156.64551713999998,23.486223220825195,200.0,1.0292584896087646,28000,0.001
51,28699,562,144,-158.94562762,23.592220306396484,200.0,1.557722806930542,28800,0.001
51,29499,578,148,-159.37375126,18.553680419921875,200.0,1.0959999561309814,29600,0.001
51,30299,593,152,-161.74031313,21.180946350097656,200.0,0.7526847124099731,30400,0.001
51,31099,609,156,-159.59290972999997,23.016542434692383,200.0,0.99969083070755,31200,0.001
51,31899,625,160,-157.01350607000003,14.447388648986816,200.0,1.9938242435455322,32000,0.001
51,32699,640,164,-159.54417375,8.48114013671875,200.0,1.0105725526809692,32800,0.001
51,33499,656,168,-156.04641806,17.49983024597168,200.0,0.9646381735801697,33600,0.001
51,34299,672,172,-155.46572199,13.68329906463623,200.0,1.8644614219665527,34400,0.001
51,35099,688,176,-156.35682215,9.632091522216797,200.0,1.778667688369751,35200,0.001
51,35899,703,180,-153.86300888,8.761486053466797,200.0,1.1615208387374878,36000,0.001
51,36699,719,184,-155.20551717,18.24673843383789,200.0,0.713815450668335,36800,0.001
51,37499,735,188,-152.73566875999998,2.792975425720215,200.0,0.8481388092041016,37600,0.001
51,38299,751,192,-151.67790345,9.388099670410156,200.0,0.984062671661377,38400,0.001
51,39099,767,196,-152.9845626,11.034601211547852,200.0,1.4196527004241943,39200,0.001
51,39899,783,200,-152.08558123,3.270388126373291,200.0,1.24761164188385,40000,0.001
51,40699,799,204,-149.46700894999998,5.415182113647461,200.0,1.7302414178848267,40800,0.001
51,41499,815,208,-150.5729763,2.1600027084350586,200.0,0.7552990913391113,41600,0.001
51,42299,831,212,-151.55383133,-0.008961424231529236,200.0,1.090232253074646,42400,0.001
50,43099,847,216,-150.42178058000002,7.043127059936523,200.0,1.2610623836517334,43200,0.001
50,43899,863,220,-151.71756257,-3.889202356338501,200.0,0.8629459738731384,44000,0.001
50,44699,879,224,-152.86482633,9.605684280395508,200.0,1.5552819967269897,44800,0.001
50,45499,895,228,-154.96551682,2.4141852855682373,200.0,1.9415690898895264,45600,0.001
50,46299,911,232,-153.60825630999997,4.246436595916748,200.0,1.0929415225982666,46400,0.001
50,47099,927,236,-150.35208407,1.2256481647491455,200.0,0.9607136845588684,47200,0.001
50,47899,943,240,-150.38886316,-1.0792680978775024,200.0,1.0016196966171265,48000,0.001
50,48699,959,244,-148.95328438,-3.4686315059661865,200.0,1.0715488195419312,48800,0.001
50,49499,975,248,-146.82484875,-9.759474754333496,200.0,0.5639503002166748,49600,0.001
50,50299,992,252,-147.19044713999997,-3.2472023963928223,200.0,1.5066381692886353,50400,0.001
50,51099,1008,256,-149.73857400999998,-8.299154281616211,200.0,1.1344815492630005,51200,0.001
50,51899,1024,260,-153.53158094,-3.563277006149292,200.0,1.3864635229110718,52000,0.001
50,52699,1041,264,-155.94827956,-17.859636306762695,200.0,1.5797481536865234,52800,0.001
50,53499,1057,268,-155.94945871000002,-10.502317428588867,200.0,1.36419677734375,53600,0.001
50,54299,1074,272,-154.16082778,-15.232261657714844,200.0,1.1243520975112915,54400,0.001
50,55099,1091,276,-149.88716049,-18.28060531616211,200.0,0.7271554470062256,55200,0.001
50,55899,1107,280,-150.20954050999998,-17.177295684814453,200.0,1.107420802116394,56000,0.001
50,56699,1124,284,-148.12330172999998,-19.17626190185547,200.0,1.448250412940979,56800,0.001
50,57499,1141,288,-149.59190358,-24.857860565185547,200.0,1.2490615844726562,57600,0.001
50,58299,1159,292,-151.04990285000002,-20.66478729248047,200.0,1.4934475421905518,58400,0.001
50,59099,1176,296,-153.52070677,-21.43845558166504,200.0,1.9679303169250488,59200,0.001
50,59899,1193,300,-151.35733228,-21.457496643066406,200.0,0.8746644258499146,60000,0.001
50,60699,1210,304,-146.87822187,-21.205894470214844,200.0,0.5202910900115967,60800,0.001
50,61499,1228,308,-144.83729299,-19.205129623413086,200.0,0.7223671078681946,61600,0.001
50,62299,1246,312,-144.98988343000002,-22.199588775634766,200.0,3.2165720462799072,62400,0.001
49,63099,1264,316,-145.73405184,-20.374889373779297,200.0,0.9944928884506226,63200,0.001
49,63899,1281,320,-144.51459013,-16.62932014465332,200.0,0.671425461769104,64000,0.001
49,64699,1299,324,-144.68371991,-16.74208641052246,200.0,1.786663293838501,64800,0.001
49,65499,1318,328,-144.13175081,-18.31764793395996,200.0,0.684221625328064,65600,0.001
49,66299,1336,332,-143.23789688,-19.661182403564453,200.0,0.9232683777809143,66400,0.001
49,67099,1355,336,-143.34184498999997,-18.45499038696289,200.0,0.7552531361579895,67200,0.001
49,67899,1373,340,-143.55677402,-13.598031044006348,200.0,0.3875977694988251,68000,0.001
49,68699,1392,344,-141.69322608000002,-18.543838500976562,200.0,2.025632858276367,68800,0.001
49,69499,1411,348,-142.59870448,-16.46233367919922,200.0,0.6185800433158875,69600,0.001
49,70299,1430,352,-142.44699229999998,-17.22083854675293,200.0,0.6684485673904419,70400,0.001
