time/total_timesteps,rollout/ep_len_mean,time/iterations,time/time_elapsed,time/fps,rollout/ep_rew_mean,train/policy_gradient_loss,train/std,train/n_updates,train/clip_fraction,train/loss,train/clip_range,train/approx_kl,train/learning_rate,train/explained_variance,train/entropy_loss,train/value_loss
2048,200.0,1,1,1255,-1317.3899649,,,,,,,,,,,
4096,200.0,2,4,849,-1259.7827514,-0.005122255379683338,0.9714357256889343,10,0.045068359375,5147.96484375,0.2,0.0055173375,0.0003,-0.001565694808959961,-1.401822166889906,10614.417697143555
6144,200.0,3,7,775,-1198.5372920000002,-0.00141645957774017,0.9739638566970825,20,0.00537109375,4029.99853515625,0.2,0.0014165838,0.0003,0.18315887451171875,-1.3913622815161943,8164.3654708862305
8192,200.0,4,11,742,-1187.32261005,-0.00270656285865698,0.9885835647583008,30,0.02646484375,3120.74267578125,0.2,0.0029813047,0.0003,0.10952413082122803,-1.400131505727768,6519.528788757324
10240,200.0,5,14,723,-1167.7410763921566,-0.002697133892797865,0.9673348665237427,40,0.01494140625,3222.28515625,0.2,0.0029435898,0.0003,0.013998210430145264,-1.397144627571106,7160.8449630737305
12288,200.0,6,17,699,-1152.9210204590158,-0.002026733520324342,0.9564668536186218,50,0.026904296875,3558.236572265625,0.2,0.0038358518,0.0003,0.006969809532165527,-1.3792469568550587,7081.241534423828
14336,200.0,7,21,675,-1157.0376398028166,-0.002629330077616032,0.9365983009338379,60,0.01826171875,2508.466064453125,0.2,0.0037198158,0.0003,0.0025397539138793945,-1.3635883059352636,6083.625155639648
16384,200.0,8,24,663,-1165.9060307160494,-0.0018240363075165077,0.9226629137992859,70,0.015673828125,3775.515625,0.2,0.0028921962,0.0003,0.0016270279884338379,-1.3442198146134614,7389.986854553223
18432,200.0,9,27,661,-1161.627524826087,-0.000219791496056132,0.9173595309257507,80,0.001123046875,4410.17041015625,0.2,0.0017737271,0.0003,0.001031339168548584,-1.336191876605153,8531.50058441162
20480,200.0,10,30,661,-1134.7220676000004,-0.0016555627873458434,0.9289953112602234,90,0.015380859375,2622.733154296875,0.2,0.0032109602,0.0003,0.0012801885604858398,-1.3378446262329817,5936.350765991211
22528,200.0,11,34,661,-1123.67819899,-0.001192088660900481,0.91876620054245,100,0.013037109375,2348.082275390625,0.2,0.00179172,0.0003,0.0008838176727294922,-1.3401210453361272,4995.572469329834
24576,200.0,12,37,661,-1145.40167128,-0.0033588486723601816,0.9168477058410645,110,0.0333984375,2601.218017578125,0.2,0.0039428845,0.0003,0.0005881190299987793,-1.3314816642552614,5741.235426330566
26624,200.0,13,40,661,-1157.7108933800002,-0.001623269883566536,0.92308509349823,120,0.013671875,3758.437744140625,0.2,0.002662113,0.0003,0.00023299455642700195,-1.3357446815818548,8985.777053833008
28672,200.0,14,43,661,-1152.53403514,-0.0030094541725702584,0.9119192361831665,130,0.03359375,3304.729736328125,0.2,0.0054017077,0.0003,0.00025832653045654297,-1.3335286382585765,7446.884992980957
30720,200.0,15,46,659,-1153.15214531,-0.0007177777690230869,0.91489577293396,140,0.006005859375,2409.933349609375,0.2,0.0027176521,0.0003,0.0004087686538696289,-1.3283095046877862,4881.113898468017
32768,200.0,16,49,659,-1161.7521012700001,-0.00029627916883327997,0.913438081741333,150,0.003955078125,2740.167236328125,0.2,0.0010579845,0.0003,0.00021147727966308594,-1.3307363528758287,6206.0366683959965
34816,200.0,17,52,660,-1169.84728794,-0.0017700493335723877,0.8988527059555054,160,0.02099609375,2522.958251953125,0.2,0.0036149381,0.0003,0.00018733739852905273,-1.319736635312438,5638.420526885986
36864,200.0,18,55,660,-1142.9508029600001,-0.0016130287214764394,0.9008816480636597,170,0.014111328125,2829.767822265625,0.2,0.0026949318,0.0003,0.0001227259635925293,-1.312573092058301,5951.830659484864
38912,200.0,19,59,655,-1148.92479938,-0.002346103578747716,0.8763294219970703,180,0.023681640625,2104.836181640625,0.2,0.0036006158,0.0003,0.00017142295837402344,-1.2997438035905362,4235.637241363525
40960,200.0,20,62,652,-1155.59400415,-0.004406120384373935,0.861825168132782,190,0.035205078125,2212.115234375,0.2,0.004349767,0.0003,7.873773574829102e-05,-1.2762442424893379,4811.082357025147
43008,200.0,21,65,652,-1161.79171511,-0.002011126141587738,0.853788435459137,200,0.016015625,2254.92578125,0.2,0.0027862745,0.0003,9.85264778137207e-05,-1.2658277887851,4943.681880950928
45056,200.0,22,68,653,-1135.2646646599999,-0.00032128712991834617,0.8506828546524048,210,0.00546875,2403.791748046875,0.2,0.0021398137,0.0003,7.796287536621094e-05,-1.260027851909399,5615.034062194824
47104,200.0,23,72,653,-1128.4740136300002,-0.0019217265566112474,0.8380162715911865,220,0.021533203125,1690.9180908203125,0.2,0.0035674053,0.0003,7.492303848266602e-05,-1.2494452074170113,3879.4395698547364
49152,200.0,24,75,653,-1129.16514422,-0.0038135103983222506,0.8238213658332825,230,0.04140625,1752.2960205078125,0.2,0.0042657806,0.0003,4.982948303222656e-05,-1.2328843392431736,4756.446083068848
51200,200.0,25,78,654,-1111.6557266,-0.002485979722405318,0.814885675907135,240,0.04599609375,2307.109130859375,0.2,0.0050793365,0.0003,5.346536636352539e-05,-1.2201316565275193,4238.109518432617
53248,200.0,26,81,654,-1097.39723409,-0.002329013092094101,0.7874752283096313,250,0.015087890625,1649.242431640625,0.2,0.0029336049,0.0003,3.916025161743164e-05,-1.196627875044942,3497.6345123291017
55296,200.0,27,84,655,-1095.9390994299997,-0.0007279839323018677,0.7775214314460754,260,0.026513671875,1191.6143798828125,0.2,0.0048046606,0.0003,4.398822784423828e-05,-1.1739095371216535,2594.925722885132
57344,200.0,28,87,654,-1118.8281507600002,-0.0010956155660096557,0.7791056036949158,270,0.00703125,1978.843994140625,0.2,0.001781952,0.0003,3.1054019927978516e-05,-1.1694452498108148,4491.484279632568
59392,200.0,29,90,655,-1117.0884362099998,-0.004187079041003017,0.766518235206604,280,0.036328125,2382.04248046875,0.2,0.004493328,0.0003,1.9788742065429688e-05,-1.1615085944533348,4488.624652862549
61440,200.0,30,93,655,-1124.10227772,-0.0026110253944352734,0.7489644885063171,290,0.0236328125,1796.4639892578125,0.2,0.0033092352,0.0003,1.895427703857422e-05,-1.1407662637531757,4585.67936630249
63488,200.0,31,96,655,-1107.90325915,-0.0017442206968553363,0.7321582436561584,300,0.015087890625,1618.578857421875,0.2,0.0028441446,0.0003,1.704692840576172e-05,-1.1186334125697612,3393.5373817443847
65536,200.0,32,99,655,-1112.82039203,-0.0033310479499050415,0.728369414806366,310,0.027783203125,1295.62060546875,0.2,0.0031235463,0.0003,1.5437602996826172e-05,-1.1038067020475864,2763.739398956299
67584,200.0,33,103,656,-1104.3034820999999,-0.0019749130064155907,0.7340654134750366,320,0.02626953125,1189.358642578125,0.2,0.0031786705,0.0003,1.2993812561035156e-05,-1.105912171676755,2948.6275955200194
69632,200.0,34,106,656,-1096.3742871000002,-0.0017939965007826685,0.7255511283874512,330,0.01748046875,1174.020751953125,0.2,0.0034199029,0.0003,1.0967254638671875e-05,-1.1025165125727654,2714.867234420776
71680,200.0,35,109,656,-1091.65265804,-0.002171333962905919,0.7285206317901611,340,0.033203125,1227.2030029296875,0.2,0.0039549107,0.0003,8.344650268554688e-06,-1.099946914613247,2559.5621604919434
73728,200.0,36,112,656,-1108.93960682,-0.0035791652349871582,0.7179584503173828,350,0.05224609375,982.0648803710938,0.2,0.0046156636,0.0003,6.139278411865234e-06,-1.0954692602157592,2132.2128898620604
75776,200.0,37,115,657,-1086.70150696,-0.0020245889005309436,0.7303492426872253,360,0.02509765625,893.9912719726562,0.2,0.0048444564,0.0003,5.0067901611328125e-06,-1.095235486701131,2620.1745372772216
77824,200.0,38,118,657,-1053.66811373,-0.0031980412153643557,0.7164771556854248,370,0.03603515625,1070.5147705078125,0.2,0.0042550955,0.0003,4.947185516357422e-06,-1.0948924161493778,1860.908688735962
79872,200.0,39,121,657,-1037.36202741,-0.004931395971652819,0.7180532217025757,380,0.06767578125,533.34716796875,0.2,0.0065149735,0.0003,4.410743713378906e-06,-1.0875078961253166,1387.073120880127
81920,200.0,40,124,657,-1023.7648590800002,-0.0021307275601429865,0.6992506980895996,390,0.019140625,1052.8785400390625,0.2,0.0035479767,0.0003,3.039836883544922e-06,-1.07426072396338,1951.652058029175
83968,200.0,41,127,657,-1021.35444618,-0.0003370883103343658,0.6944952011108398,400,0.0177734375,832.2779541015625,0.2,0.002308865,0.0003,3.993511199951172e-06,-1.055574458837509,1672.6954627990722
86016,200.0,42,130,657,-1015.77060343,-0.003250936542463023,0.6860194802284241,410,0.03720703125,655.7537841796875,0.2,0.0041426336,0.0003,2.86102294921875e-06,-1.0471492372453213,1748.7333179473876
88064,200.0,43,134,657,-1013.5520703599999,-0.002875711202796083,0.6825473308563232,420,0.04091796875,898.8938598632812,0.2,0.004918157,0.0003,2.9206275939941406e-06,-1.0385047029703856,1958.6241649627686
90112,200.0,44,138,652,-1017.82754222,-0.0028774560654710513,0.6906747221946716,430,0.036181640625,785.991943359375,0.2,0.004111367,0.0003,2.384185791015625e-06,-1.0434900932013988,1756.4567420959472
92160,200.0,45,141,651,-1004.99417311,-0.003293107991339639,0.6938207745552063,440,0.032568359375,1131.55029296875,0.2,0.0038808207,0.0003,1.8477439880371094e-06,-1.0508809138089419,1907.9983951568604
94208,200.0,46,145,648,-1003.8348166199999,-0.003650650025520008,0.6785435676574707,450,0.058642578125,414.16351318359375,0.2,0.0065465,0.0003,1.6093254089355469e-06,-1.040893517062068,1074.5176805496217
96256,200.0,47,149,645,-1017.2901462600001,-0.0033580765084479935,0.6773520708084106,460,0.037451171875,745.5374755859375,0.2,0.0050115744,0.0003,1.5497207641601562e-06,-1.0281590092927217,1834.303113937378
