rollout/ep_rew_mean,time/fps,time/total_timesteps,time/iterations,time/time_elapsed,rollout/ep_len_mean,train/learning_rate,train/policy_gradient_loss,train/value_loss,train/loss,train/clip_fraction,train/entropy_loss,train/approx_kl,train/std,train/clip_range,train/n_updates,train/explained_variance
-1192.0248628000002,760,2048,1,2,200.0,,,,,,,,,,,
-1178.8994607,617,4096,2,6,200.0,0.0003,-0.0003153221870888956,9167.416186523438,4481.8642578125,0.001220703125,-1.4180146411061287,0.0012543619,0.9973450899124146,0.2,10,0.0015087127685546875
-1144.0008153000003,606,6144,3,10,200.0,0.0003,-0.0005339202311006374,7932.7415222167965,3707.742919921875,0.00146484375,-1.4163377299904822,0.001502075,0.9961220026016235,0.2,20,0.15664321184158325
-1149.23275645,592,8192,4,13,200.0,0.0003,-0.0003682574944832595,6027.132473754883,2876.198974609375,0.0052734375,-1.4161115616559983,0.0028871773,0.9966229200363159,0.2,30,0.11090320348739624
-1149.9395472549018,578,10240,5,17,200.0,0.0003,-0.002742863169623888,7702.656729125976,3272.789306640625,0.02919921875,-1.407575849071145,0.0033417856,0.9819434285163879,0.2,40,0.012374937534332275
-1163.2419727213116,580,12288,6,21,200.0,0.0003,-0.0017375004506902769,7646.776152038574,3552.43603515625,0.003515625,-1.4097722835838795,0.0020228825,1.0000954866409302,0.2,50,0.00392991304397583
-1146.1937306338025,582,14336,7,24,200.0,0.0003,-0.0011361383818439207,8330.65795135498,3788.22998046875,0.00859375,-1.410894738137722,0.0019661796,0.9823897480964661,0.2,60,0.0030614137649536133
-1159.909193839506,566,16384,8,28,200.0,0.0003,-0.001581620122306049,5703.223960876465,2557.975830078125,0.011279296875,-1.3975928097963333,0.002176312,0.9768201112747192,0.2,70,0.002095639705657959
-1172.579651902174,560,18432,9,32,200.0,0.0003,-0.0007385798016912304,7888.231137084961,3243.62158203125,0.00126953125,-1.3878075659275055,0.0013417578,0.9624085426330566,0.2,80,0.0008587837219238281
-1172.40003031,567,20480,10,36,200.0,0.0003,-0.0015011509982286952,8474.096447753906,3562.545166015625,0.015185546875,-1.3776692356914282,0.0023594832,0.9570422172546387,0.2,90,0.0006750822067260742
-1155.51765794,567,22528,11,39,200.0,0.0003,-0.0031804019919945857,5936.215383911132,2755.92724609375,0.01611328125,-1.367218255251646,0.002277997,0.9410401582717896,0.2,100,0.0010575056076049805
-1161.26067869,568,24576,12,43,200.0,0.0003,-0.002274744785972871,6363.369039916992,2620.071044921875,0.01240234375,-1.3635706834495067,0.0030294452,0.9505364894866943,0.2,110,0.0006439089775085449
-1163.3297468500002,569,26624,13,46,200.0,0.0003,-0.0010198687188676559,6841.264010620117,3150.62548828125,0.0072265625,-1.3619939591735601,0.0022315183,0.9369505643844604,0.2,120,0.0004659891128540039
-1165.3269119200002,572,28672,14,50,200.0,0.0003,-0.0008903213230951224,5243.2358474731445,2379.064453125,0.01005859375,-1.359036998450756,0.002459886,0.9451732039451599,0.2,130,0.00040608644485473633
-1137.17519706,569,30720,15,53,200.0,0.0003,-0.0027067617018474268,5157.619654846191,2065.546142578125,0.02373046875,-1.357734178379178,0.0027359736,0.9378949999809265,0.2,140,0.00033539533615112305
-1158.36747852,567,32768,16,57,200.0,0.0003,-0.001101887266850099,4302.955129241944,1671.3699951171875,0.0142578125,-1.3499479681253432,0.0011638529,0.929260790348053,0.2,150,0.0002536177635192871
-1157.43898841,564,34816,17,61,200.0,0.0003,-0.0013197513966588304,7369.748080444336,3221.876953125,0.01220703125,-1.344326739013195,0.0031291945,0.9284929037094116,0.2,160,0.00013834238052368164
-1136.3460946999999,567,36864,18,64,200.0,0.0003,-0.0029260782350320367,4511.5240127563475,2437.357177734375,0.029248046875,-1.342395206540823,0.003688646,0.9271572828292847,0.2,170,0.00013893842697143555
-1123.92887617,571,38912,19,68,200.0,0.0003,-0.0038592181022977456,4415.850784301758,1771.468505859375,0.022509765625,-1.3605318248271943,0.0038236883,0.9542096257209778,0.2,180,9.846687316894531e-05
-1117.7812389100002,574,40960,20,71,200.0,0.0003,-0.0032059779579867607,5362.247244262695,2571.362060546875,0.023193359375,-1.3820995345711709,0.0033582058,0.971114993095398,0.2,190,8.45193862915039e-05
-1108.9543960800002,578,43008,21,74,200.0,0.0003,-0.0004445199389010668,4191.135067749024,1947.059326171875,0.00693359375,-1.3900301657617091,0.0017049712,0.9712438583374023,0.2,200,7.975101470947266e-05
-1112.47242302,579,45056,22,77,200.0,0.0003,-0.0005290668283123523,3981.9267707824706,1574.423095703125,0.013525390625,-1.3892787471413612,0.0041261776,0.9723978042602539,0.2,210,5.728006362915039e-05
-1113.08109664,581,47104,23,80,200.0,0.0003,-0.0012277238318347372,5368.022312927246,2692.893310546875,0.0162109375,-1.387669237330556,0.003181243,0.9667593240737915,0.2,220,4.166364669799805e-05
-1108.16004638,584,49152,24,84,200.0,0.0003,-0.0027158552897162736,3769.4144355773924,1736.408203125,0.024072265625,-1.3870938390493393,0.004260893,0.9721317291259766,0.2,230,4.3392181396484375e-05
-1103.99713788,582,51200,25,87,200.0,0.0003,-0.0014853721731924452,3598.3501525878905,1718.0472412109375,0.021826171875,-1.385698128119111,0.0028111006,0.9656265377998352,0.2,240,3.790855407714844e-05
-1091.07086037,582,53248,26,91,200.0,0.0003,-0.002171936017111875,3690.7114768981933,1767.2142333984375,0.014013671875,-1.3738227903842926,0.0031165932,0.9501287937164307,0.2,250,2.8967857360839844e-05
