rollout/ep_len_mean,time/total_timesteps,time/episodes,train/n_updates,train/critic_loss,train/ent_coef_loss,train/ent_coef,time/time_elapsed,rollout/ep_rew_mean,train/learning_rate,time/fps,train/actor_loss
843.0,3372,4,3271,0.07603609561920166,-6.539432048797607,0.37467777729034424,68,-99.32708699999999,0.0003,48,-20.78636360168457
475.75,3806,8,3705,0.32819485664367676,-7.365157127380371,0.32912322878837585,79,-105.4296195,0.0003,48,-21.389598846435547
608.5833333333334,7303,12,7202,0.7875598073005676,-11.090959548950195,0.12145186215639114,153,-104.22669491666666,0.0003,47,-25.680110931396484
587.1875,9395,16,9294,1.585700511932373,-8.113024711608887,0.07252903282642365,198,-108.268610875,0.0003,47,-25.22893524169922
486.3,9726,20,9625,1.0035611391067505,-7.9834794998168945,0.06708710640668869,206,-107.10223645,0.0003,47,-25.9370174407959
419.125,10059,24,9958,1.6686495542526245,-5.534246444702148,0.062213703989982605,214,-106.13908991666666,0.0003,47,-25.188058853149414
373.25,10451,28,10350,7.373438358306885,-8.865972518920898,0.05664683133363724,223,-105.09099864285714,0.0003,46,-25.244770050048828
336.125,10756,32,10655,2.6479382514953613,-5.537722110748291,0.05263473093509674,230,-105.01724359375001,0.0003,46,-23.539058685302734
353.47222222222223,12725,36,12624,1.3639297485351562,-2.8458826541900635,0.034220241010189056,272,-104.09681002777778,0.0003,46,-23.525840759277344
423.075,16923,40,16822,1.4284968376159668,-0.5278738737106323,0.01874149963259697,362,-105.51253427500001,0.0003,46,-19.34918785095215
414.02272727272725,18217,44,18116,1.0105102062225342,-0.273797869682312,0.018627768382430077,390,-106.29908147727274,0.0003,46,-20.828828811645508
385.5208333333333,18505,48,18404,0.9614039063453674,-0.3533123731613159,0.01807931810617447,397,-106.25273027083334,0.0003,46,-19.05342674255371
362.84615384615387,18868,52,18767,0.9442849159240723,-2.0389699935913086,0.01750897616147995,405,-106.02975078846154,0.0003,46,-20.71856117248535
343.4642857142857,19234,56,19133,1.4150300025939941,-2.0315377712249756,0.017074087634682655,414,-105.91335380357143,0.0003,46,-17.93592643737793
327.1,19626,60,19525,47.39055633544922,1.5876555442810059,0.017095668241381645,423,-105.84809728333332,0.0003,46,-15.9353666305542
318.21875,20366,64,20265,1.8596129417419434,0.6477497816085815,0.01763497106730938,440,-106.77885496875001,0.0003,46,-15.501910209655762
350.9852941176471,23867,68,23766,1.5143272876739502,1.5024333000183105,0.018550321459770203,515,-105.80585061764705,0.0003,46,-15.429786682128906
368.0,26496,72,26395,2.4177846908569336,0.7806283235549927,0.022397125139832497,571,-105.35487713888888,0.0003,46,-15.986088752746582
432.8421052631579,32896,76,32795,2.39401912689209,-0.015716075897216797,0.018682997673749924,707,-104.02315590789473,0.0003,46,-15.075094223022461
491.2,39296,80,39195,0.5692500472068787,-0.5653727054595947,0.015668347477912903,843,-103.62466805,0.0003,46,-13.905046463012695
523.6428571428571,43986,84,43885,0.9075042605400085,0.30489999055862427,0.015174043364822865,944,-103.31267138095237,0.0003,46,-12.109262466430664
538.4318181818181,47382,88,47281,0.6916625499725342,-0.3584473729133606,0.014098077081143856,1017,-103.6339220340909,0.0003,46,-10.62132740020752
559.945652173913,51515,92,51414,0.6724498271942139,2.0343096256256104,0.011609969660639763,1106,-103.45763009782608,0.0003,46,-8.492582321166992
577.2291666666666,55414,96,55313,0.5420859456062317,-0.44992202520370483,0.009860712103545666,1190,-103.35663771875,0.0003,46,-8.257905006408691
581.85,58185,100,58084,0.6256780028343201,0.9281238913536072,0.009137959219515324,1251,-102.72259493,0.0003,46,-5.075239658355713
597.85,63157,104,63056,0.2911383807659149,-0.9743842482566833,0.008326854556798935,1359,-102.07781610999999,0.0003,46,-6.3645524978637695
657.51,69557,108,69456,0.5415551662445068,2.304248332977295,0.008945793844759464,1509,-100.17803928000001,0.0003,46,-2.080829620361328
672.98,74601,112,74500,0.3915500342845917,-1.3749521970748901,0.006725335493683815,1626,-99.64880318,0.0003,45,-3.206678867340088
716.06,81001,116,80900,0.3350440561771393,0.06880249083042145,0.007242296822369099,1772,-97.71179823,0.0003,45,-3.3636415004730225
762.14,85940,120,85839,0.22657188773155212,-0.04168581962585449,0.0071723018772900105,1887,-97.59592246,0.0003,45,-3.5527212619781494
779.07,87966,124,87865,0.27689892053604126,0.7367913126945496,0.006670920643955469,1935,-96.83545520999998,0.0003,45,-1.7871067523956299
822.88,92739,128,92638,0.27573516964912415,1.0568313598632812,0.006876462139189243,2048,-95.71891019,0.0003,45,-1.6665644645690918
853.45,96101,132,96000,0.4144073724746704,-1.7730286121368408,0.006360928528010845,2129,-92.69533850999998,0.0003,45,-2.0067670345306396
849.6,97685,136,97584,0.5679104328155518,-0.016480527818202972,0.00622420571744442,2168,-92.0713261,0.0003,45,-1.9811123609542847
850.9,102013,140,101912,0.2391362488269806,-2.5425803661346436,0.005285211373120546,2272,-87.70319568999999,0.0003,44,-2.4944796562194824
891.07,107324,144,107223,0.6289395093917847,-1.410800814628601,0.004621168598532677,2399,-82.2014321,0.0003,44,-0.01324617862701416
909.69,109474,148,109373,0.31290072202682495,1.0935182571411133,0.004633880686014891,2452,-80.64315354,0.0003,44,-0.7378924489021301
970.06,115874,152,115773,0.1990901529788971,-1.2866425514221191,0.004821096081286669,2605,-74.41125197000001,0.0003,44,-1.2049927711486816
1030.4,122274,156,122173,0.2287425547838211,2.0417134761810303,0.004866293165832758,2761,-67.56315052,0.0003,44,0.06527306139469147
