train/ent_coef,train/ent_coef_loss,train/actor_loss,train/n_updates,time/episodes,time/total_timesteps,rollout/ep_len_mean,train/critic_loss,rollout/ep_rew_mean,time/fps,time/time_elapsed,train/learning_rate
0.9566997289657593,-0.2883017659187317,-4.926187992095947,149,4,250,62.5,183.2661590576172,-108.226572,75,3,0.0003
0.2303353101015091,-8.117462158203125,-20.705537796020508,5004,8,5105,638.125,0.846591591835022,-105.69432825,43,118,0.0003
0.17319869995117188,-8.210289001464844,-22.281841278076172,6030,12,6131,510.9166666666667,2.2331221103668213,-110.29982125,43,140,0.0003
0.14032089710235596,-8.976533889770508,-21.142295837402344,6799,16,6900,431.25,2.0263383388519287,-110.697207875,43,158,0.0003
0.12298063188791275,-7.6457695960998535,-18.78459930419922,7304,20,7405,370.25,2.5472028255462646,-110.99339130000001,43,169,0.0003
0.08533519506454468,-8.088605880737305,-21.144630432128906,8670,24,8771,365.4583333333333,2.6981453895568848,-113.05712612500001,43,199,0.0003
0.07145285606384277,-7.339287757873535,-20.4488468170166,9365,28,9466,338.07142857142856,2.0136568546295166,-111.77052357142858,44,215,0.0003
0.06481427699327469,-8.299479484558105,-20.193025588989258,9740,32,9841,307.53125,21.201793670654297,-111.57695968750001,43,223,0.0003
0.06043735891580582,-7.606118202209473,-20.188175201416016,10012,36,10113,280.9166666666667,2.021476984024048,-110.59049058333335,43,230,0.0003
0.056487634778022766,-7.194382667541504,-18.826793670654297,10283,40,10384,259.6,2.451857566833496,-110.1994555,43,236,0.0003
0.040018483996391296,-5.96942663192749,-18.88226318359375,11814,44,11915,270.79545454545456,1.399138331413269,-110.08234847727272,44,270,0.0003
0.02633954957127571,-0.8811439275741577,-17.76531219482422,14381,48,14482,301.7083333333333,1.7910568714141846,-109.85072985416667,44,325,0.0003
0.018673008307814598,-0.7774631977081299,-12.899056434631348,18228,52,18329,352.4807692307692,0.773725152015686,-108.98183967307692,44,414,0.0003
0.01496606320142746,0.5515409708023071,-13.191462516784668,24304,56,24405,435.80357142857144,0.7064278721809387,-109.9317599642857,44,543,0.0003
0.011524316854774952,-0.5522105693817139,-12.723176956176758,30704,60,30805,513.4166666666666,0.4920024871826172,-109.53085718333334,45,679,0.0003
0.008908151648938656,-1.3731815814971924,-10.14953327178955,37104,64,37205,581.328125,0.3449453115463257,-107.555744078125,45,815,0.0003
0.009394524618983269,-0.1766829788684845,-7.300454616546631,40380,68,40481,595.3088235294117,0.34389322996139526,-106.81787926470588,45,886,0.0003
0.00925822090357542,-0.7671607732772827,-5.355461120605469,40535,72,40636,564.3888888888889,0.29640769958496094,-107.06894690277778,45,890,0.0003
0.007424716837704182,-0.9290228486061096,-5.568807601928711,42339,76,42440,558.421052631579,0.7295022010803223,-107.22894363157893,45,929,0.0003
0.006817735731601715,0.12213805317878723,-3.473618507385254,45718,80,45819,572.7375,0.6068882346153259,-106.746506275,45,1001,0.0003
0.007172479759901762,0.3289561867713928,-5.119324684143066,47522,84,47623,566.9404761904761,0.35860633850097656,-106.66082164285714,45,1046,0.0003
0.007682071998715401,1.74501633644104,-2.744922161102295,50897,88,50998,579.5227272727273,0.31686103343963623,-105.88494419318181,45,1123,0.0003
0.007028575055301189,-0.3069266080856323,-1.350886583328247,52811,92,52912,575.1304347826087,0.5042589902877808,-105.51194871739128,45,1166,0.0003
0.0066123888827860355,-1.2776331901550293,-0.2890598177909851,59211,96,59312,617.8333333333334,0.2486129105091095,-105.08581196874998,45,1316,0.0003
0.005999336019158363,-1.8784120082855225,-0.6985904574394226,64095,100,64196,641.96,0.12533310055732727,-104.65895691999998,45,1423,0.0003
0.004798100329935551,-0.2257431000471115,1.144986867904663,67742,104,67843,675.93,0.2865988612174988,-104.28972436000002,44,1511,0.0003
0.004351980518549681,1.8455311059951782,3.0771102905273438,74142,108,74243,691.38,0.267336368560791,-102.74789322999997,44,1656,0.0003
0.003965997602790594,-0.60282301902771,2.3737497329711914,79030,112,79131,730.0,0.17318373918533325,-99.99516807,44,1769,0.0003
0.003970467019826174,-2.7381606101989746,2.6860833168029785,84000,116,84101,772.01,0.19273678958415985,-98.0510659,44,1884,0.0003
0.0036046719178557396,0.02945101261138916,4.30803108215332,90400,120,90501,830.96,0.3477327823638916,-93.17754339,44,2035,0.0003
0.0034273017663508654,-0.024623915553092957,3.1954426765441895,95335,124,95436,866.65,0.42571669816970825,-90.67556568,44,2151,0.0003
0.0031787327025085688,0.9586378335952759,3.0668649673461914,101735,128,101836,923.7,0.063259556889534,-84.74727052999998,44,2302,0.0003
0.0036823181435465813,-1.014298439025879,3.3381571769714355,108033,132,108134,982.93,0.2113189399242401,-75.68571623,44,2451,0.0003
0.004208105616271496,-0.3615390658378601,1.9729492664337158,114290,136,114391,1042.78,0.15365469455718994,-66.18770309,44,2599,0.0003
0.0041571506299078465,-1.5481117963790894,0.9357302784919739,120690,140,120791,1104.07,0.15927177667617798,-52.682233020000005,43,2751,0.0003
0.004839201457798481,0.32411572337150574,1.3869291543960571,125572,144,125673,1137.58,0.15320055186748505,-42.689244609999996,43,2877,0.0003
0.005774448160082102,-2.5676233768463135,-0.683167576789856,131972,148,132073,1175.91,0.06983821094036102,-31.130015209999993,43,3031,0.0003
0.005605009850114584,-0.5754891633987427,-0.4605987071990967,136858,152,136959,1186.3,0.07086994498968124,-21.553831210000002,43,3148,0.0003
0.005707437638193369,0.49068352580070496,-0.24198636412620544,138566,156,138667,1142.62,0.1651698350906372,-21.767435580000004,43,3189,0.0003
