rollout/ep_len_mean,train/n_updates,time/fps,train/critic_loss,time/total_timesteps,time/time_elapsed,rollout/ep_rew_mean,train/learning_rate,time/episodes,train/actor_loss
273.5,993,50,44.69211196899414,1094,21,-131.1647605,0.001,4,-2.051318883895874
162.375,1198,50,131.17538452148438,1299,25,-116.676390875,0.001,8,1.0406179428100586
134.0,1507,50,11.70268440246582,1608,31,-111.76946550000001,0.001,12,-1.4352302551269531
121.0,1835,50,6.047623634338379,1936,38,-112.6045384375,0.001,16,-2.646193265914917
110.15,2102,50,63.999691009521484,2203,43,-112.94423485,0.001,20,-1.610758662223816
121.33333333333333,2811,50,39.20310974121094,2912,57,-114.27555512499998,0.001,24,-0.5247254371643066
172.78571428571428,4737,50,8.263208389282227,4838,95,-118.06087953571428,0.001,28,-2.0705459117889404
161.53125,5068,50,4.131278991699219,5169,102,-117.65343346875,0.001,32,-0.41153332591056824
152.25,5380,50,3.661746025085449,5481,108,-116.87309697222223,0.001,36,0.5370784997940063
144.3,5671,50,10.722635269165039,5772,114,-115.707174975,0.001,40,0.7605910301208496
147.22727272727272,6377,50,4.495888710021973,6478,128,-115.01192161363635,0.001,44,4.742635726928711
140.41666666666666,6639,50,7.043670654296875,6740,133,-114.0861494375,0.001,48,3.989999771118164
134.32692307692307,6884,50,7.513347625732422,6985,138,-113.28582478846153,0.001,52,1.8542757034301758
129.67857142857142,7161,50,4.984292984008789,7262,144,-112.75824957142858,0.001,56,7.542884826660156
126.0,7459,50,16.056873321533203,7560,150,-112.31534050000002,0.001,60,3.4738032817840576
123.25,7787,50,5.9341206550598145,7888,156,-112.0684065625,0.001,64,1.9174787998199463
122.08823529411765,8201,50,5.590254783630371,8302,165,-111.95810145588236,0.001,68,5.060842514038086
120.31944444444444,8562,50,5.843741416931152,8663,172,-111.75726734722222,0.001,72,8.734062194824219
120.4342105263158,9052,50,5.741964817047119,9153,182,-111.74523432894736,0.001,76,6.410800933837891
119.1875,9434,50,5.230424880981445,9535,189,-111.8137789125,0.001,80,10.737153053283691
118.73809523809524,9873,50,4.052021503448486,9974,198,-111.9128693333333,0.001,84,5.8829498291015625
