time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,time/episodes,train/critic_loss,train/learning_rate,train/n_updates,train/actor_loss
0,413,103.25,-251.05442925,2145,4,,,,
0,892,111.5,-251.3455715,2139,8,,,,
0,1359,113.25,-240.38550725000002,2150,12,,,,
0,1840,115.0,-236.56080675,2150,16,,,,
1,2206,110.3,-224.22417809999996,2150,20,,,,
1,2679,111.625,-232.64410575,2157,24,,,,
1,3198,114.21428571428571,-237.6775032857143,2162,28,,,,
1,3591,112.21875,-250.53936675,2161,32,,,,
1,4041,112.25,-241.43410702777777,2160,36,,,,
2,4467,111.675,-241.588571775,2163,40,,,,
2,4879,110.88636363636364,-231.8081697272727,2165,44,,,,
2,5417,112.85416666666667,-229.5602662916667,2165,48,,,,
2,5917,113.78846153846153,-236.5885972307692,2163,52,,,,
2,6312,112.71428571428571,-240.67768735714284,2165,56,,,,
3,6664,111.06666666666666,-236.18187989999998,2166,60,,,,
3,7100,110.9375,-236.109921578125,2166,64,,,,
3,7519,110.57352941176471,-234.18143694117646,2166,68,,,,
3,7882,109.47222222222223,-232.7528061527778,2166,72,,,,
3,8299,109.19736842105263,-236.26754105263163,2166,76,,,,
4,8763,109.5375,-232.13456292500004,2167,80,,,,
4,9231,109.89285714285714,-235.94600940476192,2168,84,,,,
4,9683,110.0340909090909,-239.43092096590908,2168,88,,,,
6,10077,109.53260869565217,-235.83582895652168,1672,92,190.7513885498047,0.001,76,1.892039179801941
37,11765,122.55208333333333,-236.5325409479167,311,96,109.03596496582031,0.001,1764,2.90032958984375
75,13721,137.21,-233.50071378000004,181,100,97.46345520019531,0.001,3720,1.157999038696289
106,15303,148.9,-234.31001117000002,144,104,35.92103958129883,0.001,5302,0.3371071517467499
138,16995,161.03,-228.84166715,122,108,27.14105224609375,0.001,6994,-4.731140613555908
181,19211,178.52,-225.66008963000004,105,112,27.215885162353516,0.001,9210,-2.78192138671875
221,21269,194.29,-226.12024887000004,95,116,52.84508514404297,0.001,11268,-3.403524398803711
282,24435,222.29,-222.53339631000003,86,120,17.48429298400879,0.001,14434,-5.164283752441406
337,27233,245.54,-211.91770857000003,80,124,21.59885597229004,0.001,17232,-7.948517799377441
393,30130,269.32,-202.06501433999998,76,128,32.86095428466797,0.001,20129,-14.340897560119629
422,31630,280.39,-186.88080227999998,74,132,12.318828582763672,0.001,21629,-11.251640319824219
