train/actor_loss,time/episodes,time/time_elapsed,train/n_updates,train/critic_loss,time/total_timesteps,train/learning_rate,rollout/ep_rew_mean,time/fps,rollout/ep_len_mean
2.450801372528076,4,4,258,9.90501594543457,359,0.001,-414.57068275,74,89.75
10.305831909179688,8,10,563,72.9030532836914,664,0.001,-419.229019625,64,83.0
8.299388885498047,12,19,1067,49.5272216796875,1168,0.001,-336.18661791666665,58,97.33333333333333
7.586688995361328,16,29,1570,62.72392272949219,1671,0.001,-292.511785875,56,104.4375
3.75878643989563,20,64,2920,21.83304214477539,3021,0.001,-280.0322654,46,151.05
6.986086845397949,24,91,4056,67.73158264160156,4157,0.001,-274.59446899999995,45,173.20833333333334
7.67103910446167,28,120,5232,5.067558288574219,5333,0.001,-256.8213793571428,44,190.46428571428572
9.064533233642578,32,186,8602,5.453390598297119,8703,0.001,-237.48518440625,46,271.96875
8.063197135925293,36,222,10428,8.430990219116211,10529,0.001,-220.43439266666667,47,292.47222222222223
12.177556991577148,40,250,11833,9.337236404418945,11934,0.001,-197.05328680000002,47,298.35
7.382352352142334,44,270,12745,7.686880111694336,12846,0.001,-183.0355091818182,47,291.95454545454544
8.364789009094238,48,287,13556,15.58089828491211,13657,0.001,-171.64561785416666,47,284.5208333333333
9.107793807983398,52,309,14630,11.57429313659668,14731,0.001,-163.5253207307692,47,283.28846153846155
9.789009094238281,56,326,15495,8.967817306518555,15596,0.001,-156.4572278392857,47,278.5
9.881214141845703,60,352,16754,7.802781105041504,16855,0.001,-159.1190734333334,47,280.9166666666667
7.870790004730225,64,382,18251,7.867226600646973,18352,0.001,-154.45532421875,48,286.75
12.090253829956055,68,423,20315,8.509065628051758,20416,0.001,-155.33628917647061,48,300.2352941176471
11.749167442321777,72,469,22598,23.35500144958496,22699,0.001,-156.70741766666666,48,315.2638888888889
11.44244384765625,76,545,26463,4.975577354431152,26564,0.001,-155.07721334210524,48,349.5263157894737
13.560014724731445,80,604,29397,10.335847854614258,29498,0.001,-153.4567619,48,368.725
13.55772876739502,84,643,31356,7.268429756164551,31457,0.001,-151.44719372619048,48,374.48809523809524
15.144049644470215,88,703,34364,5.589727878570557,34465,0.001,-150.32885007954545,48,391.64772727272725
15.8911714553833,92,739,36112,120.25767517089844,36213,0.001,-151.1475916304348,48,393.6195652173913
16.625732421875,96,819,40112,8.681506156921387,40213,0.001,-149.59722292708332,49,418.8854166666667
19.256614685058594,100,898,44112,6.5915021896362305,44213,0.001,-148.4619798,49,442.13
18.27198028564453,104,1011,48112,2.8632524013519287,48213,0.001,-136.2174535,47,478.54
22.84066390991211,108,1127,51342,3.682401657104492,51443,0.001,-121.74624977999999,45,507.79
21.65263557434082,112,1220,54588,3.7344233989715576,54689,0.001,-118.80908004000001,44,535.21
27.51807975769043,116,1285,57707,3.918346881866455,57808,0.001,-114.77693860000001,44,561.37
29.27614974975586,120,1364,61451,7.176594257354736,61552,0.001,-109.29230535000002,45,585.31
29.66729736328125,124,1420,64016,2.798152446746826,64117,0.001,-106.03487037000001,45,599.6
26.847686767578125,128,1509,68016,2.0261175632476807,68117,0.001,-105.03317570000002,45,627.84
28.006027221679688,132,1574,70836,3.02340030670166,70937,0.001,-106.87223240000002,45,622.34
26.410982131958008,136,1668,74836,2.8481369018554688,74937,0.001,-106.79009719,44,644.08
25.771486282348633,140,1750,78123,2.388113498687744,78224,0.001,-113.25388615,44,662.9
27.08053207397461,144,1853,82123,3.022458791732788,82224,0.001,-115.84053843,44,693.78
28.784814834594727,148,1951,85914,5.353679180145264,86015,0.001,-118.12500858,44,723.58
24.31559944152832,152,2023,88720,3.3713059425354004,88821,0.001,-122.19454171999998,43,740.9
23.442489624023438,156,2106,91853,3.4450888633728027,91954,0.001,-123.28086551,43,763.58
28.513219833374023,160,2212,95853,6.866702079772949,95954,0.001,-119.30432513,43,790.99
25.164003372192383,164,2297,99007,1.8082168102264404,99108,0.001,-120.71954609000002,43,807.56
23.73888397216797,168,2405,103007,2.853140354156494,103108,0.001,-118.77534625000003,42,826.92
24.363550186157227,172,2468,105310,5.47725772857666,105411,0.001,-117.3599153,42,827.12
21.5436954498291,176,2576,109310,2.012277603149414,109411,0.001,-117.16660122999998,42,828.47
24.08071517944336,180,2662,112447,2.312436819076538,112548,0.001,-114.93236055999999,42,830.5
21.657678604125977,184,2770,116447,4.081728458404541,116548,0.001,-114.32981075999999,42,850.91
20.68807601928711,188,2861,119733,1.9629572629928589,119834,0.001,-113.57990981999997,41,853.69
20.99697494506836,192,2952,123011,2.3276851177215576,123112,0.001,-112.84684003999999,41,868.99
21.476001739501953,196,3034,125942,4.660455703735352,126043,0.001,-114.40447409000001,41,858.3
21.276477813720703,200,3096,127975,2.040407180786133,128076,0.001,-115.85552513,41,838.63
20.300865173339844,204,3159,130244,3.2569596767425537,130345,0.001,-115.21337511999998,41,821.32
19.419618606567383,208,3229,132764,1.224104642868042,132865,0.001,-114.13233405000001,41,814.22
21.32261085510254,212,3311,135702,1.864835500717163,135803,0.001,-112.03071326,41,811.14
20.653854370117188,216,3406,139068,1.6298571825027466,139169,0.001,-112.86271672000001,40,813.61
21.223798751831055,220,3495,142189,1.4063034057617188,142290,0.001,-118.86742396000001,40,807.38
18.760456085205078,224,3567,144698,2.015812873840332,144799,0.001,-111.28024176000001,40,806.82
21.767375946044922,228,3650,147561,2.9445409774780273,147662,0.001,-108.79772292,40,795.45
21.270885467529297,232,3716,149855,2.39363956451416,149956,0.001,-103.91557332000001,40,790.19
