rollout/ep_len_mean,time/total_timesteps,time/episodes,rollout/ep_rew_mean,time/fps,time/time_elapsed,train/critic_loss,train/learning_rate,train/ent_coef,train/actor_loss,train/n_updates
94.75,379,4,-252.15946824999997,1910,0,,,,,
100.75,806,8,-245.657714,1986,0,,,,,
98.5,1182,12,-237.29074816666665,2034,0,,,,,
97.0625,1553,16,-241.899410875,1929,0,,,,,
101.1,2022,20,-225.28717550000002,1980,1,,,,,
105.04166666666667,2521,24,-223.83606829166663,2017,1,,,,,
103.17857142857143,2889,28,-223.48227814285715,2033,1,,,,,
106.84375,3419,32,-229.15056099999998,2055,1,,,,,
107.61111111111111,3874,36,-228.4673816944444,2067,1,,,,,
109.475,4379,40,-223.55417785,2078,2,,,,,
108.86363636363636,4790,44,-223.60887747727273,2086,2,,,,,
109.60416666666667,5261,48,-227.69537581249998,2093,2,,,,,
109.53846153846153,5696,52,-223.0802034807692,2097,2,,,,,
109.71428571428571,6144,56,-218.708401,2102,2,,,,,
108.85,6531,60,-220.2008258,2106,3,,,,,
109.046875,6979,64,-225.69807121875,2110,3,,,,,
107.80882352941177,7331,68,-221.43184533823532,2111,3,,,,,
107.34722222222223,7729,72,-220.13052366666668,2113,3,,,,,
107.48684210526316,8169,76,-216.44644484210528,2115,3,,,,,
107.0,8560,80,-217.5819558875,2118,4,,,,,
106.29761904761905,8929,84,-217.44082546428572,2119,4,,,,,
106.20454545454545,9346,88,-218.42322317045455,2122,4,,,,,
106.27173913043478,9777,92,-217.9443362173913,2124,4,,,,,
108.32291666666667,10399,96,-219.23679271875002,813,12,24.445981979370117,0.0003,0.10000000149011612,5.751563549041748,398
114.92,11492,100,-215.80713970000005,327,35,23.20945930480957,0.0003,0.10000000149011612,10.094503402709961,1491
136.32,14011,104,-216.30521022000002,150,92,20.81855583190918,0.0003,0.10000000149011612,12.01528263092041,4010
164.32,17238,108,-210.67944815000007,103,166,36.90264892578125,0.0003,0.10000000149011612,-2.2716987133026123,7237
174.88,18670,112,-208.56735911000004,95,195,13.227553367614746,0.0003,0.10000000149011612,-6.890571594238281,8669
196.74,21227,116,-204.43740212,85,247,2.4379892349243164,0.0003,0.10000000149011612,-1.2779239416122437,11226
232.05,25227,120,-201.49764381,76,329,6.670162200927734,0.0003,0.10000000149011612,-0.182245671749115,15226
267.06,29227,124,-194.05926239000001,71,410,5.178709506988525,0.0003,0.10000000149011612,-3.2147364616394043,19226
303.38,33227,128,-187.10062939000002,67,492,5.972029685974121,0.0003,0.10000000149011612,0.22319543361663818,23226
338.08,37227,132,-179.09744955000002,64,574,7.089042663574219,0.0003,0.10000000149011612,1.2238788604736328,27226
373.53,41227,136,-171.45025679999998,62,656,4.012636661529541,0.0003,0.10000000149011612,0.5082614421844482,31226
408.48,45227,140,-165.55014403999996,61,738,4.810646057128906,0.0003,0.10000000149011612,-0.051488667726516724,35226
444.37,49227,144,-157.8122546,59,820,5.015543460845947,0.0003,0.10000000149011612,0.7609076499938965,39226
479.66,53227,148,-149.29365099999998,58,903,1.522187352180481,0.0003,0.10000000149011612,4.155032634735107,43226
515.31,57227,152,-144.34879779,58,985,7.208902359008789,0.0003,0.10000000149011612,1.1456477642059326,47226
550.83,61227,156,-139.41069819999998,57,1068,2.0603809356689453,0.0003,0.10000000149011612,4.7334675788879395,51226
586.96,65227,160,-130.27307955999999,56,1151,2.4532079696655273,0.0003,0.10000000149011612,5.778044700622559,55226
622.48,69227,164,-119.08838922999999,56,1234,1.6237614154815674,0.0003,0.10000000149011612,1.3300906419754028,59226
658.96,73227,168,-114.46576677000003,55,1318,2.8348193168640137,0.0003,0.10000000149011612,5.493196487426758,63226
694.98,77227,172,-107.51924476999999,55,1402,1.789672613143921,0.0003,0.10000000149011612,4.554731845855713,67226
730.58,81227,176,-103.13485468,54,1488,1.025266170501709,0.0003,0.10000000149011612,2.629425525665283,71226
766.67,85227,180,-94.59119810000001,54,1575,1.106737494468689,0.0003,0.10000000149011612,6.432769298553467,75226
802.98,89227,184,-87.12676806000003,53,1663,1.5404499769210815,0.0003,0.10000000149011612,7.295117378234863,79226
838.81,93227,188,-79.02402036000001,53,1752,1.7302069664001465,0.0003,0.10000000149011612,5.084270000457764,83226
874.5,97227,192,-71.88289601000001,52,1840,0.9939318895339966,0.0003,0.10000000149011612,3.948558807373047,87226
908.28,101227,196,-63.08885199000001,52,1929,1.3877935409545898,0.0003,0.10000000149011612,8.301501274108887,91226
937.35,105227,200,-59.57134589000001,52,2017,2.777916431427002,0.0003,0.10000000149011612,10.24002456665039,95226
952.16,109227,204,-50.492154639999995,51,2106,1.5423500537872314,0.0003,0.10000000149011612,7.003337383270264,99226
959.89,113227,208,-47.47951594999999,51,2194,0.9941470623016357,0.0003,0.10000000149011612,8.225590705871582,103226
985.57,117227,212,-43.196952249999995,51,2282,0.6777154207229614,0.0003,0.10000000149011612,6.676182270050049,107226
1000.0,121227,216,-38.38609853,51,2371,0.9495961666107178,0.0003,0.10000000149011612,11.346832275390625,111226
1000.0,125227,220,-35.6361164,50,2459,0.9471950531005859,0.0003,0.10000000149011612,10.789149284362793,115226
1000.0,129227,224,-35.572940450000004,50,2547,1.4284937381744385,0.0003,0.10000000149011612,10.501374244689941,119226
1000.0,133227,228,-35.1236808,50,2635,3.588862895965576,0.0003,0.10000000149011612,11.957480430603027,123226
1000.0,137227,232,-33.40836092000001,50,2723,4.880514144897461,0.0003,0.10000000149011612,15.704353332519531,127226
