rollout/ep_len_mean,time/total_timesteps,time/episodes,rollout/ep_rew_mean,time/fps,time/time_elapsed,train/critic_loss,train/learning_rate,train/ent_coef,train/actor_loss,train/n_updates
90.5,362,4,-244.914087,2134,0,,,,,
93.75,750,8,-184.355484875,2092,0,,,,,
94.58333333333333,1135,12,-176.95366175,2084,0,,,,,
93.5,1496,16,-191.022212,2082,0,,,,,
94.3,1886,20,-173.5086788,2077,0,,,,,
97.20833333333333,2333,24,-168.59039629166668,2066,1,,,,,
100.71428571428571,2820,28,-188.81769421428572,2085,1,,,,,
101.59375,3251,32,-197.68110428125,2082,1,,,,,
101.58333333333333,3657,36,-190.72837955555553,2091,1,,,,,
101.8,4072,40,-203.35898502499998,2100,1,,,,,
102.06818181818181,4491,44,-199.2932645909091,2101,2,,,,,
102.0,4896,48,-204.93213366666666,2109,2,,,,,
102.75,5343,52,-208.40261567307692,2116,2,,,,,
104.89285714285714,5874,56,-208.58513044642856,2123,2,,,,,
105.05,6303,60,-205.2634127,2129,2,,,,,
104.484375,6687,64,-205.47239653125,2132,3,,,,,
104.83823529411765,7129,68,-205.05133645588236,2136,3,,,,,
105.52777777777777,7598,72,-209.80183890277775,2137,3,,,,,
104.67105263157895,7955,76,-209.97551114473683,2140,3,,,,,
103.9625,8317,80,-213.25901608750002,2143,3,,,,,
104.58333333333333,8785,84,-213.9244244761905,2146,4,,,,,
105.0340909090909,9243,88,-211.96198954545451,2149,4,,,,,
105.23913043478261,9682,92,-208.51730297826086,2152,4,,,,,
105.04166666666667,10084,96,-211.40236030208334,1518,6,57.955928802490234,0.0003,0.10000000149011612,2.704695463180542,83
106.51,10651,100,-210.43084180000002,585,18,22.28778839111328,0.0003,0.10000000149011612,7.265932559967041,650
115.12,11874,104,-203.92843626,274,43,21.695762634277344,0.0003,0.10000000149011612,7.637727737426758,1873
142.52,15002,108,-200.07786536,140,107,9.0792236328125,0.0003,0.10000000149011612,1.461361289024353,5001
154.68,16603,112,-194.18044272999998,118,139,13.40131950378418,0.0003,0.10000000149011612,-2.999466896057129,6602
176.68,19164,116,-186.45278526,99,191,8.062725067138672,0.0003,0.10000000149011612,-7.328142166137695,9163
203.44,22230,120,-185.00888101999996,87,254,26.522735595703125,0.0003,0.10000000149011612,-5.451937675476074,12229
220.94,24427,124,-173.62793961000003,81,299,2.761748790740967,0.0003,0.10000000149011612,-5.688907623291016,14426
248.98,27718,128,-161.33890793999998,75,366,5.770115852355957,0.0003,0.10000000149011612,-9.11431884765625,17717
284.67,31718,132,-151.73525611,70,448,13.255327224731445,0.0003,0.10000000149011612,-10.994973182678223,21717
312.76,34933,136,-142.9428441,68,513,7.735830783843994,0.0003,0.10000000149011612,-13.606212615966797,24932
