train/ent_coef,train/actor_loss,time/total_timesteps,train/learning_rate,train/n_updates,train/ent_coef_loss,time/time_elapsed,time/episodes,train/critic_loss,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean
0.9083981513977051,0.7000513076782227,435,0.0003,334,-0.2592945098876953,7,4,53.492713928222656,57,-285.97750275,108.75
0.7307019829750061,1.5737745761871338,1213,0.0003,1112,-0.7858272194862366,23,8,23.852767944335938,51,-284.19875249999996,151.625
0.4783717095851898,6.79630708694458,2760,0.0003,2659,-1.494035005569458,55,12,6.619789123535156,49,-273.4778088333333,230.0
0.2934817671775818,2.9104387760162354,4568,0.0003,4467,-1.9954471588134766,92,16,7.2150678634643555,49,-243.947569875,285.5
0.10470232367515564,-2.725358486175537,8568,0.0003,8467,-2.429337501525879,174,20,3.981658458709717,49,-211.32082469999995,428.4
0.07359590381383896,-8.932939529418945,12568,0.0003,12467,1.6259533166885376,255,24,5.817689895629883,49,-181.55423291666668,523.6666666666666
0.12026332318782806,-12.865580558776855,15975,0.0003,15874,-0.23483844101428986,326,28,2.9691848754882812,48,-140.2265171785714,570.5357142857143
0.0980696752667427,-18.325439453125,19907,0.0003,19806,-0.4335242509841919,406,32,2.285238742828369,48,-120.73213040625,622.09375
0.08784849941730499,-21.52675437927246,22841,0.0003,22740,-0.14451974630355835,466,36,2.756716251373291,48,-98.79030627777777,634.4722222222222
0.0965302586555481,-24.625028610229492,26288,0.0003,26187,0.23232901096343994,536,40,4.518378257751465,48,-78.197706775,657.2
0.10848876088857651,-29.405487060546875,30106,0.0003,30005,-0.22501136362552643,615,44,5.139945983886719,48,-72.73033993181818,684.2272727272727
0.08611280471086502,-30.33871078491211,33824,0.0003,33723,-0.06261596083641052,692,48,2.8775696754455566,48,-72.94159291666666,704.6666666666666
0.08964798599481583,-29.74365997314453,36252,0.0003,36151,0.5682763457298279,742,52,3.0855307579040527,48,-71.3065993653846,697.1538461538462
0.08784971386194229,-29.5771541595459,37765,0.0003,37664,-0.2578234374523163,773,56,9.888885498046875,48,-67.91697626785715,674.375
0.07510315626859665,-29.87650489807129,40443,0.0003,40342,-0.24561049044132233,828,60,3.876504421234131,48,-54.841354216666666,674.05
0.07372000813484192,-31.49993896484375,43514,0.0003,43413,-0.9879809617996216,892,64,4.192503452301025,48,-54.519707078124995,679.90625
0.06540491431951523,-30.02823829650879,46029,0.0003,45928,0.3637324273586273,944,68,9.97647476196289,48,-55.35844027941176,676.8970588235294
0.0673476904630661,-30.155502319335938,48260,0.0003,48159,0.5098621249198914,991,72,4.244882583618164,48,-50.22853495833333,670.2777777777778
0.05726240575313568,-29.945079803466797,51371,0.0003,51270,0.2813328206539154,1055,76,2.3620519638061523,48,-38.02955581578948,675.9342105263158
0.054244574159383774,-25.390127182006836,54539,0.0003,54438,0.10367476940155029,1122,80,6.299564361572266,48,-39.85174748749999,681.7375
0.048875659704208374,-22.34519386291504,58071,0.0003,57970,0.6756646037101746,1196,84,2.7124578952789307,48,-34.41387033333332,691.3214285714286
0.042156048119068146,-24.106220245361328,62035,0.0003,61934,0.641509473323822,1280,88,2.4611637592315674,48,-32.00987070454545,704.9431818181819
0.03945179283618927,-21.113929748535156,65827,0.0003,65726,-0.20683473348617554,1361,92,3.026982307434082,48,-28.22097838043478,715.5108695652174
0.03755225986242294,-22.05257225036621,67945,0.0003,67844,-0.4497860372066498,1407,96,2.3502883911132812,48,-18.90229598958333,707.7604166666666
0.044137291610240936,-27.464868545532227,70118,0.0003,70017,0.2452535182237625,1454,100,1.7028026580810547,48,-13.964000869999992,701.18
0.04986098036170006,-29.53936767578125,72021,0.0003,71920,-0.26767826080322266,1495,104,3.0345895290374756,48,5.248979210000003,715.86
0.05445922166109085,-27.494468688964844,73697,0.0003,73596,0.20648980140686035,1532,108,2.3137011528015137,48,17.86925625,724.84
0.0581158883869648,-27.673404693603516,74938,0.0003,74837,-0.36491137742996216,1559,112,6.575167179107666,48,37.50448362,721.78
0.06251116096973419,-28.945316314697266,76204,0.0003,76103,-0.3325755000114441,1587,116,2.178168296813965,47,45.898531350000006,716.36
0.06506933271884918,-28.668331146240234,78461,0.0003,78360,0.680911660194397,1637,120,5.688534736633301,47,57.05870304000001,698.93
0.06338385492563248,-28.676319122314453,80033,0.0003,79932,-0.23189574480056763,1672,124,2.240105628967285,47,68.29891865999998,674.65
0.06465647369623184,-28.559612274169922,81573,0.0003,81472,-0.9200383424758911,1706,128,3.2054407596588135,47,74.17012165,655.98
0.06028537452220917,-35.19980239868164,83231,0.0003,83130,-0.3537602722644806,1743,132,2.3616421222686768,47,78.75158902,633.24
0.06171819567680359,-34.76555252075195,84594,0.0003,84493,-0.1280336081981659,1773,136,2.049269199371338,47,84.79659932999999,617.53
0.05896135792136192,-33.82334899902344,86129,0.0003,86028,0.26104429364204407,1807,140,3.7051970958709717,47,90.73988974,598.41
0.056072477251291275,-35.0330924987793,87622,0.0003,87521,-0.07125648856163025,1839,144,6.851372718811035,47,97.31823058,575.16
0.05336829647421837,-34.28955078125,89468,0.0003,89367,-0.10667158663272858,1880,148,9.125642776489258,47,104.98158192999999,556.44
0.055313821882009506,-33.81454086303711,91160,0.0003,91059,0.09834687411785126,1917,152,6.978984832763672,47,116.46900474000002,549.08
0.05702558904886246,-33.20273971557617,92334,0.0003,92233,-0.21411864459514618,1943,156,6.073163986206055,47,121.06949952000001,545.69
0.05483214929699898,-34.773773193359375,93807,0.0003,93706,-0.34233951568603516,1975,160,3.8041443824768066,47,121.33556357000002,533.64
