train/ent_coef,rollout/ep_len_mean,time/total_timesteps,time/episodes,rollout/ep_rew_mean,time/fps,train/n_updates,train/critic_loss,train/ent_coef_loss,time/time_elapsed,train/learning_rate,train/actor_loss
0.911906898021698,107.5,430,4,-396.0070975,57,329,44.869781494140625,-0.2691533863544464,7,0.0003,3.10337233543396
0.7377852201461792,143.375,1147,8,-274.48960425,51,1046,14.724584579467773,-0.7526330947875977,22,0.0003,7.116339683532715
0.5896109342575073,163.25,1959,12,-247.17225616666667,50,1858,12.191837310791016,-1.2041707038879395,39,0.0003,3.4198126792907715
0.4595440626144409,181.875,2910,16,-179.8266808125,49,2809,14.090511322021484,-1.4699184894561768,58,0.0003,5.128987789154053
0.31299886107444763,220.25,4405,20,-173.042867,48,4304,4.154115200042725,-1.8985062837600708,89,0.0003,5.806033134460449
0.16787458956241608,284.7083333333333,6833,24,-158.622285,48,6732,3.0315794944763184,-1.37588369846344,140,0.0003,2.4977684020996094
0.1088787391781807,308.25,8631,28,-135.20403935714285,48,8530,11.689630508422852,-1.0438132286071777,178,0.0003,-0.6934946179389954
0.08683913201093674,313.875,10044,32,-111.78750046875,48,9943,3.057079792022705,-0.5217883586883545,207,0.0003,-7.9101457595825195
0.07409496605396271,316.4166666666667,11391,36,-93.49787252777779,48,11290,35.96794891357422,0.15516920387744904,236,0.0003,-7.297829627990723
0.10854092240333557,344.55,13782,40,-91.251424825,48,13681,4.826706886291504,0.27976563572883606,286,0.0003,-10.903674125671387
0.08378186821937561,376.52272727272725,16567,44,-89.04685963636364,48,16466,28.943714141845703,0.17349201440811157,345,0.0003,-5.108956336975098
0.07437442988157272,406.6875,19521,48,-86.932933875,47,19420,3.3381152153015137,-0.27858883142471313,406,0.0003,-11.438596725463867
0.08497320860624313,389.6923076923077,20264,52,-79.89533455769232,47,20163,4.535938739776611,0.9953381419181824,422,0.0003,-10.44421672821045
0.1118067279458046,378.32142857142856,21186,56,-81.08588869642858,47,21085,31.64694595336914,-0.7308717370033264,441,0.0003,-11.687055587768555
0.12388786673545837,363.98333333333335,21839,60,-73.54256233333334,47,21738,3.189964532852173,-0.0492425411939621,455,0.0003,-13.461724281311035
0.1268816441297531,351.8125,22516,64,-70.212363515625,47,22415,3.157417058944702,0.15248847007751465,469,0.0003,-18.955368041992188
0.10584525018930435,355.3529411764706,24164,68,-70.71519770588235,47,24063,6.499751091003418,-0.6220252513885498,503,0.0003,-16.142894744873047
0.09311531484127045,347.69444444444446,25034,72,-69.89459936111112,47,24933,43.55077362060547,0.3167990446090698,521,0.0003,-21.249225616455078
0.08658331632614136,345.10526315789474,26228,76,-67.4350814736842,47,26127,10.283534049987793,0.44906750321388245,546,0.0003,-14.368144035339355
0.08927208930253983,351.5125,28121,80,-66.6747440875,48,28020,5.515583038330078,0.030276380479335785,585,0.0003,-16.282386779785156
0.08830691128969193,366.8690476190476,30817,84,-59.957036190476195,48,30716,5.302751541137695,-0.1121637225151062,641,0.0003,-17.669212341308594
0.08899471908807755,363.21590909090907,31963,88,-60.947436625,48,31862,4.0501179695129395,-0.5874421000480652,665,0.0003,-20.888078689575195
0.08445071429014206,381.5108695652174,35099,92,-54.83627352173914,48,34998,5.966915607452393,-0.1462794989347458,730,0.0003,-14.762846946716309
0.08299876749515533,384.0208333333333,36866,96,-49.99441229166667,48,36765,44.50407791137695,-0.20654037594795227,767,0.0003,-14.56947135925293
0.07764078676700592,392.32,39232,100,-46.03595208000001,48,39131,13.133394241333008,-0.44929438829421997,816,0.0003,-16.233997344970703
0.06981171667575836,414.19,41849,104,-29.480284239999996,48,41748,4.996872901916504,0.7242473363876343,869,0.0003,-13.118592262268066
0.06591140478849411,419.94,43141,108,-28.285485469999998,48,43040,5.592266082763672,0.4601062536239624,896,0.0003,-13.093701362609863
0.052852582186460495,445.48,46507,112,-23.78620388,48,46406,6.165840148925781,0.05850379914045334,965,0.0003,-11.427637100219727
0.05769383907318115,468.94,49804,116,-33.58239587,48,49703,3.1558566093444824,0.17421817779541016,1033,0.0003,-12.087682723999023
0.06810670346021652,480.78,52483,120,-30.541035539999992,48,52382,2.80438494682312,-0.048800043761730194,1089,0.0003,-14.239879608154297
0.07719644904136658,470.75,53908,124,-27.37793421,48,53807,9.600118637084961,-0.1786249727010727,1118,0.0003,-1.723212480545044
0.07770060002803802,477.12,56343,128,-26.193048900000004,48,56242,7.549674987792969,-0.7864797711372375,1169,0.0003,-12.866983413696289
0.07244585454463959,495.18,59562,132,-26.785091859999998,48,59461,39.33667755126953,-0.05838031321763992,1236,0.0003,-13.883967399597168
0.060908980667591095,513.13,62704,136,-30.160540729999997,48,62603,36.44762420654297,0.154961496591568,1301,0.0003,-11.622243881225586
0.06259318441152573,523.49,66131,140,-23.892086649999996,48,66030,2.6029014587402344,0.026895027607679367,1374,0.0003,-11.323014259338379
0.098378024995327,507.26,67293,144,-15.94677629,48,67192,10.383058547973633,0.64728844165802,1399,0.0003,-13.812463760375977
0.11710988730192184,500.36,69557,148,-6.882192469999995,48,69456,11.835714340209961,0.0474972128868103,1447,0.0003,-14.627731323242188
0.1208503395318985,500.21,70285,152,-4.345581599999996,48,70184,5.970126152038574,-0.2902477979660034,1463,0.0003,-12.480377197265625
0.10729492455720901,508.67,72053,156,1.9737705100000027,47,71952,9.275146484375,-0.17274248600006104,1501,0.0003,-11.628656387329102
0.09396617114543915,518.54,73693,160,5.259251900000004,47,73592,6.131984233856201,-0.5697101950645447,1537,0.0003,-13.764931678771973
