train/learning_rate,train/actor_loss,train/critic_loss,rollout/ep_rew_mean,time/fps,time/time_elapsed,train/n_updates,rollout/ep_len_mean,time/total_timesteps,time/episodes
0.001,-4.403631210327148,2.883375406265259,-124.72150625,61,10,549,162.5,650,4
0.001,-6.437448978424072,3.592205762863159,-120.401790625,55,21,1073,146.75,1174,8
0.001,-4.078668117523193,0.5653759241104126,-118.89589991666664,53,31,1590,140.91666666666666,1691,12
0.001,-0.9645141363143921,0.6850128769874573,-118.17793275,52,41,2112,138.3125,2213,16
0.001,1.43263840675354,0.9921773076057434,-117.73569810000001,52,52,2632,136.65,2733,20
0.001,2.808682441711426,0.4344983696937561,-117.43234758333334,51,62,3150,135.45833333333334,3251,24
0.001,8.806879997253418,0.47527799010276794,-117.23163317857143,51,73,3672,134.75,3773,28
0.001,13.400772094726562,0.26873838901519775,-117.06018228125,51,83,4188,134.03125,4289,32
0.001,12.617292404174805,0.37403711676597595,-116.93289138888888,50,94,4706,133.52777777777777,4807,36
0.001,13.269887924194336,0.3972278833389282,-116.83944047499999,50,104,5227,133.2,5328,40
0.001,-23.247159957885742,1.2972369194030762,-120.59764290909092,50,204,10158,233.1590909090909,10259,44
0.001,-30.03600311279297,5.0015387535095215,-126.00153427083332,49,333,16558,347.0625,16659,48
0.001,-32.86566162109375,3.3228180408477783,-127.2468686153846,49,361,17947,347.0769230769231,18048,52
0.001,-32.78718566894531,7.70375919342041,-126.6447898392857,49,370,18362,329.69642857142856,18463,56
0.001,-35.225257873535156,8.496829986572266,-126.61211279999998,49,384,19061,319.3666666666667,19162,60
0.001,-36.33953094482422,6.077188491821289,-127.64366721875,49,414,20557,322.78125,20658,64
0.001,-37.119110107421875,9.637541770935059,-126.75724283823531,49,422,20919,309.11764705882354,21020,68
0.001,-35.26728057861328,3.5561962127685547,-125.82729666666667,49,427,21192,295.7361111111111,21293,72
0.001,-38.505218505859375,1.056960105895996,-124.73300390789476,49,433,21460,283.69736842105266,21561,76
0.001,-40.53889846801758,1.167405128479004,-125.35253068749998,49,465,23076,289.7125,23177,80
0.001,-39.94325256347656,1.1175096035003662,-124.5644110952381,49,472,23424,280.0595238095238,23525,84
0.001,-40.785701751708984,1.197974681854248,-123.94320102272728,49,479,23767,271.22727272727275,23868,88
0.001,-41.474281311035156,1.0476714372634888,-123.32299247826087,49,486,24086,262.9021739130435,24187,92
0.001,-41.66902542114258,1.4789742231369019,-123.01271802083333,49,492,24404,255.26041666666666,24505,96
0.001,-39.387001037597656,1.8325923681259155,-122.64796122,49,501,24853,249.54,24954,100
0.001,-38.456573486328125,2.2714178562164307,-122.11893902,49,509,25223,246.74,25324,104
0.001,-40.89201736450195,1.3974418640136719,-122.18943915000001,49,516,25571,244.98,25672,108
0.001,-39.308616638183594,1.7881139516830444,-122.36218212,49,519,25740,241.5,25841,112
0.001,-37.89399337768555,1.9029775857925415,-122.55267639999998,49,523,25912,238.0,26013,116
0.001,-41.75802230834961,2.1208789348602295,-122.75823213999998,49,526,26088,234.56,26189,120
0.001,-40.32412338256836,1.2726606130599976,-123.06357559000001,49,539,26721,235.71,26822,124
0.001,-41.1799430847168,1.3689322471618652,-123.40046742000003,49,547,27131,234.59,27232,128
0.001,-38.53937530517578,2.0639748573303223,-123.45787265000003,49,556,27548,233.6,27649,132
0.001,-37.68254852294922,4.884169578552246,-124.25690686999998,49,587,29113,244.07,29214,136
0.001,-38.0445556640625,5.315140724182129,-124.22121211999998,49,595,29483,242.56,29584,140
0.001,-43.75504684448242,3.5634307861328125,-122.46185927999998,49,601,29806,196.48,29907,144
0.001,-46.473121643066406,6.329943656921387,-120.74758222999999,49,667,33101,165.43,33202,148
0.001,-45.02199172973633,5.623171329498291,-120.186893,49,673,33363,154.16,33464,152
0.001,-44.7912712097168,2.7001686096191406,-120.54297303000001,49,681,33758,153.96,33859,156
0.001,-48.033180236816406,2.3486125469207764,-120.02775112,49,690,34221,151.6,34322,160
0.001,-41.42592239379883,4.057962894439697,-118.55988593999999,49,698,34588,140.31,34689,164
0.001,-44.84347915649414,2.992164134979248,-118.36408566999998,49,706,34975,140.56,35076,168
0.001,-39.94279861450195,5.900662899017334,-118.43902493999998,49,712,35293,141.01,35394,172
0.001,-43.09886932373047,4.082427024841309,-118.79745227999997,49,720,35712,142.52,35813,176
0.001,-45.252906799316406,4.528162956237793,-117.77179053000002,49,729,36150,130.74,36251,180
0.001,-42.630794525146484,3.9589571952819824,-117.84307072,49,748,37045,136.21,37146,184
0.001,-47.84727478027344,4.427716255187988,-117.73798187,49,753,37295,135.28,37396,188
0.001,-45.522220611572266,3.1843371391296387,-118.01500349000001,49,769,38100,140.14,38201,192
0.001,-45.59038162231445,4.663817405700684,-117.79378814000002,49,778,38547,141.43,38648,196
0.001,-47.06535339355469,8.754268646240234,-118.13171587999999,49,802,39702,148.49,39803,200
0.001,-51.64636993408203,5.961734294891357,-118.88025747000002,49,826,40885,156.62,40986,204
0.001,-49.06859588623047,3.489262104034424,-118.36100697,49,834,41262,156.91,41363,208
0.001,-62.79191589355469,3.660785675048828,-118.69637253000002,49,966,47662,219.22,47763,212
0.001,-84.31721496582031,12.047327041625977,-120.00075267,48,1080,52408,264.96,52509,216
0.001,-104.34989166259766,7.227536678314209,-121.56877886000002,47,1182,56025,299.37,56126,220
0.001,-106.37196350097656,7.643943786621094,-121.73909902,47,1191,56438,297.17,56539,224
0.001,-106.54637908935547,14.338817596435547,-121.81435794,47,1198,56771,296.4,56872,228
0.001,-105.54315185546875,10.675918579101562,-121.77196369999997,47,1205,57078,295.3,57179,232
0.001,-112.19986724853516,12.38814640045166,-121.10145472,47,1212,57406,282.93,57507,236
0.001,-111.88578033447266,10.143754959106445,-121.12016145000001,47,1216,57550,280.67,57651,240
0.001,-113.0471420288086,9.04763126373291,-121.26718532,47,1220,57735,279.29,57836,244
0.001,-114.49211120605469,6.681051254272461,-120.48332405000002,47,1235,58427,253.26,58528,248
0.001,-117.20287322998047,7.627267837524414,-120.05175404000003,47,1241,58701,253.38,58802,252
0.001,-118.59648895263672,6.61464262008667,-120.28238418000001,47,1254,59278,255.2,59379,256
0.001,-121.61306762695312,7.035280227661133,-120.16878014999999,47,1261,59608,253.87,59709,260
