train/learning_rate,train/actor_loss,train/critic_loss,rollout/ep_rew_mean,time/fps,time/time_elapsed,train/n_updates,rollout/ep_len_mean,time/total_timesteps,time/episodes
0.001,0.13775646686553955,7.866455554962158,-104.50549774999999,70,4,232,83.25,333,4
0.001,-4.921882629394531,10.025486946105957,-115.71989400000001,45,21,882,122.875,983,8
0.001,-1.751910924911499,26.17302894592285,-117.089469,45,27,1149,104.16666666666667,1250,12
0.001,-5.971718788146973,7.747895240783691,-118.547652,46,34,1516,101.0625,1617,16
0.001,-3.7829201221466064,13.260577201843262,-118.01706140000002,46,41,1818,95.95,1919,20
0.001,-28.819765090942383,6.342576503753662,-122.30370770833333,47,76,3560,152.54166666666666,3661,24
0.001,-36.578067779541016,20.728178024291992,-119.66278257142858,48,84,3949,144.64285714285714,4050,28
0.001,-66.86766815185547,4.833892822265625,-122.44370784375,49,152,7409,234.6875,7510,32
0.001,-73.74139404296875,7.618868827819824,-120.9073787777778,49,161,7840,220.58333333333334,7941,36
0.001,-75.6300048828125,5.758491039276123,-120.1956041,49,169,8265,209.15,8366,40
0.001,-76.10167694091797,11.264988899230957,-120.14418702272725,49,175,8550,196.61363636363637,8651,44
0.001,-82.38309478759766,6.39285945892334,-120.38395741666666,49,182,8928,188.10416666666666,9029,48
0.001,-88.1385269165039,7.324289798736572,-122.29777438461537,49,205,10097,196.1153846153846,10198,52
0.001,-90.425537109375,17.867109298706055,-121.40056976785715,49,210,10349,186.60714285714286,10450,56
0.001,-93.66046905517578,7.398223400115967,-120.56811106666667,49,214,10538,177.31666666666666,10639,60
0.001,-96.90985107421875,13.129952430725098,-119.69029121875,49,218,10731,169.25,10832,64
0.001,-101.29940032958984,5.302848815917969,-119.38271279411765,49,223,10969,162.7941176470588,11070,68
0.001,-101.244384765625,6.283385276794434,-119.02343323611113,49,226,11152,156.29166666666666,11253,72
0.001,-114.71780395507812,11.372943878173828,-120.4340545131579,49,275,13604,180.32894736842104,13705,76
0.001,-121.15804290771484,6.041746139526367,-119.7657594875,49,280,13872,174.6625,13973,80
0.001,-124.36190795898438,6.578153610229492,-119.83372153571429,49,288,14270,171.08333333333334,14371,84
0.001,-125.4867935180664,7.330100059509277,-120.20206187500001,49,320,15854,181.3068181818182,15955,88
0.001,-122.6412353515625,6.6864848136901855,-119.83570048913042,49,332,16442,179.81521739130434,16543,92
0.001,-119.19601440429688,8.136534690856934,-119.21365611458334,49,339,16832,176.38541666666666,16933,96
0.001,-119.50395965576172,16.50754165649414,-118.81976969000002,49,346,17182,172.83,17283,100
0.001,-124.1026611328125,10.231106758117676,-119.00130450000002,49,351,17418,171.86,17519,104
0.001,-132.14013671875,7.93617057800293,-118.30005567000002,49,355,17616,167.34,17717,108
0.001,-123.53106689453125,14.089972496032715,-117.76419738,49,362,17945,167.96,18046,112
0.001,-123.496826171875,8.509520530700684,-116.93531287000002,49,369,18295,167.79,18396,116
0.001,-123.57705688476562,14.539417266845703,-116.59159115,49,376,18691,168.73,18792,120
0.001,-124.09733581542969,11.607124328613281,-115.61536101,49,413,20555,169.95,20656,124
0.001,-132.48582458496094,6.774169921875,-115.55231649,49,430,21379,174.3,21480,128
0.001,-133.6621551513672,8.03800106048584,-115.46637249,50,526,26283,188.74,26384,132
0.001,-129.2758026123047,8.08701229095459,-115.846975,50,536,26757,189.17,26858,136
0.001,-127.73043823242188,7.862071514129639,-116.29753876,50,544,27183,189.18,27284,140
0.001,-134.0680389404297,7.168864727020264,-116.06015276,50,560,28004,194.54,28105,144
0.001,-134.47189331054688,6.178653717041016,-115.97691169000001,50,573,28630,197.02,28731,148
0.001,-137.48184204101562,6.334014892578125,-115.55774841,50,616,30856,207.59,30957,152
0.001,-145.2999725341797,21.699787139892578,-118.59451406,50,700,35079,247.3,35180,156
0.001,-149.8010711669922,17.96218490600586,-119.19951456000001,50,709,35535,249.97,35636,160
0.001,-145.38504028320312,16.225900650024414,-120.41073241999999,50,736,36901,261.7,37002,164
0.001,-157.11669921875,13.416017532348633,-120.89147356,50,745,37376,264.07,37477,168
0.001,-158.12408447265625,17.37790298461914,-121.58111346999998,50,756,37929,267.77,38030,172
0.001,-166.56353759765625,17.99309730529785,-120.55630328,50,765,38371,247.67,38472,176
0.001,-154.7703399658203,17.0561466217041,-121.18114871000002,50,775,38836,249.64,38937,180
0.001,-162.0489501953125,17.095441818237305,-121.04885634,50,781,39179,249.09,39280,184
0.001,-166.6559600830078,14.402371406555176,-120.67043877,50,789,39568,237.14,39669,188
0.001,-161.88723754882812,12.565773010253906,-120.81346644000001,50,795,39848,234.06,39949,192
0.001,-168.88987731933594,17.77410888671875,-121.12043832,50,800,40096,232.64,40197,196
0.001,-159.44668579101562,15.456266403198242,-121.70420448000003,50,820,41088,239.06,41189,200
0.001,-158.4237518310547,19.503265380859375,-122.25528413,50,845,42355,249.37,42456,204
0.001,-164.7733154296875,18.253604888916016,-122.41771442999998,50,853,42762,251.46,42863,208
0.001,-153.8620147705078,16.17816925048828,-122.63362397,50,860,43095,251.5,43196,212
0.001,-164.79954528808594,13.3796968460083,-122.94363102000001,50,866,43406,251.11,43507,216
0.001,-156.18951416015625,15.967693328857422,-122.81290829999998,50,877,43975,252.84,44076,220
0.001,-149.05352783203125,16.628894805908203,-122.49567302999998,50,885,44342,237.87,44443,224
0.001,-152.774658203125,13.927865982055664,-122.70004127,50,893,44758,233.79,44859,228
0.001,-153.86996459960938,18.21265411376953,-121.57454023,50,946,47361,210.78,47462,232
0.001,-141.874267578125,15.12114143371582,-121.43414512000003,50,965,48299,215.42,48400,236
0.001,-146.65216064453125,16.365699768066406,-121.00262461999999,50,1021,51025,238.42,51126,240
0.001,-151.71827697753906,11.126877784729004,-121.85409023999999,50,1043,52122,241.18,52223,244
0.001,-152.3831787109375,12.69986343383789,-122.55099675,50,1069,53369,247.39,53470,248
0.001,-148.7738494873047,10.691555976867676,-121.92371661000001,49,1077,53748,228.92,53849,252
0.001,-143.4665069580078,8.63040828704834,-119.5208605,49,1087,54242,191.63,54343,256
0.001,-154.13424682617188,7.994717121124268,-119.29085210000001,49,1096,54673,191.38,54774,260
0.001,-143.3326873779297,12.978253364562988,-118.46521369,49,1102,54955,180.54,55056,264
0.001,-149.88304138183594,8.99433708190918,-117.75050463,49,1139,56752,193.76,56853,268
0.001,-141.8363037109375,18.629627227783203,-117.20069288999998,49,1145,57046,191.17,57147,272
0.001,-132.97476196289062,13.26167106628418,-116.93972589,49,1158,57669,192.98,57770,276
0.001,-137.17694091796875,19.051807403564453,-116.69461724000003,49,1171,58275,194.39,58376,280
0.001,-137.01690673828125,10.098485946655273,-116.9362338,49,1178,58625,194.46,58726,284
0.001,-133.45953369140625,11.126033782958984,-117.09960778,49,1185,58971,194.03,59072,288
0.001,-136.96144104003906,10.88221549987793,-117.24973844,49,1191,59248,194.0,59349,292
0.001,-138.38023376464844,12.576072692871094,-117.53763438000001,49,1197,59531,194.35,59632,296
0.001,-133.8882598876953,14.530950546264648,-117.27832564999997,49,1203,59777,186.89,59878,300
