train/learning_rate,train/actor_loss,train/critic_loss,rollout/ep_rew_mean,time/fps,time/time_elapsed,train/n_updates,rollout/ep_len_mean,time/total_timesteps,time/episodes
0.001,1.1494481563568115,31.635555267333984,-122.1935205,78,4,225,81.5,326,4
0.001,4.746103763580322,60.44949722290039,-111.915672625,65,9,501,75.25,602,8
0.001,1.5237950086593628,91.03982543945312,-111.27886166666667,61,13,725,68.83333333333333,826,12
0.001,-1.2698885202407837,38.53132629394531,-114.30420281250001,58,19,1054,72.1875,1155,16
0.001,-22.547842025756836,3.9156041145324707,-126.20179265000002,53,70,3704,190.25,3805,20
0.001,-27.781896591186523,7.7156243324279785,-122.58897616666665,53,75,3921,167.58333333333334,4022,24
0.001,-29.495798110961914,12.355022430419922,-119.77177467857142,53,79,4117,150.64285714285714,4218,28
0.001,-35.707340240478516,21.728845596313477,-117.7254725,53,82,4296,137.40625,4397,32
0.001,-37.378414154052734,45.62214660644531,-116.2299333888889,53,86,4478,127.19444444444444,4579,36
0.001,-37.56103515625,44.45878982543945,-115.00665384999999,53,89,4662,119.075,4763,40
0.001,-42.50197982788086,24.471248626708984,-113.98432270454546,53,93,4855,112.63636363636364,4956,44
0.001,-48.987430572509766,57.7474479675293,-113.44134316666668,52,97,5064,107.60416666666667,5165,48
0.001,-49.370670318603516,18.48526954650879,-113.51864903846155,52,102,5293,103.73076923076923,5394,52
0.001,-60.128395080566406,14.098860740661621,-114.91797192857143,52,117,6101,110.75,6202,56
0.001,-68.45591735839844,37.0763053894043,-115.80664731666666,52,124,6477,109.63333333333334,6578,60
0.001,-65.98838806152344,89.32887268066406,-116.517337046875,52,129,6693,106.15625,6794,64
0.001,-68.13082122802734,8.047540664672852,-116.95384769117646,52,133,6919,103.23529411764706,7020,68
0.001,-64.52349853515625,9.108722686767578,-117.86763008333335,52,144,7460,105.01388888888889,7561,72
0.001,-66.3912124633789,8.713891983032227,-117.98895659210527,52,148,7664,102.17105263157895,7765,76
0.001,-75.4644546508789,12.383769989013672,-118.11082576250001,52,151,7864,99.5625,7965,80
0.001,-75.93668365478516,11.159908294677734,-118.4393901547619,52,155,8037,96.88095238095238,8138,84
0.001,-76.18170928955078,11.724885940551758,-118.67751161363636,52,158,8208,94.42045454545455,8309,88
0.001,-70.70484924316406,12.52999496459961,-118.88883646739129,52,162,8378,92.16304347826087,8479,92
0.001,-67.62173461914062,8.835551261901855,-119.08176776041667,52,165,8547,90.08333333333333,8648,96
0.001,-86.04444885253906,12.392624855041504,-119.0212066,52,175,9041,91.42,9142,100
0.001,-85.83573913574219,17.524333953857422,-119.06375043000001,52,186,9612,93.87,9713,104
0.001,-89.38225555419922,46.59360885620117,-119.82990610000003,52,196,10138,96.37,10239,108
0.001,-110.31890106201172,18.202104568481445,-120.62204312999998,52,211,10906,101.81,11007,112
0.001,-103.06246185302734,16.31593894958496,-120.7617163,52,221,11452,103.98,11553,116
0.001,-117.04171752929688,59.30472183227539,-118.98423941000001,52,234,12114,84.1,12215,120
0.001,-140.56768798828125,20.652996063232422,-120.28338635,52,257,13271,93.5,13372,124
0.001,-117.02471923828125,21.767255783081055,-120.56269407000002,51,261,13477,93.6,13578,128
0.001,-123.97907257080078,17.869064331054688,-121.02553493,51,267,13781,94.85,13882,132
0.001,-136.02041625976562,23.56557846069336,-121.67811708000004,51,283,14655,101.77,14756,136
0.001,-177.90530395507812,57.83909225463867,-122.56490408000002,51,359,18562,139.0,18663,140
0.001,-264.91375732421875,47.42811584472656,-124.42903426000002,51,448,23185,183.3,23286,144
0.001,-309.0404052734375,83.39837646484375,-125.37792574999999,51,503,25821,207.57,25922,148
0.001,-450.2801208496094,87.87821197509766,-126.42762995,51,612,31146,258.53,31247,152
0.001,-479.4986877441406,87.50836944580078,-126.82392535999999,51,682,34747,286.46,34848,156
0.001,-523.4839477539062,89.88607788085938,-127.87489095000001,51,738,37608,311.31,37709,160
0.001,-531.9932250976562,99.81098937988281,-127.43532938000003,51,742,37808,311.15,37909,164
0.001,-540.66748046875,152.58370971679688,-127.62700759000003,51,763,38869,319.5,38970,168
0.001,-536.4475708007812,199.66903686523438,-127.36539527,51,775,39472,320.12,39573,172
0.001,-549.970703125,143.58229064941406,-127.63323638,50,786,40002,323.38,40103,176
0.001,-531.9567260742188,93.21087646484375,-127.67780411999998,50,792,40312,324.48,40413,180
0.001,-529.302001953125,136.78623962402344,-127.49957051,50,797,40568,325.31,40669,184
0.001,-515.2276611328125,3040.189208984375,-127.55690757,50,802,40790,325.82,40891,188
0.001,-556.203857421875,159.423828125,-127.30253112999999,50,807,41036,326.58,41137,192
0.001,-539.1271362304688,2240.841796875,-126.95125875,50,812,41315,327.68,41416,196
0.001,-544.4815063476562,193.4213104248047,-126.83041282000003,50,819,41651,326.1,41752,200
