rollout/ep_len_mean,time/total_timesteps,time/time_elapsed,time/fps,rollout/ep_rew_mean,time/iterations,train/policy_gradient_loss,train/entropy_loss,train/clip_range,train/n_updates,train/approx_kl,train/std,train/learning_rate,train/clip_fraction,train/loss,train/explained_variance,train/value_loss
332.25,2048,2,720,-135.44972275,1,,,,,,,,,,,
329.0,4096,6,616,-118.64291240000003,2,-0.008228460003738291,-5.683610293269157,0.18,10,0.0048323367,1.0037074089050293,0.0003,0.050146484375,51.027069091796875,-0.0032889842987060547,181.06222234219314
389.46153846153845,6144,10,599,-117.67223600000003,3,-0.004235421855264576,-5.694313241541385,0.18,20,0.005297861,1.006751537322998,0.0003,0.024755859375,123.49663543701172,0.07702535390853882,181.13001380860806
475.92857142857144,8192,13,592,-116.6974975714286,4,-0.008744629006832838,-5.6894342541694645,0.18,30,0.009207314,1.0032018423080444,0.0003,0.144091796875,4.949914455413818,0.42563945055007935,64.80770685188472
585.5882352941177,10240,17,586,-114.74464635294119,5,-0.01208922153309686,-5.605789960920811,0.18,40,0.009368056,0.9758358001708984,0.0003,0.161279296875,0.3053509294986725,0.18514513969421387,0.5436365404166281
641.9444444444445,12288,21,583,-113.95044883333334,6,-0.004888219977874542,-5.57273962944746,0.18,50,0.0049455487,0.9741584658622742,0.0003,0.045166015625,0.9463724493980408,0.10687536001205444,30.69009845321998
692.3684210526316,14336,24,581,-113.8286165263158,7,-0.007358294932055287,-5.5525425061583515,0.18,60,0.007188528,0.9664430022239685,0.0003,0.08310546875,0.14934900403022766,0.9407364167273045,0.38307378119789065
678.6363636363636,16384,28,579,-113.08877054545455,8,-0.01213519947923487,-5.499993322789669,0.18,70,0.009825544,0.9490970969200134,0.0003,0.114599609375,0.05658546835184097,0.30441731214523315,0.32904572864063086
755.4166666666666,18432,31,578,-112.20595333333334,9,-0.004578941580257378,-5.463981622457505,0.18,80,0.0028512166,0.9491320252418518,0.0003,0.01162109375,3.2581088542938232,0.43253475427627563,51.12678970107809
737.1111111111111,20480,35,577,-111.44407933333332,10,-0.009174929044093005,-5.437227946519852,0.18,90,0.0066429637,0.9364314079284668,0.0003,0.085693359375,0.0648292601108551,0.330774188041687,0.2522855320130475
767.9285714285714,22528,39,576,-111.03102235714285,11,-0.004987267751130275,-5.410691323876381,0.18,100,0.004445291,0.9368023872375488,0.0003,0.0234375,16.804903030395508,0.5651415288448334,39.51068108733743
796.6206896551724,24576,42,574,-110.85041403448274,12,-0.01207772329544241,-5.3887092366814615,0.18,110,0.009738926,0.9251821637153625,0.0003,0.1564453125,0.05081668868660927,0.549458384513855,0.1906775817507878
848.4516129032259,26624,46,574,-109.8939156129032,13,-0.015189511075732298,-5.338886345922947,0.18,120,0.012218868,0.9147669076919556,0.0003,0.186572265625,-0.002274760976433754,0.36144429445266724,0.11608780917013065
848.2121212121212,28672,49,574,-109.15678587878789,14,-0.010113018427728094,-5.286229515075684,0.18,130,0.00852755,0.9022417664527893,0.0003,0.1,0.021915927529335022,0.7886600643396378,0.14422421153867618
870.3235294117648,30720,53,573,-108.71564914705883,15,-0.004872769104258623,-5.263828577101231,0.18,140,0.0059887455,0.9030399322509766,0.0003,0.051904296875,0.6746041178703308,0.5872473418712616,15.6105891632149
891.1714285714286,32768,57,572,-108.07928862857143,16,-0.01167400617414387,-5.239547491073608,0.18,150,0.009360058,0.8922691345214844,0.0003,0.130029296875,0.028761109337210655,0.2768833041191101,0.09472837556386367
929.4864864864865,34816,60,572,-106.59087954054054,17,-0.011241091426927596,-5.194211634993553,0.18,160,0.011932114,0.8824040293693542,0.0003,0.16064453125,0.005853947252035141,0.6355850100517273,0.11109783991705627
947.1315789473684,36864,64,571,-105.84726094736843,18,-0.01476356557905092,-5.161799940466881,0.18,170,0.009779704,0.8775231838226318,0.0003,0.12451171875,0.02539006620645523,0.7958442717790604,0.22005764737259598
963.8717948717949,38912,68,571,-104.89299335897437,19,-0.01137944078363944,-5.09033916592598,0.18,180,0.009439354,0.8545094132423401,0.0003,0.120068359375,0.01761336252093315,0.6815598011016846,0.13990626841550693
979.0975609756098,40960,71,571,-104.76312795121952,20,-0.014497008442413062,-4.986078701913357,0.18,190,0.010698896,0.8337240815162659,0.0003,0.157080078125,0.046096980571746826,0.872455894947052,0.1111981607391499
993.8809523809524,43008,75,571,-103.77135795238094,21,-0.004307672754657687,-4.93996354341507,0.18,200,0.005317078,0.8320828676223755,0.0003,0.050634765625,14.319428443908691,0.4915667176246643,13.549884900986218
1021.4318181818181,45056,78,571,-101.7933855681818,22,-0.010222079418599605,-4.924103160202503,0.18,210,0.0078300685,0.8267622590065002,0.0003,0.113525390625,0.04371817409992218,0.8035479933023453,0.1427233251160942
1034.2888888888888,47104,82,571,-100.70945144444444,23,-0.010710332229791675,-4.90056853145361,0.18,220,0.007884433,0.8215456604957581,0.0003,0.110546875,0.14126598834991455,0.7417551279067993,0.19750939435325562
1046.5869565217392,49152,86,571,-99.80425813043476,24,-0.013260085905494634,-4.843151155114174,0.18,230,0.011313167,0.8055003881454468,0.0003,0.14560546875,0.049066219478845596,0.7139375805854797,0.18794605226721614
1058.3617021276596,51200,89,571,-98.5268909148936,25,-0.01252671171532711,-4.781351850926876,0.18,240,0.010107977,0.7958889007568359,0.0003,0.13662109375,0.0461016409099102,0.6565874814987183,0.17259654444642364
1080.469387755102,53248,93,571,-95.75961353061224,26,-0.01211910712881945,-4.7392354846000675,0.18,250,0.006816555,0.7888533473014832,0.0003,0.12119140625,0.08503037691116333,0.7882958799600601,0.25334051228128374
