rollout/ep_len_mean,time/iterations,rollout/ep_rew_mean,time/fps,time/total_timesteps,time/time_elapsed,train/n_updates,train/approx_kl,train/value_loss,train/explained_variance,train/learning_rate,train/loss,train/clip_range,train/clip_fraction,train/policy_gradient_loss,train/entropy_loss,train/std
93.6,1,-114.0567274,759,2048,2,,,,,,,,,,,
363.8181818181818,2,-110.33160054545455,617,4096,6,10,0.004938421,228.3291981190443,-0.007265567779541016,0.0003,96.32954406738281,0.15,0.08232421875,-0.00914784239284927,-5.690168300271035,1.0053133964538574
411.42857142857144,3,-110.16752642857143,580,6144,10,20,0.006981706,147.7182166337967,0.24922895431518555,0.0003,76.69213104248047,0.15,0.095947265625,-0.009990119017311372,-5.709001049399376,1.0117604732513428
464.6875,4,-108.9207076875,565,8192,14,30,0.008342903,56.960394519008695,-0.07839334011077881,0.0003,15.6334867477417,0.15,0.145556640625,-0.008637441077735276,-5.713066916167736,1.0083773136138916
485.89473684210526,5,-110.02422910526316,557,10240,18,40,0.006101359,29.376006072806195,0.22432100772857666,0.0003,1.5276859998703003,0.15,0.14228515625,-0.006077544646541355,-5.701810716092586,1.0054219961166382
541.6,6,-109.54874629999999,550,12288,22,50,0.0055720643,54.66313531044871,0.27010130882263184,0.0003,7.288583278656006,0.15,0.057373046875,-0.004702897230163217,-5.686058665812015,1.0010570287704468
568.64,7,-110.39850896,546,14336,26,60,0.007920966,0.3752685318235308,0.8344319462776184,0.0003,0.06685683131217957,0.15,0.1529296875,-0.010328102562925778,-5.630008387565613,0.9828627705574036
537.2666666666667,8,-110.69879803333333,543,16384,30,70,0.003011247,73.33143652193249,0.2816488742828369,0.0003,68.85758972167969,0.15,0.028466796875,-0.003679269849089906,-5.602953113615513,0.982252836227417
571.5483870967741,9,-110.7019230967742,540,18432,34,80,0.0017241681,64.62921210657805,0.37974071502685547,0.0003,33.934303283691406,0.15,0.008447265625,-0.002349837325164117,-5.603890652954578,0.9831038117408752
603.6875,10,-111.0835714375,538,20480,38,90,0.007648271,0.439690802549012,0.8856158629059792,0.0003,0.25469663739204407,0.15,0.124853515625,-0.008145009230065624,-5.560777801275253,0.9644285440444946
