rollout/ep_len_mean,rollout/ep_rew_mean,time/total_timesteps,time/fps,time/iterations,time/time_elapsed,train/loss,train/entropy_loss,train/std,train/n_updates,train/policy_gradient_loss,train/clip_range,train/learning_rate,train/clip_fraction,train/value_loss,train/approx_kl,train/explained_variance
290.57142857142856,-112.00645699999998,2048,877,1,2,,,,,,,,,,,
313.9230769230769,-110.84860992307692,4096,681,2,6,39.41735076904297,-5.688946507871151,1.0063297748565674,10,-0.009455090978735824,0.18,0.0003,0.071875,259.679633000493,0.007462389,-0.010752201080322266
367.3125,-110.5579586875,6144,585,3,10,108.77982330322266,-5.714906919002533,1.0114035606384277,20,-0.009633701607526746,0.18,0.0003,0.065380859375,177.39102807044983,0.007330285,0.23634880781173706
403.2631578947368,-111.11937484210526,8192,546,4,14,52.25898742675781,-5.733803151547908,1.0162819623947144,30,-0.009363941354240523,0.18,0.0003,0.1068359375,61.13521691597998,0.0078494465,-0.03163707256317139
463.1,-111.00077185,10240,543,5,18,35.55638885498047,-5.733268730342388,1.0130021572113037,40,-0.007578856122563593,0.18,0.0003,0.09052734375,56.06626877281815,0.0077562886,0.17205780744552612
517.2380952380952,-110.67419933333333,12288,538,6,22,0.5764955878257751,-5.694156724214554,0.9988622069358826,50,-0.012030277580197434,0.18,0.0003,0.15126953125,1.2995882976800204,0.009309484,0.6796538233757019
589.7083333333334,-110.51361337499999,14336,536,7,26,0.16154710948467255,-5.635494607686996,0.9841658473014832,60,-0.00989954479591688,0.18,0.0003,0.124951171875,0.3410293336492032,0.00812149,0.5113678276538849
630.12,-109.9706372,16384,535,8,30,0.6170772314071655,-5.603741732239723,0.9805495738983154,70,-0.004335382212593686,0.18,0.0003,0.04052734375,30.747160772792995,0.0049729533,0.08583259582519531
667.4230769230769,-109.51676161538461,18432,531,9,34,0.34633296728134155,-5.585865722596646,0.9742547273635864,80,-0.006129458427312784,0.18,0.0003,0.07451171875,0.4310792570700869,0.0065747662,0.5739952027797699
678.6071428571429,-109.40230460714285,20480,532,10,38,0.12646085023880005,-5.5691585972905155,0.9731584191322327,90,-0.010398531111422925,0.18,0.0003,0.11552734375,0.2899930764688179,0.00902259,0.7327759265899658
740.0333333333333,-108.7866441,22528,530,11,42,44.44149398803711,-5.554772923886776,0.9668484926223755,100,-0.005290057742968202,0.18,0.0003,0.078466796875,24.68239409441594,0.0061040707,0.31353145837783813
767.7741935483871,-108.17023609677419,24576,527,12,46,0.04639839380979538,-5.491783103346824,0.9454975724220276,110,-0.009445407042221632,0.18,0.0003,0.090771484375,0.21587636705953628,0.008282791,-1.066741943359375
772.0,-107.53739415151516,26624,519,13,51,0.04497130215167999,-5.410834881663322,0.9286351203918457,120,-0.010640493933169636,0.18,0.0003,0.136181640625,0.1470646152505651,0.008990165,-0.6552761793136597
796.3529411764706,-106.80909655882353,28672,519,14,55,0.37662652134895325,-5.366926954686642,0.9235577583312988,130,-0.004737568332348019,0.18,0.0003,0.04560546875,20.6886429869337,0.005120931,0.05196934938430786
841.0,-105.48149822222223,30720,522,15,58,0.032283760607242584,-5.309109926223755,0.9046940803527832,140,-0.007968018010433297,0.18,0.0003,0.1134765625,0.1145262799342163,0.009026423,-0.13126957416534424
861.5135135135135,-104.58759843243243,32768,524,16,62,0.009616006165742874,-5.238316275179386,0.8902548551559448,150,-0.012794488982763141,0.18,0.0003,0.1080078125,0.17052051934879273,0.0111256605,-0.36202776432037354
880.9473684210526,-103.74447694736841,34816,520,17,66,0.1579291671514511,-5.184296604990959,0.880183219909668,160,-0.012895513900730293,0.18,0.0003,0.136865234375,0.21839080082718282,0.0080329925,-1.0428550243377686
916.9,-102.046537125,36864,516,18,71,0.03155580908060074,-5.1400539457798,0.8706216216087341,170,-0.008393905177945271,0.18,0.0003,0.099853515625,0.21695871350821108,0.007374334,0.2021932601928711
933.560975609756,-101.52237951219512,38912,515,19,75,0.03522079065442085,-5.101756674051285,0.8628736138343811,180,-0.009393147089576814,0.18,0.0003,0.0728515625,0.1272357807843946,0.0070761135,0.19317352771759033
949.4285714285714,-100.70100866666665,40960,511,20,80,0.02965470775961876,-5.07687793970108,0.8601264357566833,190,-0.008654381601081696,0.18,0.0003,0.08173828125,0.13760040663182735,0.0066666296,0.39881473779678345
944.0,-100.25102977272726,43008,510,21,84,0.04010201618075371,-5.063988815248012,0.8572787642478943,200,-0.009435727141681127,0.18,0.0003,0.111572265625,0.09595526030752807,0.0072645647,0.3930633068084717
918.795918367347,-99.61629902040815,45056,504,22,89,0.18237420916557312,-5.063787099719048,0.8608289957046509,210,-0.005973486967559438,0.18,0.0003,0.0669921875,14.645266159973108,0.006737824,0.06406140327453613
915.7254901960785,-99.47223458823528,47104,501,23,93,3.4371607303619385,-5.073757131397724,0.8611109852790833,220,-0.005992602124024415,0.18,0.0003,0.015576171875,52.72153528034687,0.0038603917,0.4616125226020813
928.8846153846154,-98.79928817307692,49152,497,24,98,21.00372314453125,-5.074204178154469,0.8610095977783203,230,-0.005447176247253082,0.18,0.0003,0.016552734375,16.302623637299984,0.00371332,0.36631906032562256
909.709090909091,-100.5286669090909,51200,496,25,103,0.3908815085887909,-5.073200426995754,0.8605037927627563,240,-0.007229978873510845,0.18,0.0003,0.081884765625,1.4097963663283735,0.0059072,0.5874468684196472
933.9298245614035,-99.05118985964913,53248,496,26,107,33.789920806884766,-5.06960341334343,0.860559344291687,250,-0.004693675725138746,0.18,0.0003,0.016455078125,43.858016692101955,0.0028068428,0.3891715407371521
