time/total_timesteps,train/actor_loss,time/episodes,time/fps,rollout/ep_rew_mean,train/learning_rate,train/ent_coef_loss,rollout/ep_len_mean,time/time_elapsed,train/n_updates,train/critic_loss,train/ent_coef
800,19.98919677734375,4,53,-1318.61375425,0.0003,-0.3388548195362091,200.0,14,699,0.24064043164253235,0.8130452036857605
1600,43.28390884399414,8,50,-1386.613887,0.0003,-0.6229846477508545,200.0,31,1499,0.1623849868774414,0.6476584076881409
2400,61.08066940307617,12,49,-1285.0229300833332,0.0003,-0.646416187286377,200.0,48,2299,0.19071197509765625,0.5315026044845581
3200,64.96145629882812,16,48,-1066.8253100000002,0.0003,-0.2644590139389038,200.0,66,3099,0.37964311242103577,0.4548182189464569
4000,72.1645278930664,20,48,-956.0275606000001,0.0003,-0.5306020975112915,200.0,83,3899,0.6033664345741272,0.39220988750457764
4800,78.14836883544922,24,47,-900.4291987083334,0.0003,-0.34249332547187805,200.0,100,4699,1.6454758644104004,0.33560433983802795
5600,74.6246337890625,28,47,-824.83269725,0.0003,-0.7285592555999756,200.0,117,5499,2.7593445777893066,0.28447425365448
6400,75.95648956298828,32,47,-737.00943825,0.0003,-0.6743922233581543,200.0,134,6299,4.342949390411377,0.23724567890167236
7200,72.13946533203125,36,47,-678.5378670000001,0.0003,-0.5989931225776672,200.0,151,7099,3.7833876609802246,0.1998530924320221
8000,71.80252838134766,40,47,-631.740000775,0.0003,-0.4406357407569885,200.0,168,7899,3.2969441413879395,0.1731865406036377
8800,62.286582946777344,44,47,-579.7872057045456,0.0003,-0.37169694900512695,200.0,185,8699,3.8809428215026855,0.14968836307525635
9600,55.48765563964844,48,47,-543.9293951041667,0.0003,-0.9690577387809753,200.0,203,9499,2.097832441329956,0.12418844550848007
10400,50.96396255493164,52,47,-518.4962868076923,0.0003,-1.0400276184082031,200.0,220,10299,3.002075672149658,0.10231084376573563
