time/total_timesteps,train/actor_loss,time/episodes,time/fps,rollout/ep_rew_mean,train/learning_rate,train/ent_coef_loss,rollout/ep_len_mean,time/time_elapsed,train/n_updates,train/critic_loss,train/ent_coef
800,25.93683624267578,4,54,-1668.6240750000002,0.0003,-0.35297250747680664,200.0,14,699,0.24574488401412964,0.8116554617881775
1600,50.832332611083984,8,50,-1558.0415656250002,0.0003,-0.6389440894126892,200.0,31,1499,0.19696319103240967,0.6438404321670532
2400,69.98912048339844,12,49,-1365.8643272500003,0.0003,-0.6498708724975586,200.0,48,2299,0.30726322531700134,0.529360294342041
3200,82.49275970458984,16,48,-1237.6210007500001,0.0003,-0.37226688861846924,200.0,65,3099,0.3477962613105774,0.4535699188709259
4000,85.28041076660156,20,48,-1083.0012595,0.0003,-0.19356751441955566,200.0,82,3899,0.6147406101226807,0.39852002263069153
4800,85.8663330078125,24,48,-927.8675580833333,0.0003,-0.5652531981468201,200.0,99,4699,0.7866449356079102,0.3490253686904907
5600,83.50291442871094,28,48,-804.3597391071428,0.0003,-0.1899055689573288,200.0,116,5499,2.3693625926971436,0.29366448521614075
6400,79.34162902832031,32,48,-730.8046084375001,0.0003,-0.4774555563926697,200.0,132,6299,1.2208229303359985,0.24758271872997284
7200,85.36344146728516,36,48,-668.9596873888889,0.0003,-0.3490370810031891,200.0,149,7099,1.2679829597473145,0.21140709519386292
8000,75.38214874267578,40,48,-614.0865000250001,0.0003,-0.1364397555589676,200.0,166,7899,2.125192642211914,0.1813325732946396
8800,78.85745239257812,44,47,-572.1180600454546,0.0003,-0.20708011090755463,200.0,183,8699,1.5762367248535156,0.15623509883880615
9600,76.11164855957031,48,47,-541.9223115000001,0.0003,-0.12198254466056824,200.0,200,9499,1.1946865320205688,0.13693886995315552
10400,65.43119049072266,52,47,-511.84202692307696,0.0003,-0.6068133115768433,200.0,217,10299,1.6260426044464111,0.11977507174015045
11200,58.9515266418457,56,47,-492.55109658928575,0.0003,-0.04904843866825104,200.0,234,11099,1.4275286197662354,0.10541722178459167
12000,60.783077239990234,60,47,-465.95492105,0.0003,0.26934900879859924,200.0,251,11899,2.667743682861328,0.09268677234649658
12800,55.16971969604492,64,47,-448.343805140625,0.0003,-0.2838445007801056,200.0,267,12699,1.2984490394592285,0.08216888457536697
13600,66.78402709960938,68,47,-433.27304852941177,0.0003,0.006022091954946518,200.0,284,13499,1.3020917177200317,0.07616687566041946
14400,51.065433502197266,72,47,-418.1517324027778,0.0003,-0.638274073600769,200.0,301,14299,1.29310941696167,0.06889145821332932
15200,48.20795440673828,76,47,-402.6392637763158,0.0003,0.014670506119728088,200.0,318,15099,2.0064098834991455,0.06342891603708267
16000,48.79983139038086,80,47,-389.921222825,0.0003,-0.5507266521453857,200.0,335,15899,1.4681458473205566,0.05742642655968666
16800,45.98134231567383,84,47,-375.814353297619,0.0003,-0.3609524369239807,200.0,352,16699,1.4700497388839722,0.05142635852098465
17600,38.27585983276367,88,46,-365.5739877045455,0.0003,-0.8960878849029541,200.0,376,17499,1.0147351026535034,0.0460929274559021
18400,46.927852630615234,92,46,-356.25250576086967,0.0003,-0.011906296014785767,200.0,395,18299,1.5535626411437988,0.0406632237136364
19200,41.93260192871094,96,46,-348.8082246458334,0.0003,0.2584855258464813,200.0,411,19099,1.2744941711425781,0.037647489458322525
20000,44.837921142578125,100,46,-342.14814567,0.0003,-0.03815361112356186,200.0,428,19899,0.9768410921096802,0.03621620684862137
20800,38.529415130615234,104,46,-279.13370509,0.0003,-0.31352001428604126,200.0,445,20699,0.6822697520256042,0.032881706953048706
21600,35.13717269897461,108,46,-227.16345811,0.0003,-0.07247939705848694,200.0,462,21499,1.0785399675369263,0.028797052800655365
22400,34.101524353027344,112,46,-193.70884949,0.0003,-0.1895821988582611,200.0,479,22299,1.1329314708709717,0.025556789711117744
23200,29.707942962646484,116,46,-164.31953998,0.0003,-1.0646750926971436,200.0,496,23099,0.9566541910171509,0.021961893886327744
24000,42.080535888671875,120,46,-152.85129636,0.0003,2.796177625656128,200.0,513,23899,0.7442300319671631,0.024646667763590813
24800,32.75868225097656,124,46,-150.57201288,0.0003,1.9820297956466675,200.0,530,24699,0.6641112565994263,0.03516846522688866
25600,34.325260162353516,128,46,-153.26860822999998,0.0003,0.8020037412643433,200.0,547,25499,0.4910179376602173,0.044166892766952515
26400,36.66368103027344,132,46,-152.32610818999999,0.0003,1.1764812469482422,200.0,564,26299,0.522794783115387,0.05289981886744499
27200,40.00404739379883,136,46,-153.16142635,0.0003,1.007337212562561,200.0,580,27099,0.8358889818191528,0.06057891249656677
28000,29.09938621520996,140,46,-153.84136505000004,0.0003,0.17590570449829102,200.0,597,27899,1.1507660150527954,0.06454119831323624
28800,35.29658889770508,144,46,-156.61094108,0.0003,-0.5610253810882568,200.0,615,28699,0.7457597255706787,0.05479520186781883
29600,28.46363639831543,148,46,-154.20768667000002,0.0003,-0.9268696904182434,200.0,632,29499,0.36356121301651,0.044275909662246704
30400,31.972522735595703,152,46,-156.59878616,0.0003,-0.5239214301109314,200.0,651,30299,0.3694424033164978,0.03738102689385414
31200,34.34368896484375,156,46,-151.95495403,0.0003,-0.5858362913131714,200.0,674,31099,0.7952872514724731,0.03398214280605316
32000,32.4726448059082,160,45,-154.25165482000003,0.0003,-0.8105605244636536,200.0,696,31899,0.48588162660598755,0.030075933784246445
