time/total_timesteps,train/actor_loss,time/episodes,time/fps,rollout/ep_rew_mean,train/learning_rate,train/ent_coef_loss,rollout/ep_len_mean,time/time_elapsed,train/n_updates,train/critic_loss,train/ent_coef
800,25.70099449157715,4,55,-1574.1949622500001,0.0003,-0.33833563327789307,200.0,14,699,0.28987473249435425,0.8124393820762634
1600,51.70709228515625,8,50,-1521.0638396250001,0.0003,-0.598283052444458,200.0,31,1499,0.13286906480789185,0.6455620527267456
2400,71.00521850585938,12,49,-1377.7261155000003,0.0003,-0.6732520461082458,200.0,48,2299,0.43959760665893555,0.5296520590782166
3200,84.92638397216797,16,49,-1182.7689773749998,0.0003,-0.6444624662399292,200.0,65,3099,0.4648575186729431,0.45152944326400757
4000,80.61994171142578,20,48,-977.81975865,0.0003,-0.5813403129577637,200.0,82,3899,0.5805497765541077,0.38949286937713623
4800,77.25493621826172,24,48,-836.4173072083335,0.0003,-0.4752112030982971,200.0,98,4699,0.9239077568054199,0.32933497428894043
5600,87.25021362304688,28,48,-739.5081864285714,0.0003,-0.4319450855255127,200.0,115,5499,0.9403200149536133,0.2735000252723694
6400,73.1917724609375,32,48,-673.7208611875,0.0003,-0.836492657661438,200.0,132,6299,1.054964542388916,0.22506065666675568
7200,74.6832275390625,36,48,-612.6640295000001,0.0003,-0.5642780661582947,200.0,149,7099,1.6069796085357666,0.18673361837863922
8000,83.6249771118164,40,48,-571.374745225,0.0003,-0.3293319642543793,200.0,166,7899,1.991565227508545,0.154209703207016
8800,75.16730499267578,44,48,-545.28253475,0.0003,-0.2101498693227768,200.0,183,8699,2.4448976516723633,0.13105356693267822
9600,65.10760498046875,48,48,-507.4874063125,0.0003,-0.37224090099334717,200.0,199,9499,2.766232967376709,0.11369508504867554
10400,62.69219207763672,52,48,-495.9305054423076,0.0003,-0.11603958904743195,200.0,216,10299,3.0413992404937744,0.10040335357189178
11200,56.486934661865234,56,47,-473.0701910178572,0.0003,-0.4803725481033325,200.0,233,11099,2.297485589981079,0.09403685480356216
12000,71.89862823486328,60,47,-457.51607258333337,0.0003,0.4944416582584381,200.0,250,11899,6.651481628417969,0.08502757549285889
12800,58.35542297363281,64,47,-437.90495790625005,0.0003,-0.1915050595998764,200.0,267,12699,2.106715440750122,0.07888343930244446
13600,57.23350143432617,68,47,-417.64355525,0.0003,-0.37691181898117065,200.0,283,13499,2.549203634262085,0.07264477759599686
14400,53.84340286254883,72,47,-402.8229505833333,0.0003,-0.5247365832328796,200.0,300,14299,1.5277011394500732,0.06493750214576721
15200,50.807369232177734,76,47,-387.96508197368416,0.0003,-0.47757238149642944,200.0,317,15099,2.7366628646850586,0.05654483288526535
16000,40.7467155456543,80,47,-373.0026944625,0.0003,-0.3370404839515686,200.0,334,15899,2.184274673461914,0.05130839720368385
