time/fps,train/learning_rate,train/ent_coef_loss,time/total_timesteps,time/episodes,train/critic_loss,rollout/ep_rew_mean,train/actor_loss,time/time_elapsed,rollout/ep_len_mean,train/ent_coef,train/n_updates
52,0.0003,-0.3258276581764221,800,4,0.27247023582458496,-1282.38545925,20.72757911682129,15,200.0,0.8131393194198608,699
50,0.0003,-0.6313469409942627,1600,8,0.1443195641040802,-1406.4133207500001,43.84197998046875,31,200.0,0.648748517036438,1499
49,0.0003,-0.6929802298545837,2400,12,0.22189012169837952,-1296.2490070833335,62.672237396240234,48,200.0,0.5284616351127625,2299
49,0.0003,-0.5220295786857605,3200,16,0.28056424856185913,-1093.922613625,68.26753234863281,65,200.0,0.4476947784423828,3099
48,0.0003,-0.616207480430603,4000,20,0.7303072214126587,-922.9039737499997,70.52227783203125,81,200.0,0.38182955980300903,3899
48,0.0003,-0.614642858505249,4800,24,0.6536747813224792,-790.380344,76.33758544921875,98,200.0,0.3188484311103821,4699
48,0.0003,-0.7360807657241821,5600,28,0.6374955177307129,-695.0674497142858,74.0042953491211,115,200.0,0.2626747786998749,5499
48,0.0003,-0.47983166575431824,6400,32,1.4983693361282349,-634.2162421875,60.783721923828125,132,200.0,0.2197941243648529,6299
48,0.0003,-0.4104331135749817,7200,36,1.2003381252288818,-580.3824401111111,59.20625305175781,149,200.0,0.18744996190071106,7099
48,0.0003,-0.6028801798820496,8000,40,1.8214654922485352,-538.341486925,59.29613494873047,165,200.0,0.1605527400970459,7899
48,0.0003,-0.6640733480453491,8800,44,1.6157386302947998,-497.6123153863637,52.580665588378906,182,200.0,0.13778355717658997,8699
48,0.0003,-0.4613773226737976,9600,48,1.390305995941162,-468.43252154166674,43.5662956237793,199,200.0,0.11842650920152664,9499
48,0.0003,0.056281231343746185,10400,52,1.3238708972930908,-437.30481861538465,47.420738220214844,216,200.0,0.1037120372056961,10299
47,0.0003,-0.43798741698265076,11200,56,1.1308919191360474,-416.46590435714285,43.33131790161133,233,200.0,0.09035032987594604,11099
47,0.0003,-0.3631807565689087,12000,60,1.0153015851974487,-396.6900963,32.26128387451172,250,200.0,0.07969165593385696,11899
47,0.0003,0.2912120223045349,12800,64,1.0817770957946777,-382.029262328125,46.324947357177734,266,200.0,0.07155214250087738,12699
47,0.0003,-0.1907116174697876,13600,68,0.6917043924331665,-368.5034525,39.736183166503906,283,200.0,0.0618230365216732,13499
