time/total_timesteps,train/actor_loss,time/episodes,time/fps,rollout/ep_rew_mean,train/learning_rate,train/ent_coef_loss,rollout/ep_len_mean,time/time_elapsed,train/n_updates,train/critic_loss,train/ent_coef
800,27.29891014099121,4,53,-1644.3841705,0.0003,-0.33943140506744385,200.0,14,699,0.12152592837810516,0.8124404549598694
1600,53.26433563232422,8,49,-1574.0035472499999,0.0003,-0.6206433176994324,200.0,32,1499,0.09410899877548218,0.644237220287323
2400,74.3090591430664,12,48,-1446.643234833333,0.0003,-0.6470959186553955,200.0,49,2299,0.44411730766296387,0.5297325253486633
3200,87.88255310058594,16,48,-1321.2998331875,0.0003,-0.48882073163986206,200.0,66,3099,0.31037306785583496,0.45193418860435486
4000,99.05841064453125,20,47,-1134.5560613000002,0.0003,-0.4943341016769409,200.0,83,3899,0.3797506093978882,0.38950884342193604
4800,99.68671417236328,24,47,-977.6749137916668,0.0003,-0.5209928154945374,200.0,100,4699,0.6567846536636353,0.329196959733963
5600,102.83940124511719,28,47,-873.1532860357145,0.0003,-0.686547040939331,200.0,118,5499,0.8350649476051331,0.2744870185852051
6400,100.61679077148438,32,47,-783.8233003125,0.0003,-0.5395150780677795,200.0,135,6299,0.7220809459686279,0.23141609132289886
7200,95.24421691894531,36,47,-713.4990472499999,0.0003,-0.5014563798904419,200.0,152,7099,1.3454179763793945,0.2005877047777176
8000,99.27289581298828,40,47,-655.261496175,0.0003,-0.06446968764066696,200.0,169,7899,1.6828111410140991,0.17353151738643646
8800,88.65930938720703,44,47,-604.9803323409092,0.0003,-0.18014362454414368,200.0,186,8699,1.0216844081878662,0.1501106470823288
9600,85.09403228759766,48,47,-559.7684749375,0.0003,-0.8480569124221802,200.0,203,9499,1.016117811203003,0.12883126735687256
10400,82.89342498779297,52,47,-530.2576689807692,0.0003,-0.135219544172287,200.0,220,10299,1.0993932485580444,0.11281570792198181
11200,80.36395263671875,56,47,-507.2423776071428,0.0003,0.11655408889055252,200.0,238,11099,1.517851710319519,0.10163300484418869
