episode_num,cumulative_reward,mean_reward,cumulative_reward_energy_term,mean_reward_energy_term,cumulative_reward_comfort_term,mean_reward_comfort_term,cumulative_abs_energy_penalty,mean_abs_energy_penalty,cumulative_abs_comfort_penalty,mean_abs_comfort_penalty,cumulative_power_demand,mean_power_demand,cumulative_temperature_violation,mean_temperature_violation,comfort_violation_time (%),length (timesteps),time_elapsed (hours)
1,-7315.151047730818,-0.20876572624802564,-4264.780334470548,-0.12171176753625994,-3050.37071326027,-0.08705395871176569,-85295606.68941095,-2434.2353507251983,-6100.74142652054,-0.17410791742353138,85295606.68941095,2434.2353507251983,6100.74142652054,0.17410791742353138,21.894352330127564,35041,8760.0
2,-8048.994749358645,-0.2297153100647463,-4340.777676502811,-0.12388417696003913,-3708.2170728558326,-0.10583113310470711,-86815553.53005622,-2477.6835392007824,-7416.434145711665,-0.21166226620941422,86815553.53005622,2477.6835392007824,7416.434145711665,0.21166226620941422,22.71689497716895,35040,8759.75
3,-7582.570799562114,-0.21640374438660104,-4530.20991798552,-0.12929050252534377,-3052.3608815765933,-0.08711324186125727,-90604198.35971041,-2585.8100505068755,-6104.721763153187,-0.17422648372251454,90604198.35971041,2585.8100505068755,6104.721763153187,0.17422648372251454,19.149543378995435,35040,8759.75
4,-5742.611434620902,-0.16388731263187506,-4978.581126635063,-0.14208279470990476,-764.0303079858394,-0.0218045179219703,-99571622.53270125,-2841.655894198095,-1528.0606159716788,-0.0436090358439406,99571622.53270125,2841.655894198095,1528.0606159716788,0.0436090358439406,8.435832310721727,35041,8760.0
5,-5186.686349197282,-0.1480260951852873,-4610.791488223675,-0.13159027050497088,-575.8948609736078,-0.016435824680316444,-92215829.76447347,-2631.805410099417,-1151.7897219472156,-0.03287164936063289,92215829.76447347,2631.805410099417,1151.7897219472156,0.03287164936063289,7.260273972602739,35040,8759.75
6,-5000.503406370995,-0.14270843054711746,-4759.154537920288,-0.13582062037443746,-241.3488684507073,-0.0068878101726800025,-95183090.75840576,-2716.412407488749,-482.6977369014146,-0.013775620345360005,95183090.75840576,2716.412407488749,482.6977369014146,0.013775620345360005,3.844068377044034,35041,8760.0
7,-4790.573038308008,-0.13671726707500023,-4535.383082759581,-0.12943444870889215,-255.18995554842738,-0.007282818366108087,-90707661.65519162,-2588.6889741778427,-510.37991109685476,-0.014565636732216175,90707661.65519162,2588.6889741778427,510.37991109685476,0.014565636732216175,4.785822322422305,35041,8760.0
8,-4801.9883955855,-0.13704695897672595,-4545.7967806986335,-0.12973534577752316,-256.19161488686643,-0.007311613199202786,-90915935.61397265,-2594.7069155504623,-512.3832297737329,-0.014623226398405572,90915935.61397265,2594.7069155504623,512.3832297737329,0.014623226398405572,4.614726027397261,35040,8759.75
9,-4732.219608812919,-0.13505192947525455,-4489.846365061793,-0.12813488484765392,-242.3732437511262,-0.006917044627600634,-89796927.30123587,-2562.6976969530783,-484.7464875022524,-0.013834089255201267,89796927.30123587,2562.6976969530783,484.7464875022524,0.013834089255201267,4.6003253331811305,35041,8760.0
10,-4699.294064827919,-0.13411227353960956,-4430.432100628907,-0.12643927227822224,-268.8619641990111,-0.007673001261387303,-88608642.01257816,-2528.785445564445,-537.7239283980222,-0.015346002522774606,88608642.01257816,2528.785445564445,537.7239283980222,0.015346002522774606,5.293798692959676,35041,8760.0
11,-4728.022950882083,-0.1349360127538481,-4404.827070998291,-0.12571212280596739,-323.19587988379294,-0.009223889947880731,-88096541.41996579,-2514.2424561193466,-646.3917597675859,-0.018447779895761462,88096541.41996579,2514.2424561193466,646.3917597675859,0.018447779895761462,4.945776255707762,35040,8759.75
12,-4648.73071445002,-0.1326730418804766,-4377.39530768031,-0.12492923050544565,-271.3354067697092,-0.007743811375030943,-87547906.1536062,-2498.5846101089132,-542.6708135394184,-0.015487622750061885,87547906.1536062,2498.5846101089132,542.6708135394184,0.015487622750061885,5.26541095890411,35040,8759.75
13,-4683.81413143209,-0.13367049461849573,-4435.10557566081,-0.1265726477072149,-248.70855577127992,-0.00709784691128082,-88702111.5132162,-2531.452954144298,-497.41711154255984,-0.01419569382256164,88702111.5132162,2531.452954144298,497.41711154255984,0.01419569382256164,4.857167318284296,35041,8760.0
16,-4643.092995729113,-0.13250458022685177,-4374.397769933754,-0.1248365563178492,-268.695225795358,-0.00766802390900254,-87487955.39867508,-2496.731126356984,-537.390451590716,-0.01533604781800508,87487955.39867508,2496.731126356984,537.390451590716,0.01533604781800508,5.761657439643856,35042,8760.0
17,-4572.10800614448,-0.13048625834482946,-4314.028992800535,-0.12312077949714703,-258.07901334394484,-0.007365478847682435,-86280579.8560107,-2462.415589942941,-516.1580266878897,-0.01473095769536487,86280579.8560107,2462.415589942941,516.1580266878897,0.01473095769536487,5.816210045662101,35040,8759.75
18,-4585.9799970445465,-0.1308784245731891,-4348.328176630201,-0.12409612376227741,-237.65182041434588,-0.006782300810911698,-86966563.53260401,-2481.9224752455484,-475.30364082869175,-0.013564601621823396,86966563.53260401,2481.9224752455484,475.30364082869175,0.013564601621823396,5.445050084187096,35041,8760.0
19,-4607.641656048004,-0.1314966226041097,-4342.590856326845,-0.12393238745225015,-265.0507997211598,-0.007564235151859584,-86851817.12653689,-2478.6477490450025,-530.1015994423196,-0.015128470303719168,86851817.12653689,2478.6477490450025,530.1015994423196,0.015128470303719168,5.6191318740903515,35041,8760.0
20,-4597.094389133996,-0.1311993604022374,-4322.494406472782,-0.12336237924806023,-274.59998266121363,-0.007836981154177164,-86449888.12945566,-2467.2475849612047,-549.1999653224273,-0.015673962308354328,86449888.12945566,2467.2475849612047,549.1999653224273,0.015673962308354328,5.884703196347032,35040,8759.75
21,-4589.502086337392,-0.1309826789102826,-4313.014640212501,-0.12309183025236169,-276.48744612489105,-0.007890848657920918,-86260292.80425,-2461.836605047233,-552.9748922497821,-0.015781697315841836,86260292.80425,2461.836605047233,552.9748922497821,0.015781697315841836,6.1244292237442925,35040,8759.75
22,-4583.4735473689725,-0.13081062665512636,-4316.271131230913,-0.1231847692922433,-267.2024161380592,-0.007625857362883051,-86325422.62461826,-2463.695385844866,-534.4048322761184,-0.015251714725766101,86325422.62461826,2463.695385844866,534.4048322761184,0.015251714725766101,5.807648401826484,35040,8759.75
23,-4542.603916601315,-0.12964422262625402,-4308.554789004171,-0.12296454776118527,-234.04912759714432,-0.0066796748650687614,-86171095.78008342,-2459.2909552237056,-468.09825519428864,-0.013359349730137523,86171095.78008342,2459.2909552237056,468.09825519428864,0.013359349730137523,5.413812785388128,35040,8759.75
24,-4561.1833385715,-0.130174472404221,-4315.4007344640895,-0.123159928492939,-245.782604107411,-0.007014543911282029,-86308014.68928179,-2463.19856985878,-491.565208214822,-0.014029087822564058,86308014.68928179,2463.19856985878,491.565208214822,0.014029087822564058,5.28824200913242,35040,8759.75
25,-4577.716684027994,-0.1306463279211163,-4281.811723852767,-0.12220131064964088,-295.90496017522753,-0.008445017271475428,-85636234.47705531,-2444.026212992817,-591.8099203504551,-0.016890034542950856,85636234.47705531,2444.026212992817,591.8099203504551,0.016890034542950856,6.187214611872146,35040,8759.75
26,-4562.866810678542,-0.1302188016746159,-4303.507062846493,-0.12281698238717159,-259.3597478320498,-0.007401819287444343,-86070141.25692984,-2456.3396477434317,-518.7194956640996,-0.014803638574888686,86070141.25692984,2456.3396477434317,518.7194956640996,0.014803638574888686,5.69903826945578,35041,8760.0
