episode_num,cumulative_reward,mean_reward,cumulative_reward_energy_term,mean_reward_energy_term,cumulative_reward_comfort_term,mean_reward_comfort_term,cumulative_abs_energy_penalty,mean_abs_energy_penalty,cumulative_abs_comfort_penalty,mean_abs_comfort_penalty,cumulative_power_demand,mean_power_demand,cumulative_temperature_violation,mean_temperature_violation,comfort_violation_time (%),length (timesteps),time_elapsed (hours)
1,-18227.994490291945,-0.5202053222115282,-2678.445212239228,-0.0764396464680145,-15549.54927805272,-0.4437656757435137,-53568904.244784564,-1528.7929293602901,-31099.09855610544,-0.8875313514870274,53568904.244784564,1528.7929293602901,31099.09855610544,0.8875313514870274,51.1686310322194,35041,8760.0
2,-11720.450321317981,-0.334487737480536,-3212.2035638606376,-0.09167247613757527,-8508.246757457342,-0.24281526134296066,-64244071.27721275,-1833.4495227515054,-17016.493514914684,-0.48563052268592133,64244071.27721275,1833.4495227515054,17016.493514914684,0.48563052268592133,44.87885619702634,35041,8760.0
3,-8735.316592682218,-0.24929556485965235,-3315.025776586888,-0.09460690001674908,-5420.290816095329,-0.15468866484290322,-66300515.53173774,-1892.1380003349811,-10840.581632190659,-0.30937732968580645,66300515.53173774,1892.1380003349811,10840.581632190659,0.30937732968580645,45.74355754687367,35041,8760.0
4,-8660.478712526168,-0.24715978060862354,-3477.0575244315514,-0.09923109373377716,-5183.421188094618,-0.1479286868748464,-69541150.48863102,-1984.621874675543,-10366.842376189235,-0.2958573737496928,69541150.48863102,1984.621874675543,10366.842376189235,0.2958573737496928,43.80011985959305,35041,8760.0
5,-8572.82244712358,-0.24465817486083277,-3577.142809460138,-0.1020874089457802,-4995.679637663442,-0.14257076591505258,-71542856.18920274,-2041.7481789156034,-9991.359275326884,-0.28514153183010515,71542856.18920274,2041.7481789156034,9991.359275326884,0.28514153183010515,41.33729060243714,35041,8760.0
6,-8612.81751257823,-0.2457995865461824,-3688.8114340882644,-0.10527429891804407,-4924.006078489967,-0.14052528762813832,-73776228.68176529,-2105.4859783608813,-9848.012156979934,-0.28105057525627664,73776228.68176529,2105.4859783608813,9848.012156979934,0.28105057525627664,39.5936189035701,35041,8760.0
7,-8281.951079363258,-0.23635705135169116,-3684.364187466871,-0.10514737977930567,-4597.586891896386,-0.13120967157238544,-73687283.74933743,-2102.947595586114,-9195.173783792772,-0.2624193431447709,73687283.74933743,2102.947595586114,9195.173783792772,0.2624193431447709,37.66445021546188,35041,8760.0
8,-8448.20546882225,-0.24110175424721034,-3651.46674937516,-0.10420852595248745,-4796.738719447092,-0.13689322829472295,-73029334.98750319,-2084.1705190497482,-9593.477438894184,-0.2737864565894459,73029334.98750319,2084.1705190497482,9593.477438894184,0.2737864565894459,38.17242658599926,35041,8760.0
9,-8310.12950922504,-0.23716123028610275,-3622.1912906221232,-0.10337303911592817,-4687.938218602918,-0.1337881911701746,-72443825.81244245,-2067.460782318563,-9375.876437205836,-0.2675763823403492,72443825.81244245,2067.460782318563,9375.876437205836,0.2675763823403492,37.05373705088325,35041,8760.0
10,-8418.183088323201,-0.2402449511507763,-3645.6569789878563,-0.10404272200307808,-4772.526109335345,-0.1362022291476982,-72913139.57975711,-2080.8544400615615,-9545.05221867069,-0.2724044582953964,72913139.57975711,2080.8544400615615,9545.05221867069,0.2724044582953964,37.12793584657972,35041,8760.0
