rollout/ep_len_mean,time/episodes,train/n_updates,rollout/ep_rew_mean,train/critic_loss,train/actor_loss,time/total_timesteps,train/learning_rate,time/fps,time/time_elapsed
200.0,4,699,-1516.6376517500003,0.021022100001573563,17.077495574951172,800,0.001,60,13
200.0,8,1499,-1572.65596275,0.02397415041923523,30.90348243713379,1600,0.001,54,29
200.0,12,2299,-1529.9600755833333,0.03903614357113838,43.238956451416016,2400,0.001,53,45
200.0,16,3099,-1408.7293620625,0.08452160656452179,51.6970329284668,3200,0.001,52,61
200.0,20,3899,-1259.109765,0.12340716272592545,58.36872863769531,4000,0.001,51,76
200.0,24,4699,-1136.2957260416667,0.29706040024757385,63.373775482177734,4800,0.001,51,92
200.0,28,5499,-1023.1197119999999,0.5587619543075562,66.23117065429688,5600,0.001,51,108
200.0,32,6299,-911.0818024375001,0.44044819474220276,65.64714050292969,6400,0.001,51,124
200.0,36,7099,-835.0829141111111,0.7445172667503357,62.59184265136719,7200,0.001,51,140
200.0,40,7899,-772.9731326500001,0.7409693002700806,65.51512145996094,8000,0.001,51,156
200.0,44,8699,-718.8573007045457,1.0824986696243286,59.10758972167969,8800,0.001,50,172
200.0,48,9499,-669.1201002500001,0.8416133522987366,62.907691955566406,9600,0.001,50,188
200.0,52,10299,-632.1838878653847,1.6051552295684814,61.8438835144043,10400,0.001,50,204
200.0,56,11099,-599.8658240714285,2.752565622329712,61.40065002441406,11200,0.001,50,220
200.0,60,11899,-566.4791279499999,3.3541693687438965,60.671531677246094,12000,0.001,50,236
200.0,64,12699,-551.1808778437501,3.941012382507324,65.80823516845703,12800,0.001,50,252
200.0,68,13499,-531.521135264706,5.107744216918945,67.58317565917969,13600,0.001,50,268
200.0,72,14299,-510.39678901388896,6.876140594482422,66.69319152832031,14400,0.001,50,285
200.0,76,15099,-490.34619786842103,2.867741346359253,55.15230941772461,15200,0.001,50,301
200.0,80,15899,-473.26561796249996,1.7762302160263062,62.856910705566406,16000,0.001,50,317
200.0,84,16699,-454.04759545238096,3.5511884689331055,50.4955940246582,16800,0.001,50,333
200.0,88,17499,-441.9314203522727,3.544302463531494,59.82805633544922,17600,0.001,50,349
200.0,92,18299,-430.4539341521739,4.676209449768066,55.2748908996582,18400,0.001,50,365
200.0,96,19099,-419.08013251041666,3.6190919876098633,51.19001770019531,19200,0.001,50,381
200.0,100,19899,-408.11343486,2.707711696624756,53.1317253112793,20000,0.001,50,397
200.0,104,20699,-353.86906465999994,2.6130080223083496,54.25823974609375,20800,0.001,50,413
200.0,108,21499,-293.57748952000003,2.5382447242736816,47.281028747558594,21600,0.001,50,429
200.0,112,22299,-239.69534638999997,2.0491631031036377,53.288726806640625,22400,0.001,50,445
200.0,116,23099,-203.02731071999997,3.55010986328125,47.94622039794922,23200,0.001,50,461
200.0,120,23899,-182.57714502000002,2.5792970657348633,43.65415573120117,24000,0.001,50,477
200.0,124,24699,-168.48223298000002,5.180274963378906,48.561283111572266,24800,0.001,50,493
200.0,128,25499,-160.75604441999997,1.554356575012207,48.31026840209961,25600,0.001,50,509
200.0,132,26299,-158.3130023,5.176762104034424,49.335044860839844,26400,0.001,50,525
