time/episodes,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,train/approx_kl,train/value_loss,train/std,train/n_updates,train/loss,train/explained_variance,train/clip_range,train/learning_rate,train/clip_fraction,train/policy_gradient_loss,train/entropy_loss
1,1018,-261.7446644117647,119.17647058823529,2,2048,,,,,,,,,,,
2,776,-274.84071867647054,120.05882352941177,5,4096,0.0040745325,1963.6198986053466,1.007929801940918,10,821.9570922851562,-0.0013507604598999023,0.2,0.0003,0.015576171875,-0.0028241540618182625,-2.8467168591916563
3,717,-249.02237353703705,113.27777777777777,8,6144,0.0034373635,1901.9142580032349,0.9992978572845459,20,972.918701171875,-0.02090167999267578,0.2,0.0003,0.014990234375,-0.0027038705098675563,-2.8436543814837933
4,696,-235.88732173611112,112.72222222222223,11,8192,0.0056743426,1325.3937128067016,1.0068327188491821,30,314.94073486328125,-0.0023990869522094727,0.2,0.0003,0.053466796875,-0.007109241920989007,-2.8428866654634475
5,683,-234.43296394382025,114.96629213483146,14,10240,0.0058563706,1017.6342784881592,1.0065083503723145,40,455.2436218261719,-0.001754164695739746,0.2,0.0003,0.051611328125,-0.007891659824235831,-2.8494421668350696
6,675,-226.85248092999998,118.3,18,12288,0.006530523,1326.8937200546266,0.9983750581741333,50,423.87664794921875,-0.010028600692749023,0.2,0.0003,0.033837890625,-0.00544759307813365,-2.8408636853098868
7,670,-216.7977781,127.48,21,14336,0.0065149823,636.9988984107971,0.9796483516693115,60,217.5963134765625,0.0001894235610961914,0.2,0.0003,0.054052734375,-0.00514459892292507,-2.817799933254719
8,665,-186.53256443,128.42,24,16384,0.008616272,318.84635560512544,0.9852579832077026,70,174.4181671142578,0.023766398429870605,0.2,0.0003,0.08330078125,-0.007492725223710295,-2.80104753524065
9,662,-158.35922262999998,132.42,27,18432,0.015874965,223.32612218856812,0.9636270999908447,80,134.5284423828125,-0.03192329406738281,0.2,0.0003,0.126611328125,-0.009442868836049455,-2.771845133602619
10,659,-151.43002535,140.77,31,20480,0.009012103,263.0448245048523,0.9625009298324585,90,69.49298858642578,-0.01125943660736084,0.2,0.0003,0.066015625,-0.005123218268272467,-2.7607608579099177
11,657,-137.56581957999998,146.49,34,22528,0.0059405854,596.8474136352539,0.960343599319458,100,356.6189880371094,-0.00889575481414795,0.2,0.0003,0.060302734375,-0.0033070091914851217,-2.7549168050289152
12,638,-113.92938092,149.9,38,24576,0.005913374,233.35562314987183,0.9562069177627563,110,119.74103546142578,-7.796287536621094e-05,0.2,0.0003,0.083447265625,-0.00842009982734453,-2.7526662796735764
