time/episodes,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,train/approx_kl,train/value_loss,train/std,train/n_updates,train/loss,train/explained_variance,train/clip_range,train/learning_rate,train/clip_fraction,train/policy_gradient_loss,train/entropy_loss
1,853,-251.27832825,124.5,2,2048,,,,,,,,,,,
2,641,-276.35455770588237,117.76470588235294,6,4096,0.003820379,1743.2414361953736,1.0141451358795166,10,1076.0865478515625,-0.0025600194931030273,0.2,0.0003,0.021435546875,-0.004908643836097326,-2.853359267860651
3,625,-278.00306794230767,116.61538461538461,9,6144,0.0035534638,2111.697368621826,1.0107938051223755,20,643.31787109375,-0.021665215492248535,0.2,0.0003,0.006298828125,-0.001548364295740612,-2.863116431236267
4,610,-268.18547458208957,121.05970149253731,13,8192,0.004769211,2194.362979507446,1.018306851387024,30,1014.0699462890625,-0.0013985633850097656,0.2,0.0003,0.035400390625,-0.003991696862794924,-2.8649921000003813
5,610,-263.87863740476195,120.64285714285714,16,10240,0.0065206867,886.0050362110138,1.0491023063659668,40,351.4275817871094,-0.0014530420303344727,0.2,0.0003,0.046044921875,-0.007501707042683848,-2.9101907148957253
6,611,-247.99823827999992,120.29,20,12288,0.0056287264,1192.3286154747009,1.0466619729995728,50,604.4187622070312,-0.12037897109985352,0.2,0.0003,0.04365234375,-0.004581546917324886,-2.9306366719305514
7,608,-227.98515292000005,121.65,23,14336,0.008251844,572.4005236625671,1.0327755212783813,60,205.97320556640625,-0.0074465274810791016,0.2,0.0003,0.083154296875,-0.010445111835724673,-2.9170576080679895
8,600,-208.45273189000002,124.98,27,16384,0.0069904635,374.39655966758727,1.018714427947998,70,128.16897583007812,-0.001851797103881836,0.2,0.0003,0.0732421875,-0.005824325383582618,-2.886971390247345
9,583,-170.89690606000005,130.65,31,18432,0.004315148,477.40520615577697,1.0160374641418457,80,337.81097412109375,-0.005858302116394043,0.2,0.0003,0.04013671875,-0.0031578058013110423,-2.8688367754220963
10,573,-151.53698443000002,130.64,35,20480,0.004749678,377.38348307609556,1.0245246887207031,90,171.67266845703125,-2.8848648071289062e-05,0.2,0.0003,0.0419921875,-0.002246384072350338,-2.8767248317599297
