time/iterations,time/time_elapsed,rollout/ep_rew_mean,rollout/ep_len_mean,time/total_timesteps,time/fps,train/loss,train/explained_variance,train/entropy_loss,train/policy_gradient_loss,train/clip_range,train/std,train/n_updates,train/clip_fraction,train/learning_rate,train/value_loss,train/approx_kl
1,1,-272.90935652941175,110.6470588235294,2048,1145,,,,,,,,,,,
2,4,-238.84087391666668,111.55555555555556,4096,1003,4488.4384765625,0.000755608081817627,-2.840568309649825,-0.0021181236988923047,0.2,1.0022883415222168,4,0.0111083984375,0.0003,9095.068744659424,0.003449452
3,6,-236.6207805818182,110.2,6144,965,3443.66259765625,-0.00858461856842041,-2.843081744387746,-0.00150647661939729,0.2,1.0034246444702148,8,0.001953125,0.0003,6451.10958480835,0.0019318474
4,8,-228.51157615068493,111.65753424657534,8192,947,4262.85546875,-0.007777094841003418,-2.8484497535973787,-0.00266749897855334,0.2,1.0075372457504272,12,0.003662109375,0.0003,8927.000160217285,0.0021639508
5,10,-222.4288278666667,112.94444444444444,10240,936,2256.99169921875,-0.004968404769897461,-2.8464169800281525,-0.004312502373068128,0.2,1.0007045269012451,16,0.0194091796875,0.0003,4434.6788330078125,0.0045632035
6,13,-204.32708323999998,115.14,12288,927,2553.608154296875,-0.006724119186401367,-2.8374674804508686,-0.004353207630629186,0.2,0.9978482723236084,20,0.032470703125,0.0003,4802.555870056152,0.0057042344
7,15,-188.44943878,114.62,14336,923,1461.3636474609375,-0.003411531448364258,-2.8315602242946625,-0.006147442982182838,0.2,0.9958674907684326,24,0.03955078125,0.0003,3189.8758249282837,0.004369733
8,17,-177.67689561,116.63,16384,919,1498.2159423828125,-0.005012154579162598,-2.8321887347847223,-0.005857232328708051,0.2,1.0002198219299316,28,0.01708984375,0.0003,2743.589403152466,0.0047531785
9,20,-160.78299499000002,118.08,18432,916,2405.66845703125,-0.025183916091918945,-2.8443037681281567,-0.0054454250530397985,0.2,1.0068585872650146,32,0.025146484375,0.0003,4422.721603393555,0.0049467804
10,22,-142.43873296999996,119.5,20480,914,797.5977172851562,-0.010709404945373535,-2.8416022527962923,-0.0033023883261193987,0.2,0.9979219436645508,36,0.007080078125,0.0003,1793.7216820716858,0.0032746093
11,24,-133.78158010999996,119.95,22528,911,349.9034118652344,-0.0016182661056518555,-2.846605395898223,-0.0032571975061728153,0.2,1.0093187093734741,40,0.0235595703125,0.0003,1077.3002948760986,0.0037790583
12,27,-121.93864461999999,118.55,24576,910,1665.953857421875,-0.0031213760375976562,-2.854717494919896,-0.0037587293663818855,0.2,1.0071301460266113,44,0.0128173828125,0.0003,3052.2700605392456,0.002970519
13,29,-109.50352847,117.3,26624,908,159.52337646484375,-0.004951357841491699,-2.8533626683056355,-0.0059214900284132455,0.2,1.0131561756134033,48,0.048583984375,0.0003,839.3927421569824,0.0062265573
14,31,-98.64511730000002,127.97,28672,906,277.457275390625,0.0019367337226867676,-2.866142412647605,0.00037932770646875724,0.2,1.0156162977218628,52,0.117919921875,0.0003,468.2773087024689,0.008389493
15,33,-88.59971026999997,136.89,30720,905,221.1370391845703,0.0037990808486938477,-2.8620423581451178,-0.0023075243807397783,0.2,1.0113987922668457,56,0.0191650390625,0.0003,475.2607663869858,0.0034271348
16,36,-80.78107982,140.43,32768,904,214.02174377441406,0.024181842803955078,-2.859949490055442,-0.002440338568703737,0.2,1.0103716850280762,60,0.0047607421875,0.0003,537.8927643299103,0.00217148
17,38,-70.90880151,141.47,34816,903,185.3238067626953,-0.0006580352783203125,-2.8525453228503466,-0.002959848223326844,0.2,1.0053502321243286,64,0.0233154296875,0.0003,449.3548936843872,0.0043583466
18,40,-60.911800420000006,154.28,36864,902,307.7897033691406,0.010954558849334717,-2.8483462184667587,-0.0023841791808081325,0.2,1.0056955814361572,68,0.0086669921875,0.0003,584.1061005592346,0.0028240806
19,43,-51.35106653,154.65,38912,902,267.7462463378906,-0.03308260440826416,-2.84774411842227,-0.0021598923704004847,0.2,1.00457763671875,72,0.0059814453125,0.0003,411.2220895290375,0.0025175964
20,45,-46.31748617,161.97,40960,901,159.7314910888672,0.006291568279266357,-2.8449435252696276,-0.003558352000254672,0.2,1.002591609954834,76,0.011962890625,0.0003,355.9448937177658,0.0039424673
21,47,-41.22864118000001,170.99,43008,900,208.6061248779297,0.158585786819458,-2.840514909476042,-0.002086897522531217,0.2,1.0001184940338135,80,0.00439453125,0.0003,441.31894969940186,0.0028799642
22,50,-40.473496280000006,158.64,45056,900,110.01806640625,0.3632933497428894,-2.8362982347607613,-0.0025460108772676904,0.2,0.9979091882705688,84,0.006591796875,0.0003,300.4537228345871,0.003335887
23,52,-37.904421899999996,171.21,47104,899,229.74212646484375,0.25784575939178467,-2.832218900322914,-0.0041543051793269115,0.2,0.9968211054801941,88,0.0135498046875,0.0003,452.06060445308685,0.0036776373
24,54,-35.179991359999995,183.9,49152,899,97.85324096679688,0.4742577075958252,-2.8308262936770916,-0.003942059862310998,0.2,0.9966635704040527,92,0.01171875,0.0003,269.88943922519684,0.0034316157
25,56,-32.06269074,201.4,51200,898,122.53010559082031,0.5357249677181244,-2.829516038298607,-0.002384693067142507,0.2,0.9945215582847595,96,0.010986328125,0.0003,268.4132360816002,0.0037842891
26,59,-31.121366039999998,211.82,53248,897,79.5806884765625,0.6146347224712372,-2.8210245203226805,-0.0029768654094368685,0.2,0.9888482689857483,100,0.0185546875,0.0003,205.49860340356827,0.003923684
27,61,-26.674904209999994,229.68,55296,897,142.52523803710938,0.5602698028087616,-2.8135584592819214,-0.00279119793776772,0.2,0.987473726272583,104,0.020751953125,0.0003,280.13936269283295,0.0046387203
28,63,-24.42062747,242.58,57344,896,123.68948364257812,0.6831928491592407,-2.8140316233038902,-0.004117142758332193,0.2,0.9886172413825989,108,0.023193359375,0.0003,270.61355835199356,0.0047558877
29,66,-21.13081708,252.31,59392,896,174.0204620361328,0.5865097641944885,-2.8178812582045794,-0.0034840308398997877,0.2,0.9919542074203491,112,0.0186767578125,0.0003,365.01489865779877,0.0051562544
30,68,-17.717941819999997,273.58,61440,896,52.722469329833984,0.7892340868711472,-2.8228841722011566,-0.0024673559055372607,0.2,0.9935638904571533,116,0.0252685546875,0.0003,157.0307548046112,0.0030853823
