time/episodes,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,train/approx_kl,train/value_loss,train/std,train/n_updates,train/loss,train/explained_variance,train/clip_range,train/learning_rate,train/clip_fraction,train/policy_gradient_loss,train/entropy_loss
1,1068,-289.64531366666665,112.11111111111111,1,2048,,,,,,,,,,,
2,769,-266.7597746285714,113.34285714285714,5,4096,0.0043728794,2437.4392557144165,0.9966942071914673,10,996.984375,0.0009735822677612305,0.2,0.0003,0.03046875,-0.00481953162670834,-2.831838443875313
3,716,-233.67050511111117,112.83333333333333,8,6144,0.006669963,1521.6241554260255,0.9951140880584717,20,200.58287048339844,-0.015199780464172363,0.2,0.0003,0.040966796875,-0.00581460518296808,-2.828973077237606
4,689,-211.76638433333335,112.875,11,8192,0.00434565,801.8192523002624,0.9869967699050903,30,273.5623474121094,-0.00954890251159668,0.2,0.0003,0.03193359375,-0.004672913090325892,-2.8167336985468863
5,673,-205.56117710112358,114.53932584269663,15,10240,0.0059584198,836.5555809020996,0.9871261119842529,40,473.6498718261719,-0.0017161369323730469,0.2,0.0003,0.036865234375,-0.003466894281154964,-2.8113246776163576
6,662,-184.21800707000003,114.22,18,12288,0.0058680796,719.3629773139953,0.983412504196167,50,315.7474060058594,-0.004324078559875488,0.2,0.0003,0.050146484375,-0.009379377592995296,-2.8044022262096404
7,655,-153.15707802,116.39,21,14336,0.0060059857,387.65382037162783,0.9848577976226807,60,307.78204345703125,0.0010604262351989746,0.2,0.0003,0.081640625,-0.005469613886089064,-2.815351627767086
8,651,-131.51543271,119.89,25,16384,0.008539118,399.28278641700746,0.9701629877090454,70,215.59027099609375,-0.022089838981628418,0.2,0.0003,0.09873046875,-0.01230791228445014,-2.7838888227939607
9,647,-119.04284513,123.23,28,18432,0.008618764,425.3082774400711,0.9533400535583496,80,284.976318359375,-0.005601763725280762,0.2,0.0003,0.036181640625,-0.0046585922915255654,-2.7549865804612637
10,644,-103.89144568,125.08,31,20480,0.010008215,480.28219709396365,0.9505338668823242,90,158.06863403320312,-0.0003870725631713867,0.2,0.0003,0.06953125,-0.008072776895278366,-2.7386920541524886
11,643,-84.17456642999997,128.92,35,22528,0.008990306,261.24976840019224,0.9556196928024292,100,113.9698486328125,5.4895877838134766e-05,0.2,0.0003,0.036181640625,-0.005715710685763042,-2.7390728048980235
12,641,-77.82335348999999,141.21,38,24576,0.007858099,479.6323118209839,0.9509524703025818,110,256.97540283203125,-0.03532218933105469,0.2,0.0003,0.026611328125,-0.004510177745396504,-2.7436428271234035
13,640,-71.10498539,142.86,41,26624,0.0073054004,454.11376490592954,0.9556653499603271,120,274.7811279296875,0.0007684826850891113,0.2,0.0003,0.05498046875,-0.008288420226017479,-2.7405962981283665
14,638,-66.05657615,158.47,44,28672,0.0062151975,231.34307956695557,0.9444410800933838,130,136.30999755859375,-0.000565648078918457,0.2,0.0003,0.04150390625,-0.005032598314937786,-2.73978805243969
15,637,-66.47711605,178.49,48,30720,0.005100102,283.65511391162875,0.9412091970443726,140,115.05667114257812,-0.10684037208557129,0.2,0.0003,0.02021484375,-0.00411721352575114,-2.7217769362032413
16,636,-67.65281942,191.12,51,32768,0.0077294586,216.50005571842195,0.9326300621032715,150,132.21337890625,0.001957237720489502,0.2,0.0003,0.0755859375,-0.007406930465367623,-2.704467690736055
17,636,-64.39123799,201.98,54,34816,0.0036947583,292.64970541000366,0.9306939244270325,160,122.46055603027344,-0.07676136493682861,0.2,0.0003,0.018701171875,-0.0034068464345182294,-2.695306222885847
18,635,-61.405060950000006,221.18,58,36864,0.006428418,211.2985407114029,0.9346439242362976,170,74.8324966430664,0.2456141710281372,0.2,0.0003,0.062255859375,-0.009257353648717982,-2.6974157273769377
19,634,-61.77851619999999,234.85,61,38912,0.0046524443,259.8597438812256,0.9312455058097839,180,198.03338623046875,0.0045348405838012695,0.2,0.0003,0.024365234375,-0.004467594774177996,-2.6984805427491665
20,633,-62.15224072,244.09,64,40960,0.0028412805,187.40334799289704,0.9355249404907227,190,103.79730224609375,0.36980485916137695,0.2,0.0003,0.015966796875,-0.005720544312498532,-2.6985430233180523
21,631,-54.85650533,261.8,68,43008,0.009922749,68.19646357297897,0.9333007335662842,200,22.53238296508789,0.6153849959373474,0.2,0.0003,0.085302734375,-0.009367546319845132,-2.701834700256586
22,631,-55.516856680000004,274.33,71,45056,0.003154478,129.04739753007888,0.92930006980896,210,29.598888397216797,0.4702315926551819,0.2,0.0003,0.031787109375,-0.004355490477610147,-2.6955779299139975
23,630,-50.88270151999999,293.28,74,47104,0.010626929,80.35085326433182,0.9239954948425293,220,72.38480377197266,0.5548409819602966,0.2,0.0003,0.10478515625,-0.00692717552810791,-2.6859815500676634
24,630,-45.95457452999999,310.1,77,49152,0.00797831,75.68857743144035,0.9072349071502686,230,12.86815071105957,0.6806083023548126,0.2,0.0003,0.08203125,-0.007010141415230464,-2.6600919738411903
25,629,-42.58343119999999,326.82,81,51200,0.011292382,28.606112143397333,0.8743046522140503,240,16.188020706176758,0.8457409739494324,0.2,0.0003,0.100732421875,-0.0077740021341014655,-2.6013368614017964
26,628,-39.38804399,344.45,84,53248,0.007995255,21.09543787688017,0.8715737462043762,250,7.925710678100586,0.8949629291892052,0.2,0.0003,0.081982421875,-0.0034980065145646224,-2.566307833790779
27,628,-37.426493549999996,362.12,88,55296,0.010888161,20.255662514269353,0.8615677356719971,260,7.301537036895752,0.9116159677505493,0.2,0.0003,0.092724609375,-0.007962293809396215,-2.554169441759586
28,627,-35.94180032,381.34,91,57344,0.008318974,28.030030637979507,0.8595380783081055,270,5.954522132873535,0.8121774196624756,0.2,0.0003,0.0822265625,-0.006923001612449298,-2.53589548766613
29,627,-33.55349909999999,399.95,94,59392,0.009683412,63.32356367260218,0.8526924848556519,280,7.98777961730957,0.7780081927776337,0.2,0.0003,0.079052734375,-0.007695523771690205,-2.5263387732207776
30,626,-32.71561981,418.51,98,61440,0.005862115,68.90550473034382,0.8468714356422424,290,15.010388374328613,0.7365177571773529,0.2,0.0003,0.07939453125,-0.005676940237754025,-2.5114339865744113
31,626,-33.904257120000004,427.82,101,63488,0.007371581,74.47914776802062,0.8354271650314331,300,63.131858825683594,0.7256941199302673,0.2,0.0003,0.103759765625,-0.009516099207394291,-2.493170703202486
32,626,-31.93933755,445.62,104,65536,0.0038398698,163.22608486413955,0.8278357982635498,310,24.02721405029297,0.7389346063137054,0.2,0.0003,0.047216796875,-0.004824030978488736,-2.46683661788702
33,626,-33.497201000000004,460.25,107,67584,0.011152411,18.566631315648557,0.8249702453613281,320,11.731219291687012,0.8921293616294861,0.2,0.0003,0.101953125,-0.0060176081060490105,-2.45407071262598
34,625,-30.27134445,478.48,111,69632,0.004558592,103.06907880604267,0.82820725440979,330,10.204048156738281,0.6191819608211517,0.2,0.0003,0.0470703125,-0.003923290849343175,-2.4560721442103386
35,625,-32.22973654,496.47,114,71680,0.0075044334,82.57475858330727,0.8220623731613159,340,26.615800857543945,0.6535350680351257,0.2,0.0003,0.08642578125,-0.00518222687242087,-2.4513499304652213
36,625,-30.045326119999995,513.54,117,73728,0.007842924,148.91969199180602,0.8284575939178467,350,32.676734924316406,0.5033454895019531,0.2,0.0003,0.07001953125,-0.008637638081563637,-2.452073472738266
37,625,-29.423287629999994,530.51,121,75776,0.007141387,27.335515943169593,0.8142510652542114,360,16.53834342956543,0.7965265512466431,0.2,0.0003,0.068115234375,-0.00476040531284525,-2.43897625207901
38,625,-25.61406337,542.5,124,77824,0.0065288674,29.993926179409026,0.8051708936691284,370,14.482550621032715,0.7824192643165588,0.2,0.0003,0.080908203125,-0.0043109582373290324,-2.4128856517374517
39,625,-25.470814940000004,559.65,127,79872,0.010329919,13.021345414221287,0.7879692316055298,380,5.541653156280518,0.7636567801237106,0.2,0.0003,0.105078125,-0.008967382066475692,-2.3753679051995276
40,624,-23.81992675,571.54,131,81920,0.013467745,14.823698109388351,0.7652453780174255,390,11.2235107421875,0.5599282383918762,0.2,0.0003,0.107861328125,-0.007675700573599897,-2.317411571741104
41,624,-26.1185593,588.74,134,83968,0.005954248,63.22304468899965,0.7640763521194458,400,17.559053421020508,0.6478272974491119,0.2,0.0003,0.04580078125,-0.0035292165950522756,-2.2944565400481225
