time/episodes,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,train/approx_kl,train/value_loss,train/std,train/n_updates,train/loss,train/explained_variance,train/clip_range,train/learning_rate,train/clip_fraction,train/policy_gradient_loss,train/entropy_loss
1,1085,-295.3671679444444,110.94444444444444,1,2048,,,,,,,,,,,
2,801,-288.65879108571426,114.11428571428571,5,4096,0.0047074207,2653.116993713379,1.0039162635803223,10,1300.921142578125,-0.0017589330673217773,0.2,0.0003,0.02802734375,-0.004306043589895126,-2.8418273143470287
3,738,-266.2252892941176,118.7843137254902,8,6144,0.004447864,2089.788486480713,0.9998267889022827,20,913.695556640625,-0.007115960121154785,0.2,0.0003,0.031640625,-0.005160592990796431,-2.8412505351006985
4,708,-233.04243211764702,120.05882352941177,11,8192,0.006549486,851.7179443359375,1.016158938407898,30,463.2138366699219,-0.0038295984268188477,0.2,0.0003,0.053466796875,-0.007987528979720082,-2.8509739860892296
5,690,-212.23450270588236,119.41176470588235,14,10240,0.0056543467,631.3300089836121,1.0013399124145508,40,256.5699462890625,-0.002426624298095703,0.2,0.0003,0.054833984375,-0.00437468118761899,-2.847179062664509
6,680,-204.43170236999995,121.03,18,12288,0.005165369,433.6992091178894,1.0069578886032104,50,145.27976989746094,-0.0032655000686645508,0.2,0.0003,0.0427734375,-0.005724444639054127,-2.84030646905303
7,672,-180.40592997000005,124.39,21,14336,0.0066785114,411.397425365448,1.003774881362915,60,214.3928680419922,-0.006379485130310059,0.2,0.0003,0.045361328125,-0.0026773553086968604,-2.851108415424824
8,666,-141.06325625000002,122.76,24,16384,0.010764606,555.7500555515289,0.9976013898849487,70,222.20697021484375,-0.00021970272064208984,0.2,0.0003,0.054833984375,-0.005568761697213631,-2.8420067451894284
9,659,-123.5004248,123.1,27,18432,0.006842869,312.34515488147736,0.9891500473022461,80,147.00559997558594,-0.000697016716003418,0.2,0.0003,0.057080078125,-0.0064190140619757585,-2.8243460841476917
10,656,-114.58198155000002,132.87,31,20480,0.0056260834,349.4428971767426,0.9882699847221375,90,238.03977966308594,-0.003683805465698242,0.2,0.0003,0.0453125,-0.00408980659849476,-2.8145025476813315
11,653,-108.72546095,144.96,34,22528,0.0035094023,230.1771224975586,0.9822222590446472,100,91.67768096923828,0.001784980297088623,0.2,0.0003,0.003076171875,-0.001674125354111311,-2.810350328683853
12,651,-99.76895998,150.74,37,24576,0.0049131294,217.46700897216797,0.9765410423278809,110,103.42548370361328,-0.005341649055480957,0.2,0.0003,0.027685546875,-0.006170583855964651,-2.795814549177885
13,649,-90.73608305000002,163.83,41,26624,0.00612501,262.6186990737915,0.9745732545852661,120,151.9950714111328,-0.03837180137634277,0.2,0.0003,0.041943359375,-0.005135056829749374,-2.7885230377316477
14,648,-79.36151586000001,175.37,44,28672,0.006062613,128.11167814731598,0.9664556980133057,130,55.79372024536133,0.3208085298538208,0.2,0.0003,0.034228515625,-0.005975575408228906,-2.77739242836833
15,647,-73.88275142999998,179.34,47,30720,0.003315758,191.45795912742614,0.9615315198898315,140,99.84628295898438,0.390549898147583,0.2,0.0003,0.0177734375,-0.005328355084930081,-2.763653511554003
16,645,-68.66235200000001,200.68,50,32768,0.0073191863,181.36992411613465,0.9583057165145874,150,42.607112884521484,0.5310904681682587,0.2,0.0003,0.060107421875,-0.00871282268417417,-2.756561545282602
17,644,-63.917015070000005,219.0,54,34816,0.005614207,177.82853821516036,0.9594380855560303,160,94.82638549804688,0.5752477645874023,0.2,0.0003,0.051806640625,-0.006596322090626927,-2.753767675161362
18,643,-56.989255830000005,233.45,57,36864,0.008497082,70.50566567182541,0.9645602703094482,170,20.4354305267334,0.7507900148630142,0.2,0.0003,0.081103515625,-0.00776799069280969,-2.7616829335689546
19,642,-53.14380257,251.44,60,38912,0.0062236004,107.50212086439133,0.9533690810203552,180,49.140357971191406,0.6873689591884613,0.2,0.0003,0.043212890625,-0.004734280315460637,-2.755531982332468
20,641,-50.270270370000006,271.12,63,40960,0.005697863,32.026809704303744,0.9409128427505493,190,19.467988967895508,0.8773887902498245,0.2,0.0003,0.067431640625,-0.0067717482161242515,-2.730229412019253
21,640,-45.60429005000001,288.47,67,43008,0.007812531,85.76273832321166,0.9300277233123779,200,12.212438583374023,0.6340465247631073,0.2,0.0003,0.06259765625,-0.006196719818399287,-2.7023238517343997
22,640,-39.648647130000015,305.68,70,45056,0.006125865,29.74061362147331,0.9229086637496948,210,10.027582168579102,0.8819691985845566,0.2,0.0003,0.079541015625,-0.0053456992478459146,-2.6829748928546904
23,639,-37.27267693000001,323.66,73,47104,0.008516616,24.494706410169602,0.910464882850647,220,15.391460418701172,0.8850566819310188,0.2,0.0003,0.09736328125,-0.008249995343794581,-2.659170299768448
24,638,-36.99139729000001,341.32,76,49152,0.00624065,34.79138733148575,0.9111146926879883,230,12.20332145690918,0.7537270784378052,0.2,0.0003,0.07236328125,-0.004912919287016848,-2.6504666402935984
25,638,-34.03318507,359.27,80,51200,0.007951977,32.89574768543243,0.896574854850769,240,18.432769775390625,0.6596736013889313,0.2,0.0003,0.060302734375,-0.005400619389547501,-2.6303624860942363
26,637,-29.342578630000002,377.05,83,53248,0.0044368627,22.598632077872754,0.8912047147750854,250,10.330562591552734,0.8193325251340866,0.2,0.0003,0.059521484375,-0.003994888626039028,-2.610587141662836
27,636,-28.504761509999998,395.29,86,55296,0.010016131,21.199123603105544,0.8744556903839111,260,4.191726207733154,0.8439293950796127,0.2,0.0003,0.10068359375,-0.00964647624787176,-2.587431975454092
28,636,-26.944442239999997,413.84,90,57344,0.006485763,17.602837286889553,0.8660036325454712,270,6.834181785583496,0.8069001585245132,0.2,0.0003,0.098583984375,-0.005878184313769452,-2.559275510162115
29,635,-24.97944909,430.77,93,59392,0.0062888353,19.953562043607235,0.8509629964828491,280,4.474273681640625,0.716289609670639,0.2,0.0003,0.055712890625,-0.006479407727601938,-2.531266348809004
30,635,-25.221188270000006,445.76,96,61440,0.00465202,71.29186103343963,0.8498703837394714,290,22.1835880279541,0.37090444564819336,0.2,0.0003,0.0484375,-0.004499155923258513,-2.5130328111350537
31,635,-22.591909130000005,462.99,99,63488,0.0084051015,46.472862514853475,0.8398983478546143,300,28.82864761352539,0.559384286403656,0.2,0.0003,0.0697265625,-0.002979644677543547,-2.4957898780703545
32,634,-20.239717260000003,486.02,103,65536,0.0066760937,8.408192674070596,0.8268346786499023,310,3.2722928524017334,0.9143146872520447,0.2,0.0003,0.083935546875,-0.0026578491437248886,-2.4728971742093564
33,634,-18.077445120000004,496.78,106,67584,0.0063691908,45.92751324176788,0.8259508013725281,320,15.834881782531738,0.6044428944587708,0.2,0.0003,0.043701171875,-0.007493330027500633,-2.454906578361988
34,634,-16.368032710000005,514.79,109,69632,0.0055305334,89.8860784381628,0.8188626766204834,330,9.44771671295166,0.3683898448944092,0.2,0.0003,0.034765625,-0.001856018483522348,-2.447006618231535
