episode_num,cumulative_reward,mean_reward,cumulative_reward_energy_term,mean_reward_energy_term,cumulative_reward_comfort_term,mean_reward_comfort_term,cumulative_abs_energy_penalty,mean_abs_energy_penalty,cumulative_abs_comfort_penalty,mean_abs_comfort_penalty,cumulative_power_demand,mean_power_demand,cumulative_temperature_violation,mean_temperature_violation,comfort_violation_time (%),length (timesteps),time_elapsed (hours)
1,-7740.086780531348,-0.22089288757224168,-4381.643003543289,-0.12504688937052763,-3358.4437769880597,-0.09584599820171404,-87632860.07086577,-2500.9377874105526,-6716.887553976119,-0.19169199640342807,87632860.07086577,2500.9377874105526,6716.887553976119,0.19169199640342807,23.495334037270627,35041,8760.0
2,-9056.56531598062,-0.25846362203141043,-4158.149528389749,-0.11866865092436499,-4898.415787590871,-0.13979497110704542,-83162990.56779498,-2373.3730184872998,-9796.831575181743,-0.27958994221409084,83162990.56779498,2373.3730184872998,9796.831575181743,0.27958994221409084,27.9073085813761,35041,8760.0
3,-6714.279331759226,-0.19161756083787745,-4314.519728210372,-0.12313127078225947,-2399.759603548854,-0.06848629005561799,-86290394.56420743,-2462.625415645189,-4799.519207097708,-0.13697258011123598,86290394.56420743,2462.625415645189,4799.519207097708,0.13697258011123598,18.992037898461803,35041,8760.0
4,-5612.240832010904,-0.1601712615089159,-4465.503239653354,-0.1274437980437043,-1146.7375923575503,-0.03272746346521163,-89310064.79306707,-2548.875960874085,-2293.4751847151006,-0.06545492693042326,89310064.79306707,2548.875960874085,2293.4751847151006,0.06545492693042326,12.771118721461185,35040,8759.75
5,-5407.705267888787,-0.15432948823883524,-4597.832769210801,-0.13121668861902971,-809.8724986779864,-0.023112799619805547,-91956655.38421601,-2624.333772380594,-1619.7449973559728,-0.046225599239611094,91956655.38421601,2624.333772380594,1619.7449973559728,0.046225599239611094,10.133843212237094,35041,8760.05
6,-5356.371080615529,-0.15286447147875368,-4601.012313484684,-0.1313074290378049,-755.3587671308435,-0.02155704244094873,-92020246.26969369,-2626.1485807560985,-1510.717534261687,-0.04311408488189746,92020246.26969369,2626.1485807560985,1510.717534261687,0.04311408488189746,9.257726663051853,35041,8760.041666666666
7,-5237.445492380193,-0.14947047638071329,-4632.409515075108,-0.13220346789597912,-605.0359773050853,-0.01726700848473417,-92648190.30150215,-2644.069357919582,-1210.0719546101707,-0.03453401696946834,92648190.30150215,2644.069357919582,1210.0719546101707,0.03453401696946834,8.156159926942724,35041,8760.083333333334
8,-5157.734107632797,-0.1471956080945433,-4535.652888287606,-0.12944214863834494,-622.0812193451914,-0.017753459456198384,-90713057.7657521,-2588.842972766898,-1244.1624386903827,-0.03550691891239677,90713057.7657521,2588.842972766898,1244.1624386903827,0.03550691891239677,8.221797323135755,35041,8760.0
