train/critic_loss,rollout/ep_rew_mean,time/total_timesteps,train/learning_rate,time/episodes,time/time_elapsed,rollout/ep_len_mean,train/actor_loss,time/fps,train/n_updates
17.307376861572266,-515.8082035,341,0.001,4,4,85.25,4.428472518920898,75,240
30.553955078125,-686.780628625,763,0.001,8,11,95.375,15.446388244628906,63,662
16.586708068847656,-724.5139594166666,1177,0.001,12,19,98.08333333333333,25.189754486083984,59,1076
3.8300647735595703,-773.175049125,1697,0.001,16,29,106.0625,39.071327209472656,57,1596
8.944551467895508,-772.6657293000001,2202,0.001,20,39,110.1,54.75921630859375,56,2101
7.466682434082031,-742.4342627083333,2611,0.001,24,46,108.79166666666667,49.968589782714844,55,2510
44.86460876464844,-654.5805823928573,2859,0.001,28,51,102.10714285714286,37.64557647705078,55,2758
21.379173278808594,-584.19118878125,3134,0.001,32,56,97.9375,22.32090187072754,55,3033
7.199586868286133,-533.2664758055557,3436,0.001,36,62,95.44444444444444,27.99141502380371,54,3335
11.604276657104492,-497.14131555000006,3716,0.001,40,67,92.9,20.541940689086914,54,3615
126.9518814086914,-463.17063375000004,4012,0.001,44,73,91.18181818181819,19.11812973022461,54,3911
149.7628173828125,-445.3101950416667,5277,0.001,48,97,109.9375,11.773868560791016,53,5176
79.50167083740234,-426.8975989615385,6463,0.001,52,120,124.28846153846153,-4.318482398986816,53,6362
4.505833625793457,-403.96976689285714,7135,0.001,56,133,127.41071428571429,-2.392849922180176,53,7034
3.5087714195251465,-381.2633539833334,9116,0.001,60,171,151.93333333333334,-15.916285514831543,53,9015
29.653459548950195,-371.5154719375,10634,0.001,64,199,166.15625,-30.404203414916992,53,10533
4.560647964477539,-357.7223843970589,11635,0.001,68,218,171.10294117647058,-38.62556076049805,53,11534
9.199666023254395,-344.95571093055554,12531,0.001,72,235,174.04166666666666,-43.80406951904297,53,12430
14.316579818725586,-334.2094970526316,13236,0.001,76,248,174.1578947368421,-48.752647399902344,53,13135
19.195512771606445,-322.7820525625,13895,0.001,80,260,173.6875,-51.1506462097168,53,13794
84.46321868896484,-315.31733178571426,14864,0.001,84,279,176.95238095238096,-51.94050598144531,53,14763
25.894363403320312,-308.17862346590914,16604,0.001,88,312,188.6818181818182,-58.054813385009766,53,16503
190.02978515625,-299.96692275,18056,0.001,92,339,196.2608695652174,-63.305606842041016,53,17955
37.79544448852539,-292.40322134375,20553,0.001,96,387,214.09375,-82.4593276977539,53,20452
57.26837158203125,-287.53238374,21899,0.001,100,412,218.99,-95.5004653930664,53,21798
130.7816162109375,-277.20071535,23112,0.001,104,435,227.71,-102.83989715576172,53,23011
32.66194534301758,-251.52867186000003,24936,0.001,108,470,241.73,-107.09367370605469,52,24835
26.16169548034668,-228.59932727000003,26869,0.001,112,507,256.92,-111.9535140991211,52,26768
95.41744232177734,-196.99950649000002,27675,0.001,116,522,259.78,-116.01231384277344,52,27574
37.56822967529297,-169.05817493000004,28836,0.001,120,545,266.34,-125.85625457763672,52,28735
57.05107116699219,-146.67701953999997,29596,0.001,124,559,269.85,-130.7758026123047,52,29495
25.424829483032227,-144.91882800000002,31144,0.001,128,588,282.85,-136.64120483398438,52,31043
48.676414489746094,-144.91069554999999,32644,0.001,132,616,295.1,-150.78323364257812,52,32543
76.66108703613281,-143.13309958,34159,0.001,136,645,307.23,-163.51597595214844,52,34058
944.3911743164062,-139.22550939,34495,0.001,140,651,307.79,-157.96710205078125,52,34394
153.5819091796875,-138.10797172999997,35621,0.001,144,672,316.09,-174.7156982421875,52,35520
115.34899139404297,-131.96385994000002,37295,0.001,148,704,320.18,-186.0640411376953,52,37194
261.8110046386719,-125.83083925,39526,0.001,152,747,330.63,-185.8386688232422,52,39425
31.376312255859375,-123.23395153999998,41017,0.001,156,776,338.82,-206.24073791503906,52,40916
54.623809814453125,-128.44442108,42169,0.001,160,799,330.53,-195.0939178466797,52,42068
46.75041198730469,-127.14009550000003,43126,0.001,164,818,324.92,-193.74972534179688,52,43025
46.80373001098633,-127.51073100000002,44586,0.001,168,846,329.51,-207.28408813476562,52,44485
97.04132080078125,-126.71428567,45372,0.001,172,861,328.41,-203.0673370361328,52,45271
79.7896499633789,-128.78732667999998,47176,0.001,176,896,339.4,-228.03427124023438,52,47075
71.1148910522461,-127.40753269000001,47676,0.001,180,906,337.81,-216.41993713378906,52,47575
73.0115737915039,-128.28528347,49064,0.001,184,934,342.0,-228.5522918701172,52,48963
465.52020263671875,-130.23859092,49730,0.001,188,947,331.26,-229.56227111816406,52,49629
96.78474426269531,-128.97843443,50012,0.001,192,953,319.56,-234.23779296875,52,49911
64.73251342773438,-131.10309686,50442,0.001,196,961,298.89,-228.2147216796875,52,50341
189.4365234375,-128.46157712000002,51028,0.001,200,973,291.29,-223.52908325195312,52,50927
51.86849594116211,-124.13595888999998,51439,0.001,204,981,283.27,-229.85403442382812,52,51338
36.2390022277832,-122.2827383,51963,0.001,208,991,270.27,-222.4870147705078,52,51862
43.00031661987305,-122.49954589999999,52509,0.001,212,1002,256.4,-224.93765258789062,52,52408
128.97799682617188,-122.70303365,53150,0.001,216,1015,254.75,-231.74908447265625,52,53049
46.70996856689453,-123.34042512000002,53626,0.001,220,1025,247.9,-226.02613830566406,52,53525
358.3176574707031,-123.65050707,53977,0.001,224,1032,243.81,-220.08316040039062,52,53876
169.99241638183594,-128.82397534999998,54806,0.001,228,1048,236.62,-220.3009490966797,52,54705
42.367393493652344,-128.22756772,55473,0.001,232,1062,228.29,-220.94349670410156,52,55372
