time/episodes,time/total_timesteps,train/critic_loss,train/n_updates,rollout/ep_rew_mean,time/time_elapsed,time/fps,train/learning_rate,rollout/ep_len_mean,train/actor_loss
272,45953,50.1791877746582,45852,-144.63293105,881,52,0.001,189.32,-106.96395111083984
276,46821,342.2626953125,46720,-143.98020925999998,898,52,0.001,190.66,-111.46820068359375
280,47352,78.64356994628906,47251,-142.98257743,908,52,0.001,190.51,-118.83888244628906
284,47900,81.98593139648438,47799,-142.39486730000002,919,52,0.001,186.6,-113.39210510253906
288,48433,126.6483154296875,48332,-144.17056417,929,52,0.001,182.43,-116.59994506835938
292,48874,64.16663360595703,48773,-145.3517433,938,52,0.001,180.51,-122.68490600585938
296,49358,29.653736114501953,49257,-144.48908713999998,948,52,0.001,178.79,-125.38372802734375
300,50024,32.8719596862793,49923,-145.11776521,961,52,0.001,175.75,-118.0219955444336
304,51050,57.359703063964844,50949,-149.72949066,981,52,0.001,179.36,-124.98316955566406
308,51554,32.63042449951172,51453,-147.48211692,991,51,0.001,178.71,-122.72737121582031
312,52168,96.26361846923828,52067,-144.49525312,1003,51,0.001,179.88,-123.84828186035156
316,53245,82.14253234863281,53144,-143.49862399000003,1025,51,0.001,181.15,-130.59483337402344
320,54072,74.70016479492188,53971,-138.93255140000002,1041,51,0.001,182.6,-130.7118377685547
324,54784,50.395484924316406,54683,-133.00276076,1055,51,0.001,184.42,-134.08963012695312
328,55898,379.5756530761719,55797,-128.53564477,1077,51,0.001,190.54,-132.65402221679688
332,56636,129.56112670898438,56535,-125.55857468,1092,51,0.001,189.31,-127.6840591430664
336,58151,132.72821044921875,58050,-125.93408566,1124,51,0.001,197.43,-139.04026794433594
340,59140,65.93463897705078,59039,-131.87974898,1146,51,0.001,201.52,-138.07736206054688
344,59937,53.6376838684082,59836,-135.90684612999996,1164,51,0.001,201.37,-136.34884643554688
348,60486,100.01817321777344,60385,-132.37862887,1176,51,0.001,194.31,-139.2598419189453
352,62031,115.99372863769531,61930,-132.52238769000002,1210,51,0.001,201.8,-143.360107421875
356,63944,43.63733673095703,63843,-133.58222745,1251,51,0.001,213.94,-143.2169189453125
360,64831,226.9247283935547,64730,-131.43737188,1269,51,0.001,214.08,-148.33248901367188
364,65647,138.24293518066406,65546,-133.09924517999997,1287,51,0.001,213.51,-136.37405395507812
368,66518,39.93684768676758,66417,-135.18504643,1305,50,0.001,214.69,-151.55064392089844
372,67510,25.972408294677734,67409,-135.56979281000002,1327,50,0.001,215.57,-145.0795135498047
376,68437,143.3168487548828,68336,-135.10220729,1347,50,0.001,216.16,-146.0043487548828
380,68944,90.12712097167969,68843,-136.31181840000002,1358,50,0.001,215.92,-142.51657104492188
384,69841,33.93687438964844,69740,-139.78024154,1377,50,0.001,219.41,-143.68951416015625
388,70431,254.45660400390625,70330,-137.85273974,1391,50,0.001,219.98,-145.5895538330078
392,71171,79.45729064941406,71070,-137.68247141999998,1407,50,0.001,222.97,-147.05697631835938
396,72185,105.92379760742188,72084,-139.74278818,1430,50,0.001,228.27,-143.5166778564453
400,72835,106.88622283935547,72734,-139.82806698,1445,50,0.001,228.11,-148.56105041503906
404,73608,161.97366333007812,73507,-132.40127859999998,1463,50,0.001,225.58,-148.07806396484375
408,74336,40.97795104980469,74235,-131.17413406000003,1480,50,0.001,227.82,-147.2386932373047
412,74976,104.31466674804688,74875,-131.87561196000001,1495,50,0.001,228.08,-144.41065979003906
416,75527,64.93257904052734,75426,-125.59733506,1508,50,0.001,222.82,-148.5316162109375
420,76320,36.3466911315918,76219,-125.70740518000002,1526,49,0.001,222.48,-150.69296264648438
424,77049,32.73049545288086,76948,-121.77320802000003,1543,49,0.001,222.65,-152.10446166992188
428,78234,18.277851104736328,78133,-116.41679802,1571,49,0.001,223.36,-153.1864471435547
432,78585,68.47496032714844,78484,-113.80943791000001,1580,49,0.001,219.49,-146.60501098632812
436,79041,65.10430145263672,78940,-107.6037698,1590,49,0.001,208.9,-142.8121795654297
440,79551,229.5334014892578,79450,-101.56698691000001,1603,49,0.001,204.11,-148.34793090820312
444,80029,51.637977600097656,79928,-93.87784149999999,1614,49,0.001,200.92,-148.33181762695312
448,81281,69.17315673828125,81180,-96.82239608,1644,49,0.001,207.95,-148.04180908203125
452,82168,82.48028564453125,82067,-92.01290298000002,1665,49,0.001,201.37,-148.4600830078125
456,82947,82.5717544555664,82846,-85.82701774000002,1684,49,0.001,190.03,-149.5568084716797
460,84326,83.37409973144531,84225,-85.60062465000001,1718,49,0.001,194.95,-159.7926483154297
464,85509,416.0148010253906,85408,-78.35491603,1746,48,0.001,198.62,-147.48838806152344
468,86619,320.99566650390625,86518,-73.8983179,1773,48,0.001,201.01,-163.74501037597656
472,87277,46.13274002075195,87176,-72.82991637,1789,48,0.001,197.67,-160.32516479492188
476,87787,45.0844612121582,87686,-69.69883736000001,1802,48,0.001,193.5,-154.803466796875
480,88665,134.00157165527344,88564,-69.35177629,1823,48,0.001,197.21,-160.92230224609375
484,89366,56.884761810302734,89265,-70.68933431999999,1840,48,0.001,195.25,-157.48167419433594
488,89860,147.35369873046875,89759,-70.30238919000001,1852,48,0.001,194.29,-153.2960968017578
492,90655,528.236328125,90554,-74.96266831,1872,48,0.001,194.84,-160.16256713867188
496,91580,266.39208984375,91479,-76.86996233999999,1894,48,0.001,193.95,-153.093505859375
500,92289,195.69786071777344,92188,-76.70803572000001,1912,48,0.001,194.54,-155.9358367919922
504,92660,490.90228271484375,92559,-82.29832645999998,1921,48,0.001,190.52,-160.67190551757812
508,93302,87.99303436279297,93201,-86.94521071999999,1936,48,0.001,189.66,-163.1100616455078
512,93698,87.50201416015625,93597,-87.21898827999999,1946,48,0.001,187.22,-158.8729248046875
516,94184,193.388671875,94083,-88.80785651999997,1958,48,0.001,186.57,-167.3465576171875
520,94894,179.1509246826172,94793,-91.95588862000001,1976,48,0.001,185.74,-159.26187133789062
524,96255,154.81497192382812,96154,-96.7735753,2010,47,0.001,192.06,-162.4523468017578
528,97426,117.217041015625,97325,-105.25044023000001,2039,47,0.001,191.92,-163.005126953125
532,98164,90.30526733398438,98063,-114.27136524,2057,47,0.001,195.79,-159.02418518066406
536,99173,91.0283432006836,99072,-114.85853605,2082,47,0.001,201.32,-157.4012451171875
540,99793,65.9981689453125,99692,-115.93114601,2097,47,0.001,202.42,-156.00428771972656
544,100793,386.0193786621094,100692,-119.71422252,2122,47,0.001,207.64,-158.61068725585938
548,101756,62.87076950073242,101655,-113.76489627000001,2146,47,0.001,204.75,-151.43284606933594
552,102503,49.31748962402344,102402,-111.73480102000002,2165,47,0.001,203.35,-154.40878295898438
556,103085,152.81439208984375,102984,-115.91629903,2179,47,0.001,201.38,-153.64620971679688
560,103631,420.94000244140625,103530,-115.35543408000001,2193,47,0.001,193.05,-142.7342071533203
564,104470,182.6189727783203,104369,-116.07372358,2213,47,0.001,189.61,-156.02438354492188
568,105361,76.19805908203125,105260,-115.64654945000001,2235,47,0.001,187.42,-149.78512573242188
572,106303,77.41158294677734,106202,-117.12716033999999,2259,47,0.001,190.26,-148.46066284179688
576,107115,105.901123046875,107014,-120.53893197,2279,46,0.001,193.28,-153.7793731689453
580,108260,96.17971801757812,108159,-122.05413595000002,2307,46,0.001,195.95,-157.02154541015625
584,108745,118.2468490600586,108644,-122.40734361000001,2319,46,0.001,193.79,-157.85537719726562
588,109302,181.52304077148438,109201,-125.18399291,2333,46,0.001,194.42,-168.09820556640625
592,110229,53.029544830322266,110128,-123.08022848,2357,46,0.001,195.74,-155.59454345703125
596,111120,85.18852996826172,111019,-121.04053137000002,2379,46,0.001,195.4,-160.45501708984375
600,112049,91.62630462646484,111948,-122.34578991000001,2402,46,0.001,197.6,-165.28848266601562
604,113084,125.11903381347656,112983,-122.87047939000001,2428,46,0.001,204.24,-162.91493225097656
608,114171,90.63374328613281,114070,-127.72013331,2456,46,0.001,208.69,-170.7334747314453
612,115158,160.44947814941406,115057,-128.08869807000002,2481,46,0.001,214.6,-156.35768127441406
616,115779,117.71221923828125,115678,-128.73758109,2496,46,0.001,215.95,-166.20315551757812
620,116849,79.89334869384766,116748,-131.12887921000004,2523,46,0.001,219.55,-161.8553466796875
624,117580,116.53327178955078,117479,-131.52070045,2542,46,0.001,213.25,-157.66531372070312
628,119004,62.7565803527832,118903,-132.13512843,2578,46,0.001,215.78,-169.24461364746094
632,119767,212.2007598876953,119666,-127.82331018999999,2597,46,0.001,216.03,-157.78526306152344
636,120465,129.76272583007812,120364,-132.8999032,2614,46,0.001,212.92,-151.7613525390625
640,121004,226.04669189453125,120903,-133.36170152,2628,46,0.001,212.11,-155.5334930419922
644,121795,101.92240142822266,121694,-131.66936562000004,2648,45,0.001,210.02,-151.64881896972656
648,122931,187.2323760986328,122830,-132.30133995,2677,45,0.001,211.75,-158.32643127441406
652,124052,55.945858001708984,123951,-135.79573317,2706,45,0.001,215.49,-160.62945556640625
656,124626,138.65707397460938,124525,-132.26289303000001,2720,45,0.001,215.41,-148.34498596191406
660,125647,125.39154052734375,125546,-135.82147235999997,2746,45,0.001,220.16,-154.54469299316406
664,126219,52.51043701171875,126118,-140.216886,2760,45,0.001,217.49,-151.52023315429688
668,127515,55.51704788208008,127414,-146.04644395000003,2793,45,0.001,221.54,-157.09434509277344
672,128559,48.47566223144531,128458,-144.75328585,2819,45,0.001,222.56,-147.85121154785156
676,129405,120.81996154785156,129304,-145.85158898,2841,45,0.001,222.9,-165.4822998046875
680,130196,161.49195861816406,130095,-145.44761523999998,2860,45,0.001,219.36,-158.93450927734375
684,131284,56.8538932800293,131183,-136.40268645,2888,45,0.001,225.39,-148.14512634277344
688,132311,17.334226608276367,132210,-138.26244928,2914,45,0.001,230.09,-151.27748107910156
692,133000,52.38508605957031,132899,-135.46396884,2932,45,0.001,227.71,-149.92977905273438
696,133846,37.517974853515625,133745,-136.01506641,2953,45,0.001,227.26,-146.25335693359375
700,134778,85.19544219970703,134677,-131.83838044,2977,45,0.001,227.29,-148.61337280273438
704,136223,68.62030029296875,136122,-129.36131718999997,3014,45,0.001,231.39,-148.21688842773438
708,137849,74.19709777832031,137748,-117.14691576999999,3055,45,0.001,236.78,-149.93505859375
712,139374,77.69642639160156,139273,-117.19523801999999,3094,45,0.001,242.16,-144.6505126953125
716,140884,77.29292297363281,140783,-119.96506233000002,3132,44,0.001,251.05,-137.94277954101562
720,142552,80.769287109375,142451,-117.93305093,3175,44,0.001,257.03,-135.70452880859375
724,143675,58.35426712036133,143574,-115.97054241999996,3203,44,0.001,260.95,-139.6363067626953
728,145300,38.25446319580078,145199,-113.87627296000001,3244,44,0.001,262.96,-134.0406494140625
732,146163,94.66881561279297,146062,-110.56911346999999,3266,44,0.001,263.96,-136.87132263183594
736,147494,63.41920471191406,147393,-110.31358500999998,3300,44,0.001,270.29,-134.46475219726562
740,148306,48.39262008666992,148205,-110.74253256,3320,44,0.001,273.02,-138.15599060058594
744,149010,37.354522705078125,148909,-113.61860512000001,3338,44,0.001,272.15,-134.49819946289062
748,149736,63.9017333984375,149635,-117.09877571999999,3357,44,0.001,268.05,-141.1541748046875
752,150658,92.71661376953125,150557,-117.64015330999999,3380,44,0.001,266.06,-139.3565673828125
756,151218,100.01753234863281,151117,-122.50436569,3394,44,0.001,265.92,-136.419921875
760,151798,35.12971496582031,151697,-118.16524925999997,3409,44,0.001,261.51,-131.91049194335938
764,152369,33.99346923828125,152268,-115.72441995999998,3423,44,0.001,261.5,-132.97552490234375
768,153469,53.9295768737793,153368,-120.30294275,3451,44,0.001,259.54,-125.21019744873047
772,154244,52.27616882324219,154143,-121.71091865999999,3471,44,0.001,256.85,-131.9062042236328
776,155287,118.9520034790039,155186,-116.23611860999999,3497,44,0.001,258.82,-126.48007202148438
780,157030,105.09516143798828,156929,-117.20112106999999,3542,44,0.001,268.34,-127.17442321777344
784,158084,125.38890075683594,157983,-121.54373467999999,3568,44,0.001,268.0,-127.46993255615234
788,159809,30.273883819580078,159708,-120.39815486999998,3612,44,0.001,274.98,-122.89300537109375
792,161081,160.48023986816406,160980,-124.74550611999999,3645,44,0.001,280.81,-129.63119506835938
796,163409,36.67230987548828,163308,-122.72579043999998,3704,44,0.001,295.63,-118.73384094238281
800,164338,86.9919662475586,164237,-123.42483531999999,3727,44,0.001,295.6,-120.94232177734375
804,165263,27.898719787597656,165162,-119.3828312,3751,44,0.001,290.4,-116.96788787841797
808,165892,270.4161682128906,165791,-121.46137432999998,3767,44,0.001,280.43,-123.49564361572266
812,167222,220.1753692626953,167121,-115.32137872,3801,43,0.001,278.48,-115.62588500976562
816,168768,185.257568359375,168667,-103.47856661,3840,43,0.001,278.84,-122.36190795898438
820,169552,92.21063232421875,169451,-108.53501079999998,3860,43,0.001,270.0,-115.66160583496094
824,170412,120.99054718017578,170311,-112.39591665,3882,43,0.001,267.37,-125.02542877197266
828,171209,47.442474365234375,171108,-108.29156141,3903,43,0.001,259.09,-122.3719253540039
832,171873,45.26546859741211,171772,-108.46172345000001,3919,43,0.001,257.1,-114.6741714477539
836,172749,117.05813598632812,172648,-105.06969589999999,3942,43,0.001,252.55,-114.30455017089844
840,173432,100.3860855102539,173331,-106.75698038999997,3959,43,0.001,251.26,-107.8109130859375
844,174139,177.9752960205078,174038,-104.39781502,3977,43,0.001,251.29,-115.47618103027344
848,175606,64.2472915649414,175505,-99.37718879999998,4015,43,0.001,258.7,-114.0021743774414
852,177605,67.66172790527344,177504,-101.37243857000001,4066,43,0.001,269.47,-111.30989837646484
856,178468,224.95445251464844,178367,-94.35335592999998,4088,43,0.001,272.5,-116.5915756225586
860,179771,46.34003829956055,179670,-90.47364169000001,4121,43,0.001,279.73,-109.02256774902344
864,180573,55.02452087402344,180472,-85.34414533999998,4142,43,0.001,282.04,-109.04280853271484
868,181926,228.95040893554688,181825,-80.49302447999999,4177,43,0.001,284.57,-106.25020599365234
872,182559,30.643573760986328,182458,-70.65283264,4193,43,0.001,283.15,-108.11050415039062
876,183494,36.88936996459961,183393,-67.46223762,4217,43,0.001,282.07,-102.54227447509766
880,183989,21.158817291259766,183888,-67.51013795,4230,43,0.001,269.59,-106.34684753417969
884,185387,60.698062896728516,185286,-61.370486880000016,4267,43,0.001,273.03,-102.253662109375
888,186136,134.89944458007812,186035,-53.76833299999999,4286,43,0.001,263.27,-107.6723861694336
892,187102,148.7429656982422,187001,-51.47946383000001,4311,43,0.001,260.21,-107.2767562866211
896,188543,39.87415313720703,188442,-48.30146209999998,4348,43,0.001,251.34,-106.52631378173828
900,190212,122.07173156738281,190111,-52.89176198,4391,43,0.001,258.74,-103.12850189208984
904,192276,21.669544219970703,192175,-53.21233257,4445,43,0.001,270.13,-102.61553955078125
908,193450,55.15906524658203,193349,-55.91663412,4475,43,0.001,275.58,-100.67704772949219
912,194636,78.652587890625,194535,-56.086814909999994,4506,43,0.001,274.14,-104.38658142089844
916,195254,98.38406372070312,195153,-60.55421505,4522,43,0.001,264.86,-103.7183837890625
920,197081,48.54180145263672,196980,-58.15627922999999,4569,43,0.001,275.29,-106.46520233154297
924,197777,20.38796615600586,197676,-55.13476024,4587,43,0.001,273.65,-108.97563171386719
928,198331,75.61188507080078,198230,-58.69338236000001,4601,43,0.001,271.22,-109.79335021972656
932,198880,182.08802795410156,198779,-62.971130970000004,4616,43,0.001,270.07,-104.61138153076172
936,199912,38.287574768066406,199811,-59.49604302000001,4643,43,0.001,271.63,-98.71520233154297
940,201691,60.47173309326172,201590,-61.45007192,4689,43,0.001,282.59,-97.48429870605469
