train/critic_loss,time/episodes,train/n_updates,time/fps,time/total_timesteps,rollout/ep_len_mean,time/time_elapsed,train/learning_rate,rollout/ep_rew_mean,train/actor_loss
60.15754699707031,4,210,76,311,77.75,4,0.001,-521.01345225,6.659693717956543
31.32659912109375,8,815,59,916,114.5,15,0.001,-376.2068405,4.684100151062012
15.577107429504395,12,1751,54,1852,154.33333333333334,33,0.001,-292.0468946666667,2.2250282764434814
23.21785545349121,16,2515,53,2616,163.5,48,0.001,-253.19033812499998,1.7708029747009277
2.3777265548706055,20,3127,53,3228,161.4,60,0.001,-265.82185209999994,-4.198169708251953
5.926253795623779,24,6114,52,6215,258.9583333333333,118,0.001,-253.04921737499998,-19.285816192626953
6.6662092208862305,28,8189,52,8290,296.07142857142856,157,0.001,-234.86869521428568,-36.404300689697266
3.557882785797119,32,9103,52,9204,287.625,175,0.001,-222.1986899375,-42.190670013427734
6.432180404663086,36,10327,52,10428,289.6666666666667,199,0.001,-209.81813166666666,-48.80329895019531
7.09307861328125,40,12881,52,12982,324.55,248,0.001,-206.37624505000002,-62.35518264770508
5.943633079528809,44,14831,52,14932,339.3636363636364,285,0.001,-212.58746604545456,-73.0055923461914
8.407629013061523,48,16177,52,16278,339.125,311,0.001,-212.65845550000003,-75.81751251220703
52.4052848815918,52,17204,52,17305,332.78846153846155,331,0.001,-214.35395205769234,-81.63105010986328
67.11553192138672,56,18180,52,18281,326.44642857142856,350,0.001,-212.19893421428574,-90.8617935180664
7.808280944824219,60,19547,52,19648,327.46666666666664,376,0.001,-218.41501746666665,-86.52679443359375
7.763303756713867,64,22986,52,23087,360.734375,442,0.001,-217.63220265625,-111.10472869873047
7.258206367492676,68,25497,52,25598,376.44117647058823,491,0.001,-211.93436392647058,-124.35307312011719
6.1056928634643555,72,29387,52,29488,409.55555555555554,565,0.001,-207.79290922222222,-139.96910095214844
43.261043548583984,76,31788,52,31889,419.5921052631579,611,0.001,-205.45620628947367,-147.124267578125
13.996875762939453,80,33471,52,33572,419.65,644,0.001,-204.25436961250003,-153.5316925048828
19.643985748291016,84,35468,52,35569,423.4404761904762,682,0.001,-205.1365361904762,-158.00193786621094
21.3492374420166,88,36540,52,36641,416.375,703,0.001,-205.5600146590909,-162.08935546875
131.28704833984375,92,37638,52,37739,410.20652173913044,724,0.001,-203.0564495869565,-170.6529541015625
16.534753799438477,96,38897,52,38998,406.2291666666667,749,0.001,-202.9914552291667,-170.861572265625
43.26976776123047,100,39367,52,39468,394.68,758,0.001,-204.28258875000003,-174.9786834716797
32.3867073059082,104,40194,52,40295,399.84,774,0.001,-188.18864137,-181.3241424560547
19.031566619873047,108,40813,51,40914,399.98,786,0.001,-179.93041021000002,-179.09153747558594
14.339734077453613,112,42123,51,42224,403.72,812,0.001,-185.35237873999998,-180.4618682861328
15.200483322143555,116,42700,51,42801,401.85,823,0.001,-180.78914604999997,-175.88687133789062
11.514793395996094,120,43160,51,43261,400.33,833,0.001,-178.36304961000002,-183.14373779296875
30.836101531982422,124,43591,51,43692,374.77,841,0.001,-176.59636791999998,-189.68678283691406
118.71446228027344,128,44581,51,44682,363.92,861,0.001,-174.71057938,-185.7149200439453
35.702178955078125,132,46189,51,46290,370.86,893,0.001,-171.86054579,-191.0719757080078
21.075511932373047,136,47023,51,47124,366.96,910,0.001,-171.96406749999997,-186.2412567138672
21.926111221313477,140,48249,51,48350,353.68,934,0.001,-174.23438993,-200.56210327148438
16.06102752685547,144,48720,51,48821,338.89,944,0.001,-169.37450518000003,-200.84112548828125
14.298080444335938,148,49162,51,49263,329.85,953,0.001,-165.94434878000004,-198.44749450683594
49.56666564941406,152,51010,51,51111,338.06,989,0.001,-160.08761564,-209.70216369628906
163.2510986328125,156,53719,51,53820,355.39,1044,0.001,-155.65471545,-210.04345703125
79.11886596679688,160,55238,51,55339,356.91,1075,0.001,-151.81076239,-215.22238159179688
43.17524719238281,164,58346,51,58447,353.6,1139,0.001,-147.80953599999998,-205.3643798828125
12.122859954833984,168,62346,51,62447,368.49,1222,0.001,-142.31306983000002,-215.37933349609375
20.70690155029297,172,65218,50,65319,358.31,1284,0.001,-139.19254214999998,-213.13348388671875
21.331253051757812,176,66785,50,66886,349.97,1319,0.001,-137.22797903999998,-220.5680694580078
40.02880096435547,180,68899,50,69000,354.28,1367,0.001,-135.71111839,-225.49502563476562
18.48484992980957,184,72014,50,72115,365.46,1441,0.001,-131.12579304000002,-228.20306396484375
14.758609771728516,188,73476,49,73577,369.36,1477,0.001,-124.31031621,-232.23806762695312
60.57710266113281,192,74150,49,74251,365.12,1494,0.001,-124.77200949,-228.32901000976562
23.97357177734375,196,74812,49,74913,359.15,1510,0.001,-115.76560890999997,-232.2335205078125
74.13787841796875,200,76167,49,76268,368.0,1544,0.001,-107.79236109999998,-232.47665405273438
37.73628616333008,204,78706,48,78807,385.12,1608,0.001,-106.23217671999998,-229.28244018554688
14.667984962463379,208,80092,48,80193,392.79,1644,0.001,-108.65194132,-234.0885772705078
77.43922424316406,212,81997,48,82098,398.74,1693,0.001,-104.13234609,-228.94422912597656
19.621143341064453,216,83553,48,83654,408.53,1733,0.001,-100.62330759000001,-228.89772033691406
36.780494689941406,220,85088,48,85189,419.28,1773,0.001,-95.6114581,-230.7603759765625
329.86480712890625,224,87472,47,87573,438.81,1835,0.001,-95.13218898,-228.43447875976562
17.57793617248535,228,89165,47,89266,445.84,1879,0.001,-96.09646242,-229.5420684814453
84.72734832763672,232,90283,47,90384,440.94,1909,0.001,-94.57682444,-229.33448791503906
