train/critic_loss,train/n_updates,time/fps,time/episodes,time/time_elapsed,train/learning_rate,rollout/ep_rew_mean,train/actor_loss,rollout/ep_len_mean,time/total_timesteps
14.783478736877441,412,65,4,7,0.001,-788.457638,8.536624908447266,128.25,513
5.53936767578125,1471,55,8,28,0.001,-539.7270721250001,7.9663286209106445,196.5,1572
7.593297004699707,2228,54,12,43,0.001,-448.6723800833334,10.021923065185547,194.08333333333334,2329
13.508087158203125,3017,53,16,58,0.001,-430.06369424999997,7.679920673370361,194.875,3118
9.943746566772461,4052,52,20,78,0.001,-393.635034,2.8238420486450195,207.65,4153
6.1531758308410645,5266,52,24,102,0.001,-362.15430862499994,-6.673555374145508,223.625,5367
4.807226657867432,6406,52,28,124,0.001,-333.6217422857142,-12.677000999450684,232.39285714285714,6507
4.105391979217529,7496,52,32,145,0.001,-303.60798174999996,-15.27564525604248,237.40625,7597
8.798637390136719,8570,52,36,165,0.001,-284.94522475,-22.952665328979492,240.86111111111111,8671
53.59404754638672,9537,52,40,184,0.001,-270.63162167499996,-27.31053352355957,240.95,9638
5.012746334075928,10802,52,44,208,0.001,-260.8025682727273,-32.04587936401367,247.79545454545453,10903
22.954097747802734,11558,52,48,222,0.001,-251.02321795833333,-29.908164978027344,242.89583333333334,11659
3.589878559112549,13610,52,52,262,0.001,-247.6521001923077,-49.06855392456055,263.6730769230769,13711
11.386550903320312,17257,51,56,338,0.001,-236.830782625,-68.44234466552734,309.9642857142857,17358
5.348524570465088,18705,51,60,366,0.001,-231.76768798333336,-68.44615173339844,313.43333333333334,18806
77.53060913085938,20842,51,64,407,0.001,-239.35077560937498,-78.08707427978516,327.234375,20943
17.98602294921875,24109,51,68,471,0.001,-231.0253021470588,-93.37261962890625,356.02941176470586,24210
14.032151222229004,26094,51,72,509,0.001,-234.64850358333337,-90.9858627319336,363.81944444444446,26195
12.832247734069824,27997,51,76,546,0.001,-234.10851630263164,-108.66289520263672,369.7105263157895,28098
29.697589874267578,30108,51,80,587,0.001,-238.01581539999998,-119.71173095703125,377.6125,30209
10.461938858032227,31390,51,84,612,0.001,-231.98471955952377,-122.21812438964844,374.89285714285717,31491
14.231748580932617,31945,51,88,623,0.001,-224.10689504545454,-122.74974060058594,364.15909090909093,32046
16.160945892333984,32763,51,92,639,0.001,-213.48631096739132,-120.94493103027344,357.2173913043478,32864
12.913551330566406,34091,51,96,664,0.001,-206.21768741666665,-132.64828491210938,356.1666666666667,34192
8.180723190307617,36727,51,100,715,0.001,-203.17516315,-144.0832977294922,368.28,36828
7.650767803192139,38865,51,104,757,0.001,-174.04346137999997,-141.45179748535156,384.53,38966
6.914978981018066,41565,51,108,809,0.001,-176.61446434,-149.34130859375,400.94,41666
33.082035064697266,42642,51,112,830,0.001,-168.21125182,-149.90296936035156,404.14,42743
18.400394439697266,45250,51,116,881,0.001,-157.80827582,-150.02362060546875,422.33,45351
15.048332214355469,48633,51,120,948,0.001,-150.00844013,-159.79229736328125,445.81,48734
81.0165023803711,49831,51,124,972,0.001,-146.24879382000003,-159.28651428222656,445.65,49932
15.46875,50659,51,128,989,0.001,-140.72037349000001,-167.92831420898438,442.53,50760
29.228740692138672,51256,51,132,1001,0.001,-140.5985937,-167.4671630859375,437.6,51357
29.175735473632812,52291,51,136,1022,0.001,-138.25669689999998,-167.05499267578125,437.21,52392
25.57347297668457,52994,51,140,1036,0.001,-145.88236688000003,-178.29010009765625,434.57,53095
27.810182571411133,53609,51,144,1049,0.001,-144.46637532,-171.76524353027344,428.07,53710
18.754819869995117,54284,51,148,1062,0.001,-140.17561562,-176.09698486328125,427.26,54385
50.12688446044922,54759,51,152,1072,0.001,-135.42973343000003,-171.5439453125,411.49,54860
47.65862274169922,56190,51,156,1101,0.001,-129.26878079,-193.37680053710938,389.33,56291
56.597373962402344,57950,51,160,1137,0.001,-128.03044071,-192.23617553710938,392.45,58051
42.33280563354492,59546,50,164,1169,0.001,-119.69574861999999,-201.5774383544922,387.04,59647
