rollout/ep_rew_mean,rollout/ep_len_mean,train/critic_loss,time/episodes,train/learning_rate,time/total_timesteps,time/time_elapsed,time/fps,train/n_updates,train/actor_loss
-133.08241278,313.8,58.72095489501953,372,0.001,84153,1725,48,84052,-301.5096130371094
-133.47355435999998,326.16,55.96842956542969,376,0.001,86400,1779,48,86299,-298.6969299316406
-134.79101322000002,328.92,45.025997161865234,380,0.001,87327,1802,48,87226,-293.59954833984375
-133.72829082,329.25,69.71282958984375,384,0.001,88249,1824,48,88148,-301.3004455566406
-135.65676927,339.12,89.59809112548828,388,0.001,90083,1868,48,89982,-292.8802795410156
-139.77122802,339.22,195.1973876953125,392,0.001,90690,1882,48,90589,-292.7933654785156
-140.14287303,345.25,63.715087890625,396,0.001,92201,1919,48,92100,-290.5429382324219
-138.55561905000002,342.66,130.3329315185547,400,0.001,93006,1938,47,92905,-287.1722412109375
-137.63580718,325.17,115.76643371582031,404,0.001,93639,1953,47,93538,-295.7777099609375
-135.3988658,321.68,111.9664077758789,408,0.001,94214,1967,47,94113,-301.91845703125
-135.19354396,327.8,355.9527587890625,412,0.001,96467,2021,47,96366,-284.32867431640625
-132.99392486,331.67,42.70052719116211,416,0.001,97381,2043,47,97280,-299.9207458496094
-133.45812063,316.91,44.91604995727539,420,0.001,98106,2061,47,98005,-298.5662536621094
-134.83854892,303.72,90.48838806152344,424,0.001,98768,2077,47,98667,-290.1176452636719
-133.95527995000003,295.36,265.9845886230469,428,0.001,99828,2102,47,99727,-284.84808349609375
-133.94128073,280.07,283.55426025390625,432,0.001,100634,2122,47,100533,-293.0492858886719
-132.24155360999998,279.34,152.64520263671875,436,0.001,101997,2154,47,101896,-283.3149108886719
-141.22941799,275.68,185.57534790039062,440,0.001,102697,2171,47,102596,-280.10577392578125
-144.82324577,274.02,164.48873901367188,444,0.001,103565,2193,47,103464,-283.0389099121094
-144.6871018,275.04,102.65642547607422,448,0.001,104279,2210,47,104178,-289.1927490234375
-140.28710664,270.72,60.6477165222168,452,0.001,104966,2227,47,104865,-287.4536437988281
-148.92952284,250.46,162.39796447753906,456,0.001,105389,2237,47,105288,-284.4080810546875
-140.05189013999998,252.84,76.02156066894531,460,0.001,106806,2271,47,106705,-276.6925048828125
-135.26910832,254.89,408.614013671875,464,0.001,107831,2296,46,107730,-286.163330078125
-131.82491582999998,251.04,326.4573974609375,468,0.001,108351,2309,46,108250,-288.3046569824219
-138.02517234,273.46,55.66571044921875,472,0.001,111499,2385,46,111398,-287.81732177734375
-136.18765046,260.76,109.71603393554688,476,0.001,112476,2409,46,112375,-285.5738220214844
-136.79317052,261.54,94.19767761230469,480,0.001,113481,2433,46,113380,-289.83209228515625
-139.35085246,259.59,195.41351318359375,484,0.001,114208,2451,46,114107,-290.2735900878906
-145.89752478,250.67,106.57352447509766,488,0.001,115150,2474,46,115049,-288.0782165527344
-151.3153536,260.35,131.15029907226562,492,0.001,116725,2512,46,116624,-285.7839660644531
-152.90853685,253.49,88.14591979980469,496,0.001,117550,2532,46,117449,-282.0177001953125
-147.855995,255.76,155.05567932128906,500,0.001,118582,2557,46,118481,-293.75714111328125
-146.12616905000002,263.85,104.70458984375,504,0.001,120024,2592,46,119923,-292.3604736328125
-152.3138633,268.73,307.4728698730469,508,0.001,121087,2618,46,120986,-293.5438537597656
-155.8823346,254.12,58.37443923950195,512,0.001,121879,2637,46,121778,-290.8556213378906
-153.43809950000002,252.52,64.8179931640625,516,0.001,122633,2656,46,122532,-298.207275390625
-155.32408751,256.54,79.97661590576172,520,0.001,123760,2683,46,123659,-282.50531005859375
-152.87977674,257.76,62.692020416259766,524,0.001,124544,2702,46,124443,-292.8518371582031
-149.47796562000002,262.78,66.42717742919922,528,0.001,126106,2741,46,126005,-288.7227478027344
-139.87687999,266.83,38.12873077392578,532,0.001,127317,2770,45,127216,-293.8544616699219
-127.43124066,266.59,105.3121109008789,536,0.001,128656,2803,45,128555,-282.30615234375
-117.07849700000001,272.06,74.77293395996094,540,0.001,129903,2833,45,129802,-288.0167236328125
-113.22908453,272.16,83.60989379882812,544,0.001,130781,2854,45,130680,-292.6549987792969
-105.86933800999999,276.36,76.5907974243164,548,0.001,131915,2882,45,131814,-283.9917907714844
-100.69655923,273.96,204.3311004638672,552,0.001,132362,2893,45,132261,-285.05419921875
-84.90386964000001,276.03,182.06912231445312,556,0.001,132992,2908,45,132891,-299.7993469238281
-86.57157387000001,269.06,159.32681274414062,560,0.001,133712,2926,45,133611,-287.33233642578125
-86.20536618000001,262.69,61.99162673950195,564,0.001,134100,2935,45,133999,-287.621337890625
-82.43864328,262.7,97.0502700805664,568,0.001,134621,2948,45,134520,-279.5426330566406
-81.53305373999999,235.98,119.66992950439453,572,0.001,135097,2960,45,134996,-287.40228271484375
-76.5530622,231.63,255.60543823242188,576,0.001,135639,2973,45,135538,-276.69830322265625
-72.39834432,235.53,390.8854064941406,580,0.001,137034,3007,45,136933,-284.594482421875
-73.12115492999999,246.35,97.85103607177734,584,0.001,138843,3051,45,138742,-278.767578125
-63.680230920000014,261.34,66.51374816894531,588,0.001,141284,3111,45,141183,-283.1829528808594
-52.00394270000002,265.5,54.20976257324219,592,0.001,143275,3160,45,143174,-288.9295349121094
-47.38100969,273.78,45.21746063232422,596,0.001,144928,3200,45,144827,-285.96685791015625
-44.82719168999999,289.55,35.91084671020508,600,0.001,147537,3264,45,147436,-289.72210693359375
-55.91542993,290.27,228.4824676513672,604,0.001,149051,3301,45,148950,-276.97418212890625
-50.612278540000005,310.89,265.446044921875,608,0.001,152176,3379,45,152075,-271.13372802734375
-42.61361136999999,310.89,44.9900016784668,612,0.001,152968,3398,45,152867,-277.7562255859375
-44.73529921,322.51,36.125003814697266,616,0.001,154884,3446,44,154783,-282.4720764160156
-40.11921595,327.86,109.27913665771484,620,0.001,156546,3487,44,156445,-274.5766906738281
-36.94019323,326.04,130.15110778808594,624,0.001,157148,3502,44,157047,-268.242919921875
-31.6610332,320.85,159.6947021484375,628,0.001,158191,3527,44,158090,-274.94158935546875
-31.346378769999998,321.84,450.9101257324219,632,0.001,159501,3560,44,159400,-275.4609375
-39.76959906999999,317.8,54.4099006652832,636,0.001,160436,3583,44,160335,-267.3923034667969
-43.10123039999999,313.97,256.8585510253906,640,0.001,161300,3604,44,161199,-268.23297119140625
-37.281791760000004,322.84,50.958038330078125,644,0.001,163065,3648,44,162964,-283.2510070800781
-30.22244693000001,331.11,251.9525604248047,648,0.001,165026,3696,44,164925,-264.6192321777344
-31.529907690000005,333.89,75.95642852783203,652,0.001,165751,3714,44,165650,-265.61004638671875
-29.318178709999998,343.12,58.757606506347656,656,0.001,167304,3753,44,167203,-266.8775634765625
-35.203194270000004,355.08,375.4752197265625,660,0.001,169220,3800,44,169119,-259.1759338378906
-32.174812419999995,373.24,167.17958068847656,664,0.001,171424,3855,44,171323,-266.6692810058594
-34.73932947,388.99,125.10630798339844,668,0.001,173520,3907,44,173419,-272.6791687011719
-34.24139341,398.8,214.66622924804688,672,0.001,174977,3943,44,174876,-259.3583679199219
-41.918359,400.62,64.33938598632812,676,0.001,175701,3962,44,175600,-272.8369140625
-48.599248100000004,394.23,97.58255004882812,680,0.001,176457,3981,44,176356,-265.6270446777344
-53.043845170000004,381.07,118.42070007324219,684,0.001,176950,3993,44,176849,-255.5260009765625
-55.49525329000001,374.07,75.96012115478516,688,0.001,178691,4036,44,178590,-259.4967041015625
-60.05735352,359.44,135.30133056640625,692,0.001,179219,4049,44,179118,-258.7598876953125
-63.491024740000015,359.2,582.7529296875,696,0.001,180848,4090,44,180747,-256.2318420410156
-66.20231411,340.21,44.289886474609375,700,0.001,181558,4108,44,181457,-261.767333984375
-60.36817718,329.51,37.4479866027832,704,0.001,182002,4119,44,181901,-259.714111328125
-66.22669780000001,305.69,242.11245727539062,708,0.001,182745,4138,44,182644,-259.9477844238281
-69.38678574000001,312.39,100.707763671875,712,0.001,184207,4174,44,184106,-253.22296142578125
-65.13728118,313.71,182.4694366455078,716,0.001,186255,4225,44,186154,-245.70101928710938
-67.53897742,308.91,41.28115463256836,720,0.001,187437,4255,44,187336,-245.380859375
-55.580096700000006,326.38,98.84278106689453,724,0.001,189786,4314,43,189685,-250.5765838623047
-57.35695009000001,324.17,61.71782684326172,728,0.001,190608,4335,43,190507,-249.334716796875
-62.67518851999999,321.42,93.05839538574219,732,0.001,191643,4361,43,191542,-238.3304443359375
-59.7699872,325.3,85.89739227294922,736,0.001,192966,4394,43,192865,-248.53797912597656
-51.59271913000002,324.35,42.17750930786133,740,0.001,193735,4413,43,193634,-244.67318725585938
-51.013133350000004,318.67,74.21603393554688,744,0.001,194932,4443,43,194831,-242.01126098632812
-58.03493356,315.72,104.05015563964844,748,0.001,196598,4485,43,196497,-243.0504150390625
-53.59995341999999,321.51,62.925636291503906,752,0.001,197902,4518,43,197801,-246.0337677001953
-59.505733950000014,317.16,133.68841552734375,756,0.001,199020,4546,43,198919,-239.00567626953125
-49.636285619999995,307.51,99.97605895996094,760,0.001,199971,4570,43,199870,-238.24639892578125
-52.01447341000002,294.9,34.1125373840332,764,0.001,200914,4593,43,200813,-239.92942810058594
-49.61033084,284.13,78.57745361328125,768,0.001,201933,4619,43,201832,-239.90875244140625
-42.3912754,278.99,91.76787567138672,772,0.001,202876,4643,43,202775,-235.50314331054688
-37.68458502,278.16,84.52302551269531,776,0.001,203517,4659,43,203416,-242.876953125
-29.596165400000004,277.05,225.81776428222656,780,0.001,204162,4675,43,204061,-242.46324157714844
-18.420496749999995,279.41,54.76818084716797,784,0.001,204891,4694,43,204790,-242.43682861328125
-12.694738129999998,270.21,128.6280975341797,788,0.001,205712,4715,43,205611,-229.63092041015625
-5.638314659999999,269.16,68.33116912841797,792,0.001,206135,4725,43,206034,-239.4981231689453
-3.2962371299999966,257.47,79.89772033691406,796,0.001,206595,4737,43,206494,-234.9720458984375
2.0843179500000035,260.16,46.391937255859375,800,0.001,207574,4762,43,207473,-229.03720092773438
10.756772160000002,273.07,134.45420837402344,804,0.001,209309,4805,43,209208,-231.38995361328125
18.703092000000005,273.37,70.72969818115234,808,0.001,210082,4825,43,209981,-232.6582489013672
15.040722240000003,273.11,28.010831832885742,812,0.001,211518,4861,43,211417,-230.1428680419922
23.065500059999998,262.87,31.468914031982422,816,0.001,212542,4887,43,212441,-230.36903381347656
23.596173750000005,261.34,70.44842529296875,820,0.001,213571,4912,43,213470,-234.22731018066406
18.03727344,244.25,93.36968994140625,824,0.001,214211,4929,43,214110,-227.9503631591797
13.11218916,241.63,86.10781860351562,828,0.001,214771,4943,43,214670,-226.91226196289062
10.020277400000008,239.45,54.017189025878906,832,0.001,215588,4963,43,215487,-222.56231689453125
7.96422558,244.61,101.06306457519531,836,0.001,217427,5010,43,217326,-231.22601318359375
-5.307375760000005,261.97,49.710472106933594,840,0.001,219932,5073,43,219831,-221.2571563720703
-12.995396940000003,267.67,27.961132049560547,844,0.001,221699,5117,43,221598,-225.864501953125
-21.287666099999996,265.71,78.58666229248047,848,0.001,223169,5154,43,223068,-214.52650451660156
-30.069069940000006,274.2,165.9241485595703,852,0.001,225322,5209,43,225221,-212.73919677734375
-28.684681349999995,270.15,196.36534118652344,856,0.001,226035,5228,43,225934,-213.4372100830078
-38.865856980000004,289.98,103.08625793457031,860,0.001,228969,5302,43,228868,-213.48013305664062
-37.82268609,287.92,274.8095703125,864,0.001,229706,5321,43,229605,-207.5319366455078
-39.107341229999996,296.54,53.9409294128418,868,0.001,231587,5368,43,231486,-204.3534698486328
-32.91764882,303.03,27.338071823120117,872,0.001,233179,5408,43,233078,-202.67193603515625
-32.95686090999999,311.2,40.2314338684082,876,0.001,234637,5446,43,234536,-206.0432586669922
-39.87843923,324.26,61.290367126464844,880,0.001,236588,5496,43,236487,-213.23374938964844
-39.42118417999999,325.23,43.68568801879883,884,0.001,237414,5517,43,237313,-201.30984497070312
-37.98622887,335.22,77.36538696289062,888,0.001,239234,5563,42,239133,-206.4538116455078
-42.840286379999995,350.99,77.9478988647461,892,0.001,241234,5614,42,241133,-200.9517059326172
-42.555327719999994,361.52,32.20225143432617,896,0.001,242747,5652,42,242646,-207.19178771972656
-44.10331366,357.95,150.0810546875,900,0.001,243369,5668,42,243268,-208.16357421875
-46.78146790999999,355.18,42.99651336669922,904,0.001,244827,5705,42,244726,-205.71914672851562
-53.89912982999999,357.96,105.41413116455078,908,0.001,245878,5731,42,245777,-196.2363739013672
-52.167566920000006,347.87,120.2009506225586,912,0.001,246305,5742,42,246204,-203.53829956054688
-61.95613605,361.33,63.27507019042969,916,0.001,248675,5802,42,248574,-198.44174194335938
-64.40841216,358.98,104.8841781616211,920,0.001,249469,5823,42,249368,-195.853271484375
-71.06456041,371.05,82.92693328857422,924,0.001,251316,5869,42,251215,-188.88351440429688
-73.98027172,371.37,132.5767822265625,928,0.001,251908,5886,42,251807,-194.3050079345703
-68.00516361,380.33,77.78530883789062,932,0.001,253621,5930,42,253520,-192.21002197265625
-67.59680187000001,372.02,97.08053588867188,936,0.001,254629,5956,42,254528,-199.8035430908203
-65.74602904,357.93,60.14257049560547,940,0.001,255725,5983,42,255624,-188.59994506835938
-64.6786316,360.56,64.55804443359375,944,0.001,257755,6035,42,257654,-193.1793212890625
-61.95443889000001,367.17,25.70827865600586,948,0.001,259886,6089,42,259785,-194.81851196289062
-62.32451206,359.13,43.29494857788086,952,0.001,261235,6124,42,261134,-197.96205139160156
-64.02851675999999,364.46,143.9594268798828,956,0.001,262481,6156,42,262380,-190.91375732421875
-63.78026314999999,364.33,29.918663024902344,960,0.001,265402,6231,42,265301,-199.18991088867188
-68.71338189,368.96,34.452110290527344,964,0.001,266602,6261,42,266501,-200.13633728027344
-74.86422242999998,362.46,51.52190017700195,968,0.001,267833,6293,42,267732,-198.0199737548828
-89.79079578000001,368.17,64.08269500732422,972,0.001,269996,6348,42,269895,-196.7292938232422
-94.22110257,363.13,215.33216857910156,976,0.001,270950,6372,42,270849,-202.9862060546875
-92.99619521000001,360.47,19.743261337280273,980,0.001,272635,6415,42,272534,-202.60873413085938
-106.10493194,371.16,58.50152587890625,984,0.001,274530,6463,42,274429,-206.60299682617188
-119.87160483000001,365.78,75.66119384765625,988,0.001,275812,6497,42,275711,-202.05511474609375
-123.58756762000002,356.97,175.0368194580078,992,0.001,276931,6525,42,276830,-199.4617156982422
-125.76791499000001,352.95,630.5489501953125,996,0.001,278042,6553,42,277941,-194.61923217773438
-130.80138759000002,353.26,70.36726379394531,1000,0.001,278695,6570,42,278594,-201.628662109375
-136.66741555000002,347.54,28.327484130859375,1004,0.001,279581,6593,42,279480,-200.31707763671875
-136.45567832999998,346.19,247.9840087890625,1008,0.001,280497,6617,42,280396,-198.82861328125
-138.44344284,353.23,26.547760009765625,1012,0.001,281628,6646,42,281527,-196.76048278808594
-138.7620874,347.42,77.71797180175781,1016,0.001,283417,6692,42,283316,-203.7677459716797
-134.53453028,353.84,49.72517776489258,1020,0.001,284853,6730,42,284752,-198.0082550048828
-133.64002617999998,346.21,164.83656311035156,1024,0.001,285937,6759,42,285836,-198.17318725585938
-129.33932736999998,357.49,83.73094940185547,1028,0.001,287657,6803,42,287556,-199.56068420410156
-135.31263529999998,354.69,93.39128112792969,1032,0.001,289090,6842,42,288989,-198.2530059814453
