time/episodes,train/actor_loss,time/fps,rollout/ep_rew_mean,time/total_timesteps,train/learning_rate,rollout/ep_len_mean,train/n_updates,train/critic_loss,time/time_elapsed
276,-236.01864624023438,49,-132.0439099,43773,0.001,212.36,43672,147.11045837402344,876
280,-235.80674743652344,49,-125.79336846,44954,0.001,214.71,44853,64.12132263183594,900
284,-238.8436737060547,49,-121.14834976,46416,0.001,223.67,46315,71.12641906738281,929
288,-240.0072021484375,49,-114.10746197,46754,0.001,221.91,46653,79.10665893554688,936
292,-247.8905029296875,49,-108.46966288,48030,0.001,228.58,47929,149.985595703125,961
296,-254.01806640625,49,-104.90666639000001,49957,0.001,240.06,49856,141.29319763183594,1000
300,-265.00836181640625,49,-95.51937775,52163,0.001,252.32,52062,62.37111282348633,1045
304,-268.7393798828125,49,-92.66060728000001,53282,0.001,240.79,53181,69.46027374267578,1068
308,-281.2468566894531,49,-78.82889664,56196,0.001,253.95,56095,57.830482482910156,1128
312,-277.4320373535156,49,-72.20204253000001,57095,0.001,255.66,56994,34.965545654296875,1147
316,-282.6081237792969,49,-70.83296152,58553,0.001,263.83,58452,79.80570220947266,1177
320,-284.28448486328125,49,-70.53232442000001,59083,0.001,263.89,58982,59.35136413574219,1188
324,-284.2737731933594,49,-68.93125672000001,59666,0.001,258.93,59565,323.81329345703125,1200
328,-286.1104431152344,49,-68.60463452,60116,0.001,242.52,60015,55.3245964050293,1210
332,-283.69769287109375,49,-72.03585445,60609,0.001,241.92,60508,42.013607025146484,1221
336,-287.00848388671875,49,-73.83511296,61895,0.001,241.49,61794,195.4525909423828,1248
340,-286.7388000488281,49,-80.45565876,62391,0.001,241.78,62290,124.4872055053711,1259
344,-288.9840087890625,49,-79.5376928,63703,0.001,251.33,63602,166.96786499023438,1288
348,-288.0252990722656,49,-80.23124921,64187,0.001,252.83,64086,101.71580505371094,1298
352,-288.326904296875,49,-79.99179518,65386,0.001,260.8,65285,58.0882682800293,1325
356,-297.3690185546875,49,-76.65533203,66400,0.001,266.69,66299,117.77568054199219,1347
360,-298.8116149902344,48,-76.78123671999998,69507,0.001,291.89,69406,70.15381622314453,1419
364,-303.9932861328125,48,-74.85024320999999,70087,0.001,285.1,69986,36.458335876464844,1432
368,-300.0686340332031,48,-72.63240294999999,72414,0.001,295.27,72313,53.60516357421875,1489
372,-283.9100341796875,48,-77.43152753999999,73808,0.001,305.54,73707,62.968318939208984,1523
376,-301.5779724121094,48,-77.14186222999999,74544,0.001,307.71,74443,53.96990966796875,1542
380,-285.82855224609375,48,-78.39524612000001,75396,0.001,304.42,75295,70.42510986328125,1563
384,-294.34033203125,48,-80.58215762000002,76737,0.001,303.21,76636,120.59043884277344,1597
388,-287.9193115234375,47,-83.21507240000001,77078,0.001,303.24,76977,56.31413650512695,1606
392,-286.7192687988281,47,-79.39428627000001,78384,0.001,303.54,78283,61.51008224487305,1646
396,-279.7779541015625,47,-78.51322757999999,79284,0.001,293.27,79183,107.36048889160156,1669
400,-285.63739013671875,47,-77.55030330000001,79753,0.001,275.9,79652,189.6719512939453,1681
404,-294.6769104003906,47,-73.93769979999999,80319,0.001,270.37,80218,151.9558563232422,1696
408,-292.1950378417969,47,-81.28534363,81583,0.001,253.87,81482,179.61434936523438,1731
412,-286.2308654785156,46,-80.11752768000001,82484,0.001,253.89,82383,767.5531616210938,1755
416,-296.4357604980469,46,-75.64475775,84627,0.001,260.74,84526,73.5155029296875,1811
420,-270.0333557128906,46,-73.42834357999999,84965,0.001,258.82,84864,173.18775939941406,1820
424,-270.4096984863281,46,-69.85570186999999,85324,0.001,256.58,85223,167.12217712402344,1829
428,-280.30596923828125,46,-65.63579614,86603,0.001,264.87,86502,300.4356384277344,1863
432,-279.66619873046875,46,-65.14687862,88191,0.001,275.82,88090,134.64578247070312,1904
