time/episodes,rollout/ep_len_mean,train/n_updates,train/actor_loss,train/critic_loss,rollout/ep_rew_mean,time/fps,train/learning_rate,time/total_timesteps,time/time_elapsed
276,188.54,53226,-284.0892333984375,244.4147491455078,-180.38203826999998,49,0.001,53327,1069
280,187.31,53736,-284.10943603515625,565.5785522460938,-185.34107192,49,0.001,53837,1083
284,182.34,54255,-277.73931884765625,53.58184814453125,-189.83971946000005,49,0.001,54356,1097
288,177.32,54650,-292.77130126953125,95.99595642089844,-193.83956638,49,0.001,54751,1107
292,169.13,55043,-293.65936279296875,93.0318374633789,-200.33445100000006,49,0.001,55144,1118
296,164.25,55386,-290.66717529296875,165.16824340820312,-210.05211723,49,0.001,55487,1127
300,160.48,55814,-288.8380126953125,433.18817138671875,-221.10190563,49,0.001,55915,1136
304,153.26,56245,-289.0296630859375,103.85800170898438,-225.32912861000005,49,0.001,56346,1145
308,147.5,56706,-286.6842956542969,58.62531280517578,-234.55109046999993,49,0.001,56807,1154
312,146.66,57227,-295.7486572265625,80.9015884399414,-237.46362311000001,49,0.001,57328,1165
316,142.77,57614,-289.4515075683594,131.82301330566406,-244.33986589,49,0.001,57715,1173
320,139.63,57920,-303.28240966796875,62.681644439697266,-254.28390908999998,49,0.001,58021,1179
324,131.39,58416,-277.3464050292969,152.98582458496094,-265.69351948999997,49,0.001,58517,1189
328,129.51,58933,-295.8572692871094,580.3974609375,-271.28180189,49,0.001,59034,1200
332,126.33,59433,-289.166748046875,131.86593627929688,-279.54903947,49,0.001,59534,1211
336,129.15,60264,-298.42138671875,159.27670288085938,-288.84062498000003,49,0.001,60365,1228
340,129.01,60633,-309.3948974609375,138.7437744140625,-292.83772534,49,0.001,60734,1236
344,119.5,61126,-310.9619445800781,633.0752563476562,-297.53721613000005,49,0.001,61227,1246
348,120.26,61707,-307.5963439941406,126.16085052490234,-302.48215387000005,49,0.001,61808,1259
352,120.86,62273,-310.6338195800781,92.47254180908203,-303.62564786,49,0.001,62374,1271
356,117.12,62769,-312.9286193847656,284.973876953125,-304.57513968,49,0.001,62870,1281
360,117.61,63207,-297.5056457519531,663.2787475585938,-307.11988450999996,49,0.001,63308,1291
364,117.72,63664,-320.5909423828125,133.05929565429688,-311.16650375999996,49,0.001,63765,1301
368,118.37,64169,-311.75335693359375,148.90248107910156,-317.2367047,48,0.001,64270,1312
372,120.59,64851,-316.60833740234375,180.97781372070312,-317.21223001999994,48,0.001,64952,1327
