train/n_updates,time/fps,time/time_elapsed,train/learning_rate,time/episodes,time/total_timesteps,train/loss,rollout/exploration_rate,rollout/ep_rew_mean,rollout/ep_len_mean
66,1231,0,0.0001,4,366,1.274537444114685,0.994205,-121.3379225,91.5
141,1009,0,0.0001,8,668,0.5916084051132202,0.9894233333333337,-107.460331875,83.5
229,986,1,0.0001,12,1020,3.9486005306243896,0.9838499999999997,-148.86260241666665,85.0
329,971,1,0.0001,16,1417,0.78375643491745,0.9775641666666663,-175.41582281249998,88.5625
423,946,1,0.0001,20,1796,1.4805256128311157,0.9715633333333338,-165.9838193,89.8
510,944,2,0.0001,24,2141,0.8419147729873657,0.9661008333333339,-185.35692241666666,89.20833333333333
603,954,2,0.0001,28,2516,0.697382390499115,0.9601633333333329,-188.06255060714284,89.85714285714286
693,959,2,0.0001,32,2873,0.6994626522064209,0.9545108333333339,-202.7732504375,89.78125
769,948,3,0.0001,36,3180,0.5612559914588928,0.9496500000000003,-200.57980119444443,88.33333333333333
874,933,3,0.0001,40,3600,1.0219521522521973,0.943,-196.442988525,90.0
967,936,4,0.0001,44,3971,0.924988865852356,0.9371258333333339,-199.10680506818187,90.25
1081,942,4,0.0001,48,4427,0.6207860708236694,0.929905833333333,-196.58020554166663,92.22916666666667
1177,941,5,0.0001,52,4810,2.586078405380249,0.9238416666666667,-205.16766046153845,92.5
1276,940,5,0.0001,56,5207,0.8922616243362427,0.9175558333333332,-210.33745007142858,92.98214285714286
1373,939,5,0.0001,60,5595,0.8340929746627808,0.9114124999999997,-212.1030440666667,93.25
1448,937,6,0.0001,64,5896,1.140921950340271,0.9066466666666668,-207.62843687499998,92.125
1544,940,6,0.0001,68,6277,2.9178733825683594,0.9006141666666664,-205.42120161764703,92.30882352941177
1635,941,7,0.0001,72,6644,6.461246013641357,0.894803333333333,-201.08990902777776,92.27777777777777
1741,942,7,0.0001,76,7068,0.868820309638977,0.8880899999999999,-200.11323797368422,93.0
1843,944,7,0.0001,80,7473,1.0058435201644897,0.8816775000000001,-200.5450033375,93.4125
1946,945,8,0.0001,84,7888,1.4707595109939575,0.8751066666666669,-196.71541672619045,93.9047619047619
2273,948,9,0.0001,88,9193,0.4890890419483185,0.8544441666666666,-193.75756265909092,104.4659090909091
2387,947,10,0.0001,92,9649,6.899899959564209,0.8472241666666668,-191.6633457826087,104.8804347826087
2509,948,10,0.0001,96,10138,0.8857214450836182,0.8394816666666667,-190.28095865624996,105.60416666666667
2610,947,11,0.0001,100,10544,1.4864022731781006,0.8330533333333334,-191.77336479999997,105.44
2737,947,11,0.0001,104,11052,0.9564913511276245,0.8250100000000001,-193.2748006,106.86
2872,946,12,0.0001,108,11591,3.52744722366333,0.8164758333333334,-195.38777817000005,109.23
2966,946,12,0.0001,112,11967,4.02516508102417,0.8105225000000001,-189.3713841,109.47
3077,945,13,0.0001,116,12410,0.7453926205635071,0.8035083333333328,-188.76887576999997,109.93
3166,945,13,0.0001,120,12766,0.609520435333252,0.7978716666666672,-187.07579264999995,109.7
3265,944,13,0.0001,124,13162,3.75527286529541,0.7916016666666662,-180.71606293000002,110.21
3388,942,14,0.0001,128,13656,0.8462220430374146,0.7837799999999999,-182.73860375000004,111.4
3511,941,15,0.0001,132,14147,0.8443612456321716,0.7760058333333331,-174.48801518,112.74
3646,942,15,0.0001,136,14687,1.3859875202178955,0.7674558333333329,-171.12964189000002,115.07
3750,937,16,0.0001,140,15102,0.7893778681755066,0.7608849999999998,-173.55266913000003,115.02
3884,936,16,0.0001,144,15638,3.4055333137512207,0.7523983333333334,-169.56503303999995,116.67
3994,935,17,0.0001,148,16078,0.7290254831314087,0.7454316666666665,-168.52108642,116.51
4112,933,17,0.0001,152,16550,6.8004631996154785,0.7379583333333337,-163.26006418,117.4
4224,933,18,0.0001,156,16998,3.183854579925537,0.7308650000000003,-156.66923011,117.91
4341,932,18,0.0001,160,17468,0.6777640581130981,0.7234233333333335,-152.94255931,118.73
4485,932,19,0.0001,164,18041,0.5349289178848267,0.714350833333333,-155.56794144,121.45
4600,931,19,0.0001,168,18503,0.5862277746200562,0.7070358333333338,-152.0032596,122.26
4726,930,20,0.0001,172,19008,0.6969612836837769,0.6990399999999997,-156.49692983999998,123.64
4835,930,20,0.0001,176,19441,0.8462185859680176,0.6921841666666668,-157.07747387999999,123.73
