time/episodes,train/loss,time/time_elapsed,rollout/ep_rew_mean,rollout/exploration_rate,train/learning_rate,time/fps,time/total_timesteps,rollout/ep_len_mean,train/n_updates
4,2.3124098777770996,0,-288.6781805,0.9934450000000004,0.0001,1050,414,103.5,78
8,1.3609070777893066,0,-232.33167875,0.9882516666666668,0.0001,1030,742,92.75,160
12,7.5279364585876465,1,-235.15473766666665,0.9816174999999998,0.0001,1037,1161,96.75,265
16,0.7470647096633911,1,-248.84156499999997,0.9754741666666663,0.0001,1049,1549,96.8125,362
20,0.9841354489326477,1,-226.11638789999998,0.9705975000000004,0.0001,1053,1857,92.85,439
24,4.47495698928833,3,-208.04498875,0.9496658333333338,0.0001,1035,3179,132.45833333333334,769
28,2.94486141204834,3,-208.35212710714285,0.9435700000000006,0.0001,1035,3564,127.28571428571429,865
32,2.065627098083496,3,-213.252713625,0.9369991666666664,0.0001,1032,3979,124.34375,969
36,7.719600200653076,4,-209.40412230555557,0.9319483333333337,0.0001,1033,4298,119.38888888888889,1049
40,0.6908842325210571,4,-206.755414325,0.9267391666666667,0.0001,1035,4627,115.675,1131
44,1.7364965677261353,4,-198.78605856818177,0.9214033333333331,0.0001,1035,4964,112.81818181818181,1215
48,1.3355660438537598,5,-196.62732895833332,0.9151966666666669,0.0001,1032,5356,111.58333333333333,1313
52,1.2440409660339355,5,-190.53763626923077,0.9093224999999998,0.0001,1033,5727,110.13461538461539,1406
56,1.8294016122817993,5,-193.31083139285715,0.9027991666666669,0.0001,1032,6139,109.625,1509
60,1.2089003324508667,6,-191.98132645,0.8968616666666671,0.0001,1031,6514,108.56666666666666,1603
64,1.070108413696289,6,-188.52200531250003,0.8910508333333336,0.0001,1031,6881,107.515625,1695
68,4.609314441680908,7,-187.92798951470593,0.8850816666666669,0.0001,1030,7258,106.73529411764706,1789
72,1.845945119857788,7,-186.32057156944447,0.8768641666666669,0.0001,1029,7777,108.01388888888889,1919
76,4.471222877502441,8,-193.17610132894737,0.868836666666667,0.0001,1027,8284,109.0,2045
80,1.5354143381118774,8,-191.9314899,0.8624083333333337,0.0001,1027,8690,108.625,2147
84,3.8555283546447754,8,-190.67062289285715,0.8560433333333332,0.0001,1027,9092,108.23809523809524,2247
88,1.5193275213241577,9,-185.42984701136362,0.8496783333333336,0.0001,1025,9494,107.88636363636364,2348
92,0.702671468257904,9,-187.8626338369565,0.8424108333333336,0.0001,1023,9953,108.18478260869566,2463
96,4.1122846603393555,10,-184.49654764583332,0.8349850000000001,0.0001,1022,10422,108.5625,2580
100,1.1531845331192017,10,-185.86548987999998,0.828160833333333,0.0001,1022,10853,108.53,2688
104,3.7901926040649414,11,-180.65242916,0.8206716666666668,0.0001,1020,11326,109.12,2806
108,0.6054794192314148,11,-177.82064349,0.8145441666666667,0.0001,1019,11713,109.71,2903
112,1.0676466226577759,11,-176.34678952000002,0.8067066666666671,0.0001,1018,12208,110.47,3026
116,0.9263495206832886,12,-172.09191600999998,0.7993441666666663,0.0001,1016,12673,111.24,3143
120,0.432672917842865,12,-170.23938319,0.7919183333333328,0.0001,1015,13142,112.85,3260
124,1.0641820430755615,13,-170.50955351000005,0.7862658333333338,0.0001,1014,13499,103.2,3349
128,1.1283226013183594,13,-170.26646102000007,0.7782383333333329,0.0001,1013,14006,104.42,3476
132,0.697023332118988,14,-165.25236416000004,0.7701791666666672,0.0001,1013,14515,105.36,3603
136,3.7786812782287598,14,-162.82775077,0.7631174999999997,0.0001,1012,14961,106.63,3715
140,2.5885069370269775,15,-158.81787326,0.757005833333333,0.0001,1011,15347,107.2,3811
144,0.4576539397239685,15,-160.99914377000002,0.749595833333333,0.0001,1010,15815,108.51,3928
148,0.8760085105895996,16,-160.96476563,0.7426766666666663,0.0001,1008,16252,108.96,4037
152,0.7974891066551208,16,-161.14156574999998,0.7356308333333332,0.0001,1006,16697,109.7,4149
156,3.8795735836029053,17,-157.64163921000002,0.7287116666666666,0.0001,1006,17134,109.95,4258
160,0.784159779548645,17,-155.68962435,0.7218558333333337,0.0001,1005,17567,110.53,4366
164,0.7448915839195251,17,-154.67384348,0.7141133333333336,0.0001,1005,18056,111.75,4488
168,0.43967097997665405,18,-151.5994363,0.7071308333333333,0.0001,1004,18497,112.39,4599
172,3.980299711227417,18,-148.38222784,0.6996100000000002,0.0001,1002,18972,111.95,4717
176,1.6353542804718018,19,-138.91819849,0.6939733333333336,0.0001,1001,19328,110.44,4806
180,1.7810200452804565,19,-140.17603509,0.6850908333333334,0.0001,1000,19889,111.99,4947
184,3.9239680767059326,20,-141.21392391000003,0.6779816666666665,0.0001,999,20338,112.46,5059
188,1.005936861038208,20,-143.39023335,0.6688458333333335,0.0001,997,20915,114.21,5203
192,1.2673298120498657,21,-137.98735943,0.6578733333333333,0.0001,995,21608,116.55,5376
196,3.637078046798706,22,-138.56873854000003,0.6493391666666666,0.0001,994,22147,117.25,5511
200,3.6879024505615234,22,-131.60256110999998,0.6411058333333332,0.0001,993,22667,118.14,5641
204,3.6697230339050293,23,-130.06728181000003,0.6344558333333328,0.0001,992,23087,117.61,5746
208,4.058178901672363,23,-129.55330155,0.6244491666666669,0.0001,990,23719,120.06,5904
212,0.6292309761047363,24,-126.74503968,0.6163108333333331,0.0001,989,24233,120.25,6033
216,0.4533807337284088,25,-124.06972869999998,0.6079349999999998,0.0001,988,24762,120.89,6165
220,1.1470592021942139,25,-122.31224725999999,0.6011899999999999,0.0001,987,25188,120.46,6271
224,1.0491169691085815,26,-122.68656308,0.5905499999999998,0.0001,986,25860,123.61,6439
228,1.3295096158981323,26,-118.26853343,0.5818258333333329,0.0001,985,26411,124.05,6577
232,0.5915435552597046,27,-119.99219523,0.5723416666666663,0.0001,984,27010,124.95,6727
236,0.7237008213996887,28,-120.97100165,0.5608625000000005,0.0001,982,27735,127.74,6908
240,3.219594717025757,28,-124.37640214999999,0.5507449999999996,0.0001,981,28374,130.27,7068
244,0.40819674730300903,29,-121.8764659,0.5385691666666665,0.0001,979,29143,133.28,7260
248,1.8762507438659668,30,-120.80997806,0.5258391666666665,0.0001,978,29947,136.95,7461
252,1.365539312362671,31,-118.88667563999998,0.5157375000000002,0.0001,978,30585,138.88,7621
256,0.567482590675354,32,-116.77553367,0.5003475000000006,0.0001,976,31557,144.23,7864
260,1.0807826519012451,33,-116.02490175999999,0.4895649999999996,0.0001,974,32238,146.71,8034
264,0.4277667999267578,33,-118.40003374,0.4771200000000003,0.0001,972,33024,149.68,8230
268,3.5225183963775635,34,-116.45790852,0.4656408333333333,0.0001,971,33749,152.52,8412
272,0.6530489921569824,35,-115.91131102000001,0.45667916666666697,0.0001,969,34315,153.43,8553
