time/episodes,train/n_updates,rollout/exploration_rate,train/loss,time/time_elapsed,rollout/ep_rew_mean,time/fps,train/learning_rate,rollout/ep_len_mean,time/total_timesteps
4,332,0.99916,0.9748438224196434,0,-258.49097125000003,342,0.00063,84.0,336
8,688,0.9982699999999997,1.5682099759578705,2,-218.8044705,335,0.00063,86.5,692
12,1052,0.9973675000000001,2.390029788017273,3,-213.35581316666665,330,0.00063,87.75,1053
16,1420,0.9964450000000001,1.2535019516944885,4,-205.17269975,330,0.00063,88.875,1422
20,1796,0.9954999999999996,1.0841593444347382,5,-185.48264,327,0.00063,90.0,1800
24,2224,0.9944349999999998,0.9742200896143913,6,-195.8160852916667,329,0.00063,92.75,2226
28,2548,0.9936225000000003,1.2064872533082962,7,-189.84691878571434,331,0.00063,91.10714285714286,2551
32,2896,0.9927499999999999,1.449409395456314,8,-178.07905734374998,332,0.00063,90.625,2900
36,3304,0.9917325000000001,1.0312288850545883,9,-178.8281909444444,334,0.00063,91.86111111111111,3307
40,3652,0.9908599999999997,1.1650939881801605,10,-171.85952227500002,334,0.00063,91.4,3656
44,4028,0.9899275000000001,1.3113470077514648,12,-175.79916125000003,334,0.00063,91.56818181818181,4029
48,4340,0.9891475000000002,1.8201121240854263,12,-176.37979200000004,335,0.00063,90.4375,4341
52,4760,0.9880899999999997,1.853938713669777,14,-176.39033950000007,336,0.00063,91.61538461538461,4764
56,5156,0.9871074999999998,1.9798254072666168,15,-173.30751117857145,336,0.00063,92.08928571428571,5157
60,5568,0.9860699999999997,3.5160860419273376,16,-174.2013325833333,336,0.00063,92.86666666666666,5572
64,5928,0.9851699999999997,2.6264119744300842,17,-174.79109671875,336,0.00063,92.6875,5932
68,6320,0.9841949999999999,1.2847314924001694,18,-172.57109969117644,335,0.00063,92.97058823529412,6322
72,6664,0.9833325,2.469080090522766,19,-172.50353758333333,336,0.00063,92.59722222222223,6667
76,7044,0.9823875000000004,2.7322933673858643,20,-166.65433903947368,336,0.00063,92.69736842105263,7045
80,7420,0.9814474999999997,2.4621726870536804,22,-170.7073208875,336,0.00063,92.7625,7421
84,7780,0.9805400000000002,1.857790395617485,23,-168.34984770238094,336,0.00063,92.66666666666667,7784
88,8116,0.9797024999999997,2.0880845934152603,24,-165.84172639772729,336,0.00063,92.26136363636364,8119
92,8440,0.9788950000000001,2.708067089319229,25,-164.33426477173916,336,0.00063,91.76086956521739,8442
96,8924,0.9776824999999997,1.9210208356380463,26,-167.16503278125,337,0.00063,92.98958333333333,8927
100,9308,0.97672,2.7031148821115494,27,-167.43394353000002,337,0.00063,93.12,9312
104,9620,0.9759424999999996,1.7079677432775497,28,-166.07345288000005,337,0.00063,92.87,9623
108,9936,0.9751524999999999,2.5988901406526566,29,-163.15528207,337,0.00063,92.47,9939
112,10256,0.9743575000000003,0.8149866163730621,30,-163.3360822,337,0.00063,92.04,10257
116,10616,0.9734575000000003,0.913347452878952,31,-162.76989834,337,0.00063,91.95,10617
120,10960,0.9725975,1.4901759922504425,32,-166.23265862,337,0.00063,91.61,10961
124,11264,0.971835,3.9333300292491913,33,-161.04019842,337,0.00063,90.4,11266
128,11616,0.9709550000000002,4.312796860933304,34,-160.56186122,337,0.00063,90.67,11618
132,11992,0.9700150000000004,2.7361370623111725,35,-164.95754223,337,0.00063,90.94,11994
136,12400,0.9689974999999997,2.2373992651700974,36,-165.65169118000003,337,0.00063,90.94,12401
140,12768,0.96807,4.421889305114746,37,-168.6229849,337,0.00063,91.16,12772
144,13112,0.9672099999999997,5.0292447209358215,38,-166.82272873000005,337,0.00063,90.87,13116
148,13456,0.9663550000000001,5.271104022860527,39,-163.71763441000002,337,0.00063,91.17,13458
152,13872,0.9653099999999997,3.1063058376312256,41,-164.49602341,337,0.00063,91.12,13876
156,14232,0.9644150000000004,2.3259120285511017,42,-162.81025028,337,0.00063,90.77,14234
160,14608,0.9634725000000002,3.037753239274025,43,-163.94936778999997,337,0.00063,90.39,14611
164,14988,0.9625274999999996,2.750364273786545,44,-162.79195482,337,0.00063,90.57,14989
168,15344,0.9616325000000002,2.57035756111145,45,-161.35808207999997,337,0.00063,90.25,15347
172,15696,0.960755,3.1106337308883667,46,-159.13794791,337,0.00063,90.31,15698
176,16000,0.9599950000000004,4.5402072966098785,47,-162.31098635,337,0.00063,89.57,16002
180,16312,0.9592175,2.254798896610737,48,-160.06069912,337,0.00063,88.92,16313
184,16652,0.9583649999999999,4.437422901391983,49,-161.62915607,337,0.00063,88.7,16654
188,17000,0.9574925000000003,4.155600994825363,50,-161.01404365,337,0.00063,88.84,17003
192,17428,0.9564224999999997,2.8809494078159332,51,-161.70080063,337,0.00063,89.89,17431
196,17760,0.9555925000000003,3.2427406013011932,52,-157.82091689,337,0.00063,88.36,17763
200,18088,0.9547724999999998,5.42062184214592,53,-156.83542687000002,337,0.00063,87.79,18091
204,18472,0.9538150000000001,5.036135420203209,54,-154.74584904000002,337,0.00063,88.51,18474
208,18844,0.9528800000000001,7.1258485317230225,55,-155.83453279,337,0.00063,89.09,18848
212,19224,0.9519350000000003,3.35013347864151,56,-154.3786806,337,0.00063,89.69,19226
216,19620,0.9509474999999997,4.655825436115265,58,-153.56250617,337,0.00063,90.04,19621
220,19968,0.9500700000000003,7.484654724597931,59,-157.04289283999998,337,0.00063,90.11,19972
224,20324,0.9491849999999998,2.1807008385658264,60,-159.51663428,337,0.00063,90.6,20326
228,20716,0.9482024999999998,1.7555958032608032,61,-157.14801259,337,0.00063,91.01,20719
232,21012,0.9474675000000004,3.705652594566345,62,-152.91260078999997,337,0.00063,90.19,21013
236,21336,0.9466574999999996,3.078863799571991,63,-150.27678674999999,337,0.00063,89.36,21337
240,21664,0.9458374999999999,4.488039523363113,64,-147.62404940000005,337,0.00063,88.93,21665
244,22016,0.9449499999999998,3.949770599603653,65,-145.25673435000004,337,0.00063,89.04,22020
