time/episodes,train/loss,time/time_elapsed,rollout/ep_rew_mean,rollout/exploration_rate,train/learning_rate,time/fps,time/total_timesteps,rollout/ep_len_mean,train/n_updates
4,1.379912257194519,0,-172.56816125,0.9947433333333338,0.0001,1116,332,83.0,57
8,1.6807726621627808,0,-186.670031625,0.9895024999999998,0.0001,1019,663,82.875,140
12,1.6077343225479126,0,-166.12039308333334,0.9838975,0.0001,1034,1017,84.75,229
16,1.5852525234222412,1,-191.289557875,0.9771683333333335,0.0001,1042,1442,90.125,335
20,0.8347734212875366,1,-191.46526525000002,0.9716424999999999,0.0001,1053,1791,89.55,422
24,4.567404270172119,2,-194.07593929166669,0.9651824999999997,0.0001,1057,2199,91.625,524
28,1.1470104455947876,2,-184.80797539285714,0.9579466666666665,0.0001,1055,2656,94.85714285714286,638
32,0.740166962146759,2,-182.61435828125002,0.9520883333333338,0.0001,1055,3026,94.5625,731
36,0.7589069604873657,3,-199.72669133333335,0.9453275000000004,0.0001,1057,3453,95.91666666666667,838
40,1.0176243782043457,3,-203.540583725,0.9393108333333334,0.0001,1059,3833,95.825,933
44,7.524191856384277,4,-194.7080557727273,0.9322966666666672,0.0001,1057,4276,97.18181818181819,1043
48,0.5007501840591431,4,-188.05142452083336,0.9261058333333334,0.0001,1055,4667,97.22916666666667,1141
52,2.211444139480591,4,-182.95528475000003,0.9204533333333332,0.0001,1053,5024,96.61538461538461,1230
56,0.6692594289779663,5,-185.41083669642856,0.9140091666666665,0.0001,1053,5431,96.98214285714286,1332
60,0.5445353984832764,5,-182.31094251666664,0.9073908333333331,0.0001,1050,5849,97.48333333333333,1437
64,2.0202271938323975,5,-183.60983353125,0.9008358333333334,0.0001,1048,6263,97.859375,1540
68,0.5549878478050232,6,-179.59222866176466,0.8936158333333335,0.0001,1047,6719,98.80882352941177,1654
72,0.7664145827293396,6,-177.15703876388886,0.8876149999999999,0.0001,1047,7098,98.58333333333333,1749
76,0.7987471222877502,7,-177.4206442368421,0.8809966666666665,0.0001,1046,7516,98.89473684210526,1853
80,0.8917357325553894,7,-174.97126977499997,0.8736024999999998,0.0001,1044,7983,99.7875,1970
