time/total_timesteps,rollout/exploration_rate,rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,train/loss,train/learning_rate,time/episodes,time/fps,train/n_updates
511498,0.05,963.27,597,-19.733154270000004,0.2517467439174652,0.0001,1140,856,127849
515498,0.05,963.27,602,-18.961956660000002,1.2376872301101685,0.0001,1144,854,128849
518623,0.05,954.52,607,-19.79459375,0.3448019027709961,0.0001,1148,853,129630
522177,0.05,965.01,612,-19.23774366,0.3484431803226471,0.0001,1152,852,130519
525508,0.05,958.32,616,-19.05446529,0.7821986675262451,0.0001,1156,852,131351
529508,0.05,958.32,621,-19.284636459999998,0.29143011569976807,0.0001,1160,852,132351
533508,0.05,958.32,626,-19.76330156,0.39276161789894104,0.0001,1164,852,133351
537508,0.05,958.32,630,-19.78726379,1.283292531967163,0.0001,1168,852,134351
540882,0.05,966.53,634,-19.730061220000003,0.3310047686100006,0.0001,1172,852,135195
544882,0.05,966.53,639,-19.00253942,0.29586079716682434,0.0001,1176,851,136195
