time/episodes,train/loss,time/time_elapsed,rollout/ep_rew_mean,rollout/exploration_rate,train/learning_rate,time/fps,time/total_timesteps,rollout/ep_len_mean,train/n_updates
4,1.8995115756988525,0,-131.753745,0.9919883333333336,0.0001,1170,506,126.5,101
8,1.3505183458328247,0,-178.25270725,0.986098333333333,0.0001,1099,878,109.75,194
12,1.3924849033355713,1,-176.075645,0.980303333333333,0.0001,1083,1244,103.66666666666667,285
16,1.5188210010528564,1,-176.37046487499998,0.9745875000000002,0.0001,1069,1605,100.3125,376
20,1.912878155708313,1,-211.13821255,0.9682224999999997,0.0001,1064,2007,100.35,476
24,1.5709537267684937,2,-219.67816795833335,0.9629816666666667,0.0001,1058,2338,97.41666666666667,559
28,0.9923337697982788,2,-202.2566510714286,0.9560783333333336,0.0001,1055,2774,99.07142857142857,668
32,1.01356840133667,2,-200.46097671874998,0.9509799999999995,0.0001,1054,3096,96.75,748
36,3.7655258178710938,3,-203.01630055555552,0.9448050000000001,0.0001,1050,3486,96.83333333333333,846
40,2.1776843070983887,3,-195.82257917500002,0.9389941666666668,0.0001,1046,3853,96.325,938
44,3.7322850227355957,4,-194.37761231818186,0.9332308333333337,0.0001,1043,4217,95.8409090909091,1029
48,1.686159372329712,4,-193.71953220833333,0.927451666666667,0.0001,1042,4582,95.45833333333333,1120
52,0.8900922536849976,4,-189.33319790384616,0.9223058333333338,0.0001,1041,4907,94.36538461538461,1201
56,1.2180365324020386,5,-188.32622730357141,0.9153550000000003,0.0001,1042,5346,95.46428571428571,1311
60,0.7049879431724548,5,-187.10700573333332,0.910209166666667,0.0001,1044,5671,94.51666666666667,1392
64,1.2237269878387451,5,-184.88644979687498,0.9043508333333332,0.0001,1043,6041,94.390625,1485
68,4.349966049194336,6,-187.98013111764706,0.897336666666667,0.0001,1041,6484,95.3529411764706,1595
72,1.1359367370605469,6,-189.68198920833333,0.8910983333333329,0.0001,1039,6878,95.52777777777777,1694
76,0.8810420036315918,6,-185.24658152631577,0.8863483333333334,0.0001,1037,7178,94.44736842105263,1769
80,3.5377016067504883,7,-181.7046266125,0.8803000000000005,0.0001,1036,7560,94.5,1864
84,1.3047034740447998,7,-178.13906326190477,0.8756924999999999,0.0001,1035,7851,93.46428571428571,1937
88,0.6354252099990845,7,-176.11132314772726,0.8698025000000003,0.0001,1034,8223,93.44318181818181,2030
92,0.758049726486206,8,-175.82962738043477,0.8637066666666672,0.0001,1032,8608,93.56521739130434,2126
96,1.1360992193222046,8,-174.02069686458336,0.8580858333333329,0.0001,1031,8963,93.36458333333333,2215
100,0.5372399091720581,9,-172.80448339999998,0.8513883333333332,0.0001,1030,9386,93.86,2321
104,0.6455766558647156,9,-172.44558245000005,0.8441525,0.0001,1028,9843,93.37,2435
108,7.065415382385254,10,-172.62723966000004,0.8369800000000005,0.0001,1027,10296,94.18,2548
112,1.724031925201416,10,-171.62501340000003,0.8308208333333336,0.0001,1025,10685,94.41,2646
116,1.0041269063949585,10,-173.32844265999995,0.8232049999999999,0.0001,1024,11166,95.61,2766
120,2.5084712505340576,11,-163.46801984,0.8171725000000004,0.0001,1022,11547,95.4,2861
124,1.273111343383789,11,-159.77568742000003,0.8104591666666664,0.0001,1021,11971,96.33,2967
128,1.1458253860473633,12,-161.50814448,0.8034450000000002,0.0001,1020,12414,96.4,3078
132,0.7832379937171936,12,-159.03929858,0.7949425000000003,0.0001,1019,12951,98.55,3212
136,0.8496075868606567,13,-153.74311117,0.7877699999999997,0.0001,1018,13404,99.18,3325
140,3.6280946731567383,13,-156.15870157,0.7791883333333338,0.0001,1017,13946,100.93,3461
144,0.8236410021781921,14,-157.52469140000002,0.77219,0.0001,1015,14388,101.71,3571
148,0.7282875180244446,14,-157.82505879,0.7639566666666665,0.0001,1014,14908,103.26,3701
152,0.606226921081543,15,-157.34604473000002,0.757813333333333,0.0001,1013,15296,103.89,3798
156,1.0268707275390625,15,-157.32560732000002,0.750656666666667,0.0001,1012,15748,104.02,3911
160,0.6859105825424194,16,-156.10469229,0.7429616666666672,0.0001,1011,16234,105.63,4033
164,1.0810798406600952,16,-156.85673207,0.7342691666666672,0.0001,1009,16783,107.42,4170
168,1.146820068359375,17,-152.64537572999998,0.7284266666666669,0.0001,1008,17152,106.68,4262
172,0.5241661071777344,17,-146.42806467999998,0.7200825000000004,0.0001,1007,17679,108.01,4394
176,0.5348354578018188,18,-146.85906536,0.7115008333333335,0.0001,1006,18221,110.43,4530
180,1.0047212839126587,18,-146.61124826999995,0.7021433333333333,0.0001,1005,18812,112.52,4677
184,0.676564633846283,19,-147.18898124999998,0.693545833333334,0.0001,1004,19355,115.04,4813
188,0.5392235517501831,19,-146.0763089,0.6836658333333335,0.0001,1002,19979,117.56,4969
192,0.9769713282585144,20,-145.65869147,0.6766516666666662,0.0001,1000,20422,118.14,5080
196,1.1714260578155518,21,-145.58373482000002,0.6673574999999998,0.0001,998,21009,120.46,5227
200,1.2140120267868042,21,-143.80378709,0.6573666666666664,0.0001,997,21640,122.54,5384
204,0.4623759090900421,22,-141.81313292,0.6483891666666668,0.0001,995,22207,123.64,5526
208,0.7267990708351135,22,-136.48712923,0.6400766666666671,0.0001,994,22732,124.36,5657
212,0.701320469379425,23,-135.40793681000002,0.6329199999999999,0.0001,993,23184,124.99,5770
216,2.9236624240875244,24,-131.83048047999998,0.621884166666667,0.0001,991,23881,127.15,5945
220,0.9043684601783752,24,-132.87549123,0.6107850000000006,0.0001,989,24582,130.35,6120
224,0.8882630467414856,25,-128.79427544,0.5975641666666671,0.0001,987,25417,134.46,6329
228,1.0122400522232056,26,-127.78493595999998,0.5847391666666664,0.0001,985,26227,138.13,6531
232,0.6047717332839966,27,-126.64743680999999,0.5713916666666665,0.0001,983,27070,141.19,6742
236,0.5754974484443665,28,-125.93303553000004,0.561179166666667,0.0001,981,27715,143.11,6903
